year,state,area
1995,PARÁ,7845.00
2004,PARÁ,8870.00
2003,PARÁ,7145.00
2002,PARÁ,7510.00
1988,PARÁ,6990.00
2005,PARÁ,5899.00
2000,PARÁ,6671.00
2001,PARÁ,5237.00
1996,PARÁ,6135.00
1989,PARÁ,5750.00
1998,PARÁ,5829.00
1999,PARÁ,5111.00
1994,PARÁ,4284.00
1993,PARÁ,4284.00
2006,PARÁ,5659.00
1992,PARÁ,3787.00
1990,PARÁ,4890.00
1997,PARÁ,4139.00
2008,PARÁ,5607.00
2007,PARÁ,5526.00
1991,PARÁ,3780.00
2019,PARÁ,3862.00
2016,PARÁ,2992.00
2018,PARÁ,2744.00
2009,PARÁ,4281.00
2010,PARÁ,3770.00
2017,PARÁ,2433.00
2011,PARÁ,3008.00
2015,PARÁ,2153.00
2013,PARÁ,2346.00
2014,PARÁ,1887.00
2012,PARÁ,1741.00
1995,MATO GROSSO,10391.00
2004,MATO GROSSO,11814.00
2003,MATO GROSSO,10405.00
2002,MATO GROSSO,7892.00
1988,MATO GROSSO,5140.00
2005,MATO GROSSO,7145.00
2000,MATO GROSSO,6369.00
2001,MATO GROSSO,7703.00
1996,MATO GROSSO,6543.00
1989,MATO GROSSO,5960.00
1998,MATO GROSSO,6466.00
1999,MATO GROSSO,6963.00
1994,MATO GROSSO,6220.00
1993,MATO GROSSO,6220.00
2006,MATO GROSSO,4333.00
1992,MATO GROSSO,4674.00
1990,MATO GROSSO,4020.00
1997,MATO GROSSO,5271.00
2008,MATO GROSSO,3258.00
2007,MATO GROSSO,2678.00
1991,MATO GROSSO,2840.00
2019,MATO GROSSO,1685.00
2016,MATO GROSSO,1489.00
2018,MATO GROSSO,1490.00
2009,MATO GROSSO,1049.00
2010,MATO GROSSO,871.00
2017,MATO GROSSO,1561.00
2011,MATO GROSSO,1120.00
2015,MATO GROSSO,1601.00
2013,MATO GROSSO,1139.00
2014,MATO GROSSO,1075.00
2012,MATO GROSSO,757.00
1995,RONDÔNIA,4730.00
2004,RONDÔNIA,3858.00
2003,RONDÔNIA,3597.00
2002,RONDÔNIA,3099.00
1988,RONDÔNIA,2340.00
2005,RONDÔNIA,3244.00
2000,RONDÔNIA,2465.00
2001,RONDÔNIA,2673.00
1996,RONDÔNIA,2432.00
1989,RONDÔNIA,1430.00
1998,RONDÔNIA,2041.00
1999,RONDÔNIA,2358.00
1994,RONDÔNIA,2595.00
1993,RONDÔNIA,2595.00
2006,RONDÔNIA,2049.00
1992,RONDÔNIA,2265.00
1990,RONDÔNIA,1670.00
1997,RONDÔNIA,1986.00
2008,RONDÔNIA,1136.00
2007,RONDÔNIA,1611.00
1991,RONDÔNIA,1110.00
2019,RONDÔNIA,1245.00
2016,RONDÔNIA,1376.00
2018,RONDÔNIA,1316.00
2009,RONDÔNIA,482.00
2010,RONDÔNIA,435.00
2017,RONDÔNIA,1243.00
2011,RONDÔNIA,865.00
2015,RONDÔNIA,1030.00
2013,RONDÔNIA,932.00
2014,RONDÔNIA,684.00
2012,RONDÔNIA,773.00
1995,AMAZONAS,2114.00
2004,AMAZONAS,1232.00
