Nome: BOA VISTA
Codigo Estacao: 82024
Latitude: 2.82944443
Longitude: -60.66194444
Altitude: 84.18
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;5;255,1;null;null;194,3;4,892473;1;,1;null;null;34,412903;29,270968;24,045161;63,733871;4;2,150538;64,817204;
1998-02-28;5;237,1;null;null;78,4;6,380952;4;10;null;null;35,85;30,345714;26,035714;62,330357;6;3,065476;56,166667;
1998-03-31;5;312,6;null;null;38,5;5,064516;0;0;null;null;36,090323;30,420645;25,83871;58,145161;6;3,236559;48,752688;
1998-04-30;5;145,5;null;null;47,9;8,422222;15;215,1;null;null;33,673333;28,636;24,753333;78,016667;5;2,188889;48,2;
1998-05-31;0;92,3;null;null;87,5;7,419355;21;377,4;null;null;32,145161;27,492903;24,329032;85,524194;3;1,129032;49,806452;
1998-06-30;32;85,1;null;null;35;7,811111;24;569,8;null;null;31,613333;26,932;23,52;85,733333;5;1,711111;47,444444;
1998-07-31;32;87,4;null;null;78,4;7,365591;24;377,6;null;null;31,877419;26,849032;23,432258;89,491935;4;1,731183;52,322581;
1998-08-31;32;108,2;null;null;126,2;6,774194;16;233,1;null;null;33,225806;28,122581;24,374194;87,685484;4;2,113978;52,086022;
1998-09-30;32;132,2;null;null;158,3;5,844444;8;94,7;null;null;34,16;28,850667;24,82;77,175;5;2,166667;57,622222;
1998-10-31;5;165,9;null;null;153;6,72043;6;22,6;null;null;35,141935;29,476129;25,354839;71,991935;4;2,537634;51,290323;
1998-11-30;5;177,6;null;null;123,1;6,522222;6;55,4;null;null;34,786667;29,277333;25,226667;70,366667;6;2,744444;53,166667;
1998-12-31;5;172,8;null;null;null;6,698925;7;231,7;null;null;34,56129;28,944516;24,793548;72,467742;5;2,376344;50,419355;
