Nome: CARACARAI
Codigo Estacao: 82042
Latitude: 1.83249999
Longitude: -61.12083332
Altitude: 51.99
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;null;null;null;null;7,129032;1;3,2;null;35,603226;28,462581;20,748387;81,258065;3;1,16129;56,129032;null;
1998-02-28;0;null;null;null;null;7,488095;3;16;null;35,571429;28,37;21,235714;78,25;3;,988095;52,619048;null;
1998-03-31;0;null;null;null;null;8,021505;1;25;null;36,312903;30,182581;22,064516;75,193548;3;1,139785;47,150538;null;
1998-04-30;0;null;null;null;null;7,977778;16;220;null;33,276667;27,455333;21,233333;75,358333;2;,422222;48,111111;null;
1998-05-31;0;null;null;null;null;8,032258;22;366,8;null;32,290323;26,865161;20,712903;73,435484;3;,44086;47,795699;null;
1998-06-30;0;null;null;null;null;8,133333;23;476,2;null;31,573333;26,166667;20,733333;74,1;6;,577778;46,777778;null;
1998-07-31;0;null;null;null;null;8,021505;25;367,3;null;30,413333;26,069333;23,167742;72,209677;3;,516129;46,989247;null;
1998-08-31;0;null;null;null;null;7,735294;13;null;null;null;null;23,365217;71,511364;3;,552239;48,970588;null;
1998-09-30;0;92;null;null;null;7,586207;13;218,8;null;null;null;23,413793;73,25;2;,712644;50,114943;null;
1998-10-31;0;118,1;null;null;null;7,376344;10;75,2;null;null;null;23,987097;73,91129;3;,763441;53,010753;null;
1998-11-30;0;114,4;null;null;null;7,511111;2;67;null;null;null;24,006667;73,85;3;,9;53,555556;null;
1998-12-31;0;121,4;null;null;null;7,419355;6;129,4;null;null;null;23,587097;73,459677;3;,688172;53,763441;null;
1999-01-31;0;109;null;null;null;8,043011;9;61,6;null;null;null;23,025806;72,846774;3;,849462;49,569892;null;
1999-02-28;0;91,8;null;null;null;7,714286;10;118,2;null;null;null;22,514286;72,785714;3;,607143;50,595238;null;
1999-03-31;0;121,9;null;null;null;7,626374;10;70,8;null;32,2;27,128;22,693333;73,058333;3;,879121;52,791209;null;
1999-04-30;0;61,4;null;null;null;8,146067;18;273,8;null;31,026667;26,572;22,86;72,691667;3;,674157;47,191011;null;
1999-05-31;0;62,9;null;null;169,6;8,182796;16;98,2;null;31,545161;26,425161;22,6;72,451613;3;,483871;45,698925;null;
1999-06-30;0;51,8;null;null;146,1;8,144444;24;497,6;null;31,082609;25,76087;21,693333;71,8;3;,544444;48,111111;null;
1999-07-31;0;56,2;null;null;144,2;8,139785;26;318,6;null;30,793548;25,504516;21,258065;71,153226;2;,516129;41,397849;null;
1999-08-31;0;56,5;null;null;148,8;8,333333;21;276,5;null;32,025806;25,987097;21,483871;71,524194;3;,655914;43,010753;null;
1999-09-30;0;72,9;null;null;212;7,811111;13;124,6;null;34,133333;27,124667;21,966667;71,4;2;,755556;49,222222;null;
1999-10-31;0;86,7;null;null;227,2;7,193548;11;120,7;null;34,16129;26,899355;21,225806;66,233871;3;,784946;49,354839;null;
1999-11-30;0;113,1;null;null;235,3;7,011111;7;97,6;null;34,753333;27,768667;21,416667;65,541667;3;,644444;55,777778;null;
1999-12-31;0;150;null;null;248,1;6,83871;6;8,6;null;34,448387;27,730968;21,4;67;3,2;,733333;58,11828;null;
2000-01-31;0;107,6;null;null;184,8;7,688172;13;118,8;null;32,796774;26,597419;20,990323;65,572581;3;,892473;50,752688;null;
2000-02-29;0;106,1;null;null;186,7;7,402299;6;18,4;null;32,872414;26,462759;20,275862;65,758621;3;1;50,505747;null;
2000-03-31;0;92,3;null;null;156,2;8,043011;8;246,7;null;32,722581;26,56;20,696774;63,991935;3;,795699;44,83871;null;
2000-04-30;0;53,4;null;null;83,9;8,4;24;344,6;null;31,39;23,796;21,19375;68,333333;3;,544444;44,222222;null;
2000-05-31;0;57,5;null;null;128,7;8,591398;27;357,3;null;31,306452;26,226452;23,048387;91,540323;3;,376344;45,043011;null;
2000-06-30;0;54;null;null;169,2;8,111111;24;337,7;null;31,896667;26,331333;22,926667;90,675;3;,3;45,666667;null;
2000-07-31;0;56,8;null;null;160,3;8,344086;23;323,7;null;31,216129;25,614194;22,277419;91,403226;3;,548387;44,301075;null;
2000-08-31;0;72,1;null;null;189,5;7,526882;19;91,2;null;33,73871;26,785806;22,23871;85,443548;3;,322581;53,494624;null;
2000-09-30;0;80,2;null;null;220,2;7,588889;13;115,6;null;34,383333;27,521333;22,81;83,316667;3;,666667;54,333333;null;
2000-10-31;0;96,5;null;null;227,4;7,462366;9;42,8;null;35,251613;28,225806;23;81,58871;3;,612903;56,473118;null;
2000-11-30;0;92;null;null;200;7,611111;9;244,8;null;34,613333;28,234667;23,546667;87,15;3;,666667;57,555556;null;
2000-12-31;0;71,2;null;null;230;7,354839;12;81,4;null;33,248387;26,987742;22,529032;88,629032;3;,892473;58,365591;null;
2001-01-31;0;92,9;null;null;205,2;7,526882;8;76,6;null;32,435484;26,55871;21,606452;86,193548;3;,913978;56,021505;null;
2001-02-28;0;110,7;null;null;177,6;7,246914;4;28,8;null;33,414815;27,371852;22,103704;83,583333;3;,879012;58,17284;null;
2001-03-31;0;141,5;null;null;222,2;7,311828;5;56,8;null;34,590323;28,072258;21,987097;80,766129;3;,860215;57,290323;null;
2001-04-30;0;118,5;null;null;183,6;7,544444;10;115,2;null;34,103333;27,894;22,346667;85,391667;3;,766667;55,866667;null;
2001-05-31;0;50,9;null;null;161,6;8,204301;22;329,8;null;32,019355;26,434839;21,925806;93,959677;3;,387097;47,462366;null;
