Nome: IAUARETE
Codigo Estacao: 82067
Latitude: 0.60222222
Longitude: -69.19277777
Altitude: 107.73
Situacao: Fechada
Data Inicial: 1998-01-01
Data Final: 2020-01-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;63,3;null;null;157,3;7,806452;13;191,9;1001,836559;33,367742;26,380645;21,025806;88,137097;4;,613978;32,473118;null;
1998-02-28;0;71,1;null;null;102,3;8,321429;11;208,4;1002,496429;32,896429;26,545714;21,482143;88,321429;3;,619048;23,02381;null;
1998-03-31;0;69,8;null;null;83,3;8,516129;13;103,5;1001,7;32,416129;26,536129;21,464516;88,41129;3;,408602;13,27957;null;
1998-04-30;0;45,4;null;null;92;8,355556;23;242;1002,335556;31,493333;26,387333;21,643333;89,566667;2;,322222;15,166667;null;
1998-05-31;0;61,8;null;null;87,9;8,397849;20;208,4;1003,909677;30,554839;25,638065;20,993548;90,540323;3,2;,362366;18,709677;null;
1998-06-30;0;37,9;null;null;104,4;8,288889;22;427,7;1005,237778;30,156667;25,196;20,803333;90,825;1;,188889;13,822222;null;
1998-07-31;0;45,6;null;null;123,5;8,150538;24;255,2;1005,075269;30,26129;25,152903;20,174194;89,16129;1;,16129;14,086022;null;
1998-08-31;0;61,2;null;null;169,9;8,182796;18;190,5;1004,297849;30,922581;26,098065;21,670968;86,701613;2;,333333;25;null;
1998-09-30;0;59,8;null;null;155,3;8,155556;17;178,9;1003,825556;32,11;26,600667;22,233333;85,191667;2;,366667;22,944444;null;
1998-10-31;0;42,9;null;null;147,9;7,967742;16;208;1002,717204;31,803226;26,658065;22,712903;87,572581;2;,322581;17,451613;null;
1998-11-30;0;62,4;null;null;118,7;8,111111;14;183,4;1001,641111;31,433333;26,213333;22,753333;89,241667;2;,377778;19;null;
1998-12-31;0;null;null;null;117,3;8,354839;22;194,5;1002,055914;31,454839;26,176129;22,36129;87,774194;2;,548387;27,419355;null;
1999-01-31;0;null;null;null;85,6;8,588889;17;233,5;1002,672222;31,176667;25,791333;22,143333;88,525;2;,5;28,888889;null;
1999-02-28;0;33,5;null;null;76,7;8,154762;22;265,7;1002,966667;30,339286;25,457857;21,507143;89,410714;2;,440476;23,571429;null;
1999-03-31;0;56;null;null;81;8,182796;21;412,5;1002,101075;31,258065;25,754194;21,619355;87,677419;2;,462366;28,709677;null;
1999-04-30;0;44;null;null;97,3;8,566667;27;535,4;1004,251685;30,313333;25,204;21,606667;90,683333;4;,511111;25,777778;null;
1999-05-31;0;49,8;null;null;139,2;8,397849;27;414;1004,567742;null;null;21,874194;89,395161;2;,397849;24,086022;null;
1999-06-30;0;48,3;null;null;101,3;8,377778;24;308,6;1004,285556;null;null;21,693333;89,941667;3;,422222;27,711111;null;
1999-07-31;0;48,3;null;null;129,1;8,27957;24;335,1;1005,887097;null;null;21,167742;89,895161;2;,233333;26,021505;null;
1999-08-31;0;70,4;null;null;108,7;8,16129;21;256,7;1005,278495;null;null;21,112903;87,217742;2;,301075;22,580645;null;
1999-09-30;0;61,4;null;null;106,1;8,111111;20;422,6;1003,282222;null;null;21,326667;87,425;2;,426667;25,222222;null;
1999-10-31;0;99,9;null;null;160;8,086022;15;173,6;1003,51828;null;null;21,532258;86,596774;2;,397849;28,064516;null;
1999-11-30;0;68,7;null;null;161,7;8;null;123,1;1001,842222;null;null;22,073333;85,658333;2;,392222;28;null;
1999-12-31;0;73,4;null;null;167,5;8,225806;15;194;1001,73871;32,389474;26,402105;21,690323;88,596774;3;,38172;25,741935;null;
2000-01-31;0;81,9;null;null;136,8;8,182796;17;136,5;1002,137634;32,819355;26,492903;21,822581;87,258065;2;,602151;30,752688;null;
2000-02-29;0;80,7;null;null;155;8;17;362,5;1003,008046;32,710345;25,962759;21,255172;87,534483;2;,632184;27,057471;null;
2000-03-31;0;57,6;null;null;120,1;8,365591;21;428,1;1002,024731;32,654839;26,272258;21,422581;88,774194;4;,387097;23,16129;null;
2000-04-30;0;37,4;null;null;91,3;8,477778;25;466,6;1003,095556;31,29;25,995333;21,666667;88,475;4;,355556;16,666667;null;
2000-05-31;0;59,9;null;null;86,5;8,591398;28;534,5;1004,039785;31,26129;26,16129;21,851613;88,233871;2;,311828;16,72043;null;
