Nome: MACAPA
Codigo Estacao: 82098
Latitude: -0.04499999
Longitude: -51.11
Altitude: 12.8
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;74,7;null;null;149,9;9,064516;20;253,5;null;1008,201075;30,790323;26,981935;24,158065;86,991935;5;1,11828;55,376344;
1998-02-28;5;69;null;null;158,5;8,380952;18;309,3;null;1008,952381;31,075;27,496429;24,657143;87,0625;5;1,72619;54,047619;
1998-03-31;0;49,6;null;null;95,4;9,333333;26;428,7;null;1008,395699;30,235484;26,732903;24,270968;89,419355;3;,870968;54,408602;
1998-04-30;0;50,4;null;null;134;9;25;287,6;null;1007,973333;31,353333;27,624667;25;89,358333;5;1,011111;55,444444;
1998-05-31;0;56,8;null;null;201,2;8,677419;24;221,9;null;1009,092473;32,096774;27,975484;25,041935;88,427419;5;,741935;56,344086;
1998-06-30;0;56,7;null;null;215,3;8,211111;25;207,2;null;1010,34;31,853333;27,380667;24,536667;87,783333;3;,566667;57;
1998-07-31;0;76,4;null;null;236;7,612903;19;113,5;null;1010,452688;32,106452;27,121935;23,909677;85,943548;3;,946237;57,634409;
1998-08-31;5;106,2;null;null;272,2;6,892473;9;88,2;null;1009,387097;32,764516;28,103226;24,416129;81,532258;3;1,88172;58,817204;
1998-09-30;5;103,6;null;null;282,2;6,577778;3;3,2;null;1009,067778;33,703333;28,763333;24,333333;77,316667;5;2,644444;59;
1998-10-31;5;null;null;null;293,5;7,086022;3;4,1;null;1008,530108;33,922581;29,235484;24,9;71,701613;5;2,709677;59,247312;
1998-11-30;5;123,9;null;null;246,6;7,588889;9;143,2;null;1007,224444;33,036667;28,622;24,43;75,116667;5;2,171111;58,333333;
1998-12-31;5;104;null;null;234,4;7,774194;12;214,6;null;1007,73871;31,803226;27,563226;24,135484;81,096774;5;1,602151;57,956989;
1999-01-31;0;58,2;null;null;156,1;9,258065;24;320;null;1007,535484;30,470968;26,54129;23,932258;87,370968;5;,946237;54,408602;
1999-02-28;0;37,7;null;null;101;9,238095;22;424,5;null;1008,341667;29,639286;26,013571;23,646429;89,946429;3;,669048;53,571429;
1999-03-31;0;42,4;null;null;78,3;9,397849;23;484,7;null;1007,794624;29,580645;26,132258;23,874194;89,153226;3;,741935;54,408602;
1999-04-30;0;45,9;null;null;null;9,111111;23;357,2;null;1009,127778;30,013333;26,314667;24,01;87,533333;5;,966667;53,333333;
1999-05-31;0;40,3;null;null;103,4;9,322581;27;306,4;null;1009,866667;29,641935;25,985806;23,767742;89,153226;3;,709677;54,83871;
1999-06-30;0;52;null;null;180,2;8,322222;24;246,5;null;1009,488889;31,146667;26,714;24,013333;85,875;5;1,033333;55,333333;
1999-07-31;0;59,7;null;null;235,2;7,88172;21;171,5;null;1010,63871;31,593548;26,729677;23,516129;84,330645;5;,795699;57,526882;
1999-08-31;5;85,6;null;null;205,4;7,215054;null;147,4;null;1010,116129;32,096774;27,504516;24,225806;81,806452;5;1,258065;58,064516;
1999-09-30;5;108,5;null;null;261,6;7,344444;null;37,7;null;1008,484444;32,86;28,124;24,326667;77,758333;5;2,266667;58,222222;
1999-10-31;5;132,9;null;null;295,9;7,591398;null;12,9;null;1008,660215;33,693548;28,721935;24,73871;71,185484;5;2,83871;58,924731;
1999-11-30;5;133;null;null;269;7,455556;null;10,4;null;1007,508889;33,456667;28,726;24,616667;69,233333;5;2,033333;59,555556;
1999-12-31;5;114,3;null;null;229,5;8,430108;null;188,1;null;1007,301075;32,548387;28,105806;24,654839;73,967742;5;1,752688;57,311828;
2000-01-31;0;58,3;null;null;178,3;8,946237;19;309,6;null;1007,382796;30,222581;26,453548;23,770968;83,870968;5;,989247;55,967742;
2000-02-29;0;42,5;null;null;97,9;9,597701;22;294,1;null;1009,382759;29,555172;25,714483;23,544828;87,008621;3;,862069;51,83908;
2000-03-31;0;43,7;null;null;96,2;9,709677;25;443,1;null;1007,976344;29,206452;25,746452;23,725806;88,282258;3;,677419;54,83871;
2000-04-30;0;37,5;null;null;107,3;9,455556;26;362,7;null;1008,807778;30,01;26,111333;23,89;88,708333;3;,511111;54,444444;
2000-05-31;0;38,6;null;null;149,4;9,193548;30;465,1;null;1008,990323;30,506452;26,502581;24,109677;90,225806;3;,569892;53,655914;
2000-06-30;0;51,9;null;null;206,3;8,455556;22;265,5;null;1009,652222;31,326667;26,918;24,216667;86,241667;3;,588889;57,444444;
2000-07-31;0;56,1;null;null;224,2;7,935484;19;303,6;null;1009,407527;31,012903;26,610968;23,932258;85,564516;3;,526882;57,741935;
2000-08-31;5;86,9;null;null;264,8;7,462366;11;88;null;1009,055914;32,254839;27,554839;24,158065;81,08871;5;1,526882;58,172043;
2000-09-30;5;117,7;null;null;272,8;6,566667;6;59,1;null;1008,588889;33,153333;28,365333;24,47;74,291667;5;1,922222;58,555556;
2000-10-31;5;136,9;null;null;null;6,73913;5;26,6;null;1008,822581;33,206452;28,734194;24,780645;69,435484;5;2,225806;59,450549;
2000-11-30;5;125,8;null;null;266,7;7,022222;4;42,3;null;1006,788889;32,78;28,462667;24,493333;70,058333;5;1,777778;59,555556;
