Nome: SAO GABRIEL DA CACHOEIRA(UAUPES)
Codigo Estacao: 82106
Latitude: -0.12527777
Longitude: -67.06111111
Altitude: 79.71
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;62;null;null;172,4;7,903226;12;104,4;null;1000,141935;32,783871;27,079355;22,819355;87,008065;3;1,032258;40,268817;
1998-02-28;0;37;null;null;155,1;7,940476;13;165,8;null;1001,095238;32,721429;27,142857;23,064286;87,723214;3;1,190476;38,511905;
1998-03-31;0;21,9;null;null;88,9;8,55914;18;183,6;null;1000,233333;31,83871;26,912258;22,880645;89,233871;3;1,322581;36,827957;
1998-04-30;0;28,5;null;null;113,1;8,517647;24;357;null;1000,710714;31,351724;26,546923;22,493333;90,673077;3;1,388235;40,294118;
1998-05-31;0;26,1;null;null;80,6;8,719512;25;375,1;null;1002,765854;29,486207;25,515833;22,286667;92,1875;5;1,219512;36,402439;
1998-06-30;0;24;null;null;86,9;8,855556;24;388,2;null;1003,997778;29,5;25,107333;21,773333;91,308333;3;1,288889;35;
1998-07-31;0;33,6;null;null;119;8,150538;26;327,9;null;1003,919355;29,816129;25,072258;21,458065;91,25;3;1;36,774194;
1998-08-31;0;47;null;null;166,4;7,689655;15;202,7;null;1002,341379;31,67931;26,207407;21,858621;87,851852;8;1,183908;40,402299;
1998-09-30;0;66,5;null;null;159,9;8,055556;14;140,9;null;1001,645556;32,496667;26,382;21,866667;85,258333;3;1,177778;37,833333;
1998-10-31;0;27,2;null;null;148,5;8,532609;18;306,5;null;1000,926087;32,225806;26,364;22,093548;87,825;3;1,369565;37,717391;
1998-11-30;0;46,7;null;null;111,6;8,793103;22;272,2;null;1000,073563;30,7;25,908889;21,88;90,185185;3;1,111494;34,367816;
