Nome: BARCELOS
Codigo Estacao: 82113
Latitude: -0.97416666
Longitude: -62.9286111
Altitude: 30.65
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;5;59,8;null;null;186,5;7,365591;11;182,6;null;null;35,46129;30,009032;24,467742;77,16129;5;2,283871;33,333333;
1998-02-28;5;41,1;null;null;160,9;7,071429;14;217,2;null;null;33,996429;28,584286;24,403571;81,678571;5;1,935714;26,845238;
1998-03-31;0;52,3;null;null;139;7,322581;13;103,8;null;null;34,425806;28,564516;24,429032;81,774194;4;1,258065;25,215054;
1998-04-30;0;34,5;null;null;129;7,888889;24;317,4;null;null;32,906667;27,304667;23,73;87,558333;5;,936667;25,611111;
1998-05-31;23;18;null;null;113,1;7,354839;24;236,5;null;null;31,019355;26,66129;23,893548;90,975806;3;1,11828;20,483871;
1998-06-30;23;25,2;null;null;132,2;7,422222;25;246,4;null;null;30,866667;26,276667;23,363333;90,1;3;1,322222;30;
1998-07-31;32;19,7;null;null;167,5;7,204301;20;185,4;null;null;32,06129;26,61871;23,129032;87,58871;5;1,290323;33,924731;
1998-08-31;32;35,1;null;null;192,6;6,860215;13;159;null;null;33,322581;27,410323;23,348387;85,427419;5;1,322581;33,978495;
1998-09-30;23;66,3;null;null;178,6;7,255556;11;64,4;null;null;33,86;27,342;23,023333;83,316667;5;1,622222;33,833333;
1998-10-31;14;79,1;null;null;189,6;6,989247;10;60,1;null;null;34,2;28,116129;23,864516;81,677419;5;1,469892;35,322581;
1998-11-30;5;63,5;null;null;147;7,122222;13;97;null;null;33,21;27,078;23,54;85,375;5;1,433333;30,944444;
1998-12-31;5;57,8;null;null;172,7;7,365591;16;145,1;null;null;32,612903;26,986452;22,748387;87,354839;5;1,412903;30,913978;
1999-01-31;5;43,6;null;null;96;7,752688;23;413,1;null;null;30,596774;25,555484;22,348387;90,177419;3;,967742;26,666667;
1999-02-28;14;36,4;null;null;105,2;7,928571;21;260,5;null;null;30,871429;25,777857;22,696429;91,241071;3;1;29,642857;
1999-03-31;5;59,9;null;null;154,2;7,053763;16;213,3;null;null;32,480645;27,049032;23,66129;87,072581;5;1,408602;34,516129;
1999-04-30;5;29,7;null;null;99,9;7,655556;26;309;null;null;30,816667;25,905333;23,05;91,041667;5;1,188889;39,111111;
1999-05-31;0;31,1;null;null;120,9;7,430108;25;304,8;null;null;30,435484;25,578065;22,809677;92,879032;5;1,107527;50,698925;
1999-06-30;32;44,3;null;null;153,7;8,2;23;293,6;null;null;31,36;26,24;23,04;91,066667;4;1,166667;57,888889;
1999-07-31;32;58,2;null;null;193,9;7,580645;21;117,6;null;null;31,73871;26,139355;22,654839;87,282258;3;1,451613;58,967742;
1999-08-31;32;51,9;null;null;166,7;8,021505;19;126,2;null;null;31,819355;26,250323;22,529032;85,798387;3;1,634409;57,741935;
1999-09-30;32;50,7;null;null;156,6;7,911111;null;101,7;null;null;32,656667;26,924;23,223333;86,516667;5;1,544444;58,666667;
1999-10-31;32;66;null;null;175,2;7,924731;15;119,6;null;null;32,925806;27,054194;23,216129;85,306452;5;1,347312;60,107527;
1999-11-30;0;72;null;null;178,3;7,888889;null;70;null;null;33,026667;27,300667;23,05;85,441667;5;1,122222;60,111111;
1999-12-31;0;63,1;null;null;178;7,827957;15;116,5;null;null;32,951613;27,333548;23,477419;89,790323;4;1,236559;61,075269;
2000-01-31;32;42,7;null;null;126,3;8,311828;23;275,1;null;null;31,232258;26,114194;22,9;92,403226;3;1,408602;58,064516;
2000-02-29;5;60,6;null;null;141,6;7,724138;13;121,3;null;null;32,168966;26,733793;23,141379;91,112069;4;1,517241;60,91954;
2000-03-31;5;44,1;null;null;98,1;8,043011;19;236,5;null;null;30,687097;25,957419;22,970968;88,596774;10,6;1,673118;58,494624;
