Nome: SOURE
Codigo Estacao: 82141
Latitude: -0.727797
Longitude: -48.515791
Altitude: 12.6
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;5;46,9;null;null;114,4;7,172043;24;665,5;1010,212903;30,116129;27,18129;24,880645;86,491935;5,3;2,095699;66,666667;null;
1998-02-28;5;56,4;null;null;180,4;6,119048;19;243,7;1010,972619;31,192857;28,356429;26,182143;83,660714;5;2,777381;66,666667;null;
1998-03-31;5;36;null;null;96,5;7,236559;28;769,9;1010,24086;29,748387;26,832903;24,480645;89,129032;4,1;1,574194;66,88172;null;
1998-04-30;5;49,7;null;null;178,3;6,888889;24;325;1009,844444;31,496667;28,182667;25,603333;86,083333;4;2,248889;66,666667;null;
1998-05-31;5;53,4;null;null;192,6;5,903226;23;179,5;1011,52043;31,825806;28,298065;25,122581;84,395161;6,6;2,204301;66,666667;null;
1998-06-30;5;52,2;null;null;229,4;5,833333;27;188,7;1012,648889;31,456667;27,897333;24,783333;83,733333;4,6;2,415556;66,666667;null;
1998-07-31;5;59,8;null;null;230,5;5,817204;22;158,8;1012,735484;31,151613;27,440645;24,541935;84,112903;4,6;2,119355;66,666667;null;
1998-08-31;5;89,2;null;null;289,5;5,032258;9;27,9;1011,897849;31,290323;28,390323;25,935484;76,991935;5;2,936559;66,666667;null;
1998-09-30;5;105,4;null;null;278,6;4,733333;4;9,9;1011,618889;31,45;28,573333;26,156667;74,166667;4,6;3,248889;66,666667;null;
1998-10-31;5;112,7;null;null;290,2;4,311828;0;0;1010,81828;31,906452;28,929677;26,741935;73,887097;5;3,52043;66,666667;null;
1998-11-30;5;92,5;null;null;240,3;5,644444;6;83,3;1009,522222;31,433333;28,611333;26,416667;76,008333;4,6;2,845556;66,777778;null;
1998-12-31;5;90,4;null;null;223,2;5,83871;11;211;1009,935484;30,990323;28,065806;25,735484;78,032258;5,3;2,686022;66,774194;null;
1999-01-31;5;65,2;null;null;172,1;6,870968;20;233,3;1009,687097;30,258065;27,365806;24,941935;83,185484;8;2,352688;66,88172;null;
1999-02-28;5;41,7;null;null;90,6;7,309524;23;603,5;1010,667857;29,5;26,537857;24,067857;85,955357;4,1;1,813095;66,666667;null;
1999-03-31;5;45,5;null;null;93;7,698925;31;702,6;1010,087097;29,745161;26,452258;23,903226;86,959677;3,6;1,693548;66,666667;null;
1999-04-30;5;42,8;null;null;110,5;7,488889;30;486,9;1011,055556;30,04;26,740667;24,116667;86,325;3,6;1,801111;66,666667;null;
1999-05-31;0;38,9;null;null;115;7,344086;29;669,3;1011,87957;29,86129;26,400645;23,83871;87,306452;3,3;1,32043;66,666667;null;
1999-06-30;5;61,5;null;null;231,9;6;23;137,1;1011,495556;31;27,541333;24,733333;80,425;5,3;2,27;66,555556;null;
1999-07-31;5;67,1;null;null;275;5,086022;null;122,5;1012,97957;30,996774;27,449032;24,654839;81,459677;5,1;2,144086;66,666667;null;
1999-08-31;5;98,3;null;null;282,3;5,064516;null;134,1;1012,255914;31,064516;28,116129;25,780645;78,5;4,6;2,652688;66,666667;null;
1999-09-30;5;105,5;null;null;283,5;4,866667;null;36,6;1010,923333;30,99;28,213333;25,913333;75,683333;5;3,315556;66,888889;null;
1999-10-31;5;106;null;null;276,2;4,526882;null;23,4;1011,075269;31,125806;28,30129;26,009677;75,370968;5;3,117204;66,847826;null;
1999-11-30;5;107,3;null;null;278,2;4,744444;null;45,8;1009,876667;31,66;28,66;26,513333;73,891667;5;3,182222;67;null;
1999-12-31;5;88,4;null;null;221,9;5,688172;null;127,6;1009,550538;30,974194;28,073548;25,922581;77,75;5;2,748387;66,666667;null;
2000-01-31;5;53,1;null;null;163,8;6,580645;23;462,4;1009,795699;30,154839;26,893548;24,029032;82,887097;4,1;1,907527;66,666667;null;
2000-02-29;5;33,6;null;null;69,4;7,632184;26;748;1011,335632;29,027586;25,751724;23,168966;88,224138;4,6;1,536782;66,666667;null;
2000-03-31;0;35,6;null;null;76,3;7,623656;29;588,7;1010,022581;29,548387;26,284516;23,990323;87,717742;5;1,231183;66,666667;null;
2000-04-30;0;32,5;null;null;102;7,544444;30;742,4;1010,818889;29,796667;26,428;24,083333;87,408333;3,3;1,184444;66,666667;null;
2000-05-31;9;45,7;null;null;166,8;6,591398;26;302,3;1010,931183;30,390323;27,094194;24,816129;84,830645;4,1;1,745161;66,666667;null;
2000-06-30;5;63,8;null;null;259;4,666667;18;212;1011,956667;30,84;27,530667;25,086667;80,041667;4,5;2,292222;66,666667;null;
2000-07-31;5;61;null;null;245,3;5,516129;21;317,9;1011,834409;30,709677;26,99871;24,290323;81,645161;5;1,886022;66,666667;null;
2000-08-31;5;85,3;null;null;290,7;4,741935;11;85,3;1012,287097;30,709677;27,609677;25,267742;77,596774;5;2,555914;64,086022;null;
2000-09-30;5;96,1;null;null;274,6;5,077778;4;55,9;1010,792222;30,88;28,012667;25,95;75,475;6,1;3,127778;66,444444;null;
2000-10-31;5;103,6;null;null;297,4;4,322581;1;7,4;1011,206452;31,370968;28,32;26,235484;74,104839;5;3,241935;66,774194;null;
2000-11-30;5;110,9;null;null;281,3;4,337079;0;0;1009,031111;31,566667;28,464;26,446667;72,683333;5,8;3,507778;66,666667;null;
2000-12-31;5;88,1;null;null;247,2;5,354839;7;236,2;1010,41828;30,580645;27,707097;25,664516;78,5;5,5;2,996774;66,774194;null;
2001-01-31;5;44,2;null;null;105,4;7,569892;29;607,1;1011,223656;29,151613;26,021935;23,551613;86,532258;6;2,052688;66,774194;null;
2001-02-28;null;null;null;null;null;null;15;295,9;1010,412766;28,71875;25,736;23,4;90,066667;3,6;null;null;null;
2001-03-31;5;44,3;null;null;96,9;7;26;661,3;1010,595506;29,11;26,104;24,11;88,866667;4,1;1,493258;66,818182;null;
2001-04-30;0;37,8;null;null;93,4;7,177778;24;438,2;1011,058889;29,166667;26,267333;24,196667;88,683333;3,3;1,084444;66,555556;null;
2001-05-31;5;67,1;null;null;243,6;5,731183;17;115,6;1011,333333;30,822581;27,922581;25,606452;82,056452;5;2,316129;66,666667;null;
2001-06-30;5;50,8;null;null;220,6;6,2;21;159,7;1012,651111;30,953333;27,088;24,686667;84,383333;5;1,811111;66,777778;null;
2001-07-31;5;68;null;null;283,3;4,645161;18;113,7;1012,335484;30,983871;27,430323;24,977419;81,604839;3,8;2,13871;66,666667;null;
2001-08-31;5;84,9;null;null;302,6;4,182796;12;20,3;1013,692473;31,335484;27,890323;25,57;78,524194;5;2,515054;66,88172;null;
2001-09-30;5;123,1;null;null;285,3;3,966667;3;6,8;1010,643333;31,553333;28,135333;25,033333;74,65;5;2,977528;66,666667;null;
2001-10-31;5;123,4;null;null;283,7;4,244624;3;7;1010,703226;31,725806;28,551613;26,693548;73,870968;5;2,998791;66,666667;null;
2001-11-30;5;119,9;null;null;290,3;4,233333;2;1,8;1009,476667;31,893333;28,842;27,086667;73,816667;5;3,051111;66,555556;null;
2001-12-31;5;124,2;null;null;287,3;3,505376;2;3,5;1009,731183;32,170968;29,01871;27,490323;73,790323;5,1;3,216903;66,344086;null;
2002-01-31;36;63,4;null;null;117,1;5,849462;23;574,8;1012,207527;30,029032;26,803871;24,690323;85,443548;4,6;1,764516;66,666667;null;
2002-02-28;5;51,9;null;null;107,4;6,678571;21;437,2;1010,996429;29,696429;26,646429;24,757143;87,151786;4,6;1,553571;66,666667;null;
2002-03-31;0;52,8;null;null;85,7;6,946237;30;524,9;1008,931183;29,967742;26,541935;24,454839;88,064516;5;1,239785;66,666667;null;
2002-04-30;0;47,1;null;null;106,7;6,733333;24;425,1;1007,678889;29,806897;26,6125;24,39;87,125;3,6;1,381111;66,666667;null;
2002-05-31;9;61,4;null;null;155,5;5,645161;20;298,1;1010,406452;30,824138;27,609138;25,706667;84,483871;3,5;1,653763;66,666667;null;
2002-06-30;0;71,3;null;null;239,6;5,144444;19;153,5;1012,005556;31,23;27,538667;25,133333;81,983333;5;1,52;66,555556;null;
2002-07-31;9;null;null;null;292,9;3,913978;11;77,6;1011,297849;31,183333;27,991613;26,253333;76,354839;5;2,005376;66,666667;null;
2002-08-31;9;null;null;null;304,6;3,580645;5;16,6;1011,711828;31,403226;28,236129;26,609677;75,58871;4,3;2,402151;66,666667;null;
2002-09-30;5;null;null;null;292,7;3,611111;4;14,2;1011,402222;31,443333;28,348667;26,62;73,025;5,1;2,652222;66,666667;null;
2002-10-31;9;124,1;null;null;290,5;3,860215;1;1;1011,424731;31,612903;28,494839;26,916129;71,830645;4,6;2,710753;66,774194;null;
2002-11-30;9;114,1;null;null;270,1;3,119048;null;0;1012,041667;31,975;28,716429;27,128571;73;5;2,522619;65,238095;null;
2002-12-31;9;97,6;null;null;198,6;4,978495;11;88,1;1010,939785;31,26129;28,262581;26,441935;78,346774;4,8;2,206452;66,666667;null;
2003-01-31;9;82,4;152,984312;152,984312;196,4;5,526882;17;172,8;1009,425806;30,487097;27,379355;25,348387;80,395161;5;2,452688;66,666667;null;
2003-02-28;0;29,8;108,253031;108,253031;54;7,52381;26;491,1;1008,192857;28,5;25,602857;23,882143;91,419643;3,5;,95119;66,666667;null;
2003-03-31;0;42,4;125,386717;125,386717;95,3;6,827957;25;719,9;1009,837634;29,045161;25,958065;24,277419;87,5;4,1;1,341935;66,666667;null;
2003-04-30;0;34,3;126,847813;126,847813;104,9;5,45;22;473,7;1010,948889;30,013793;26,64;24,786207;87,966667;3,3;,74858;66,977778;null;
2003-05-31;0;null;152,078715;152,078715;180,9;4,526882;7;142,6;1011,129032;30,906452;27,248387;23,8;82,403226;3,3;,925806;65,913978;null;
2003-06-30;0;null;162,820865;162,820865;246,7;3,2;6;157,8;1010,39;31,283333;27,378;24,051852;79,8;3,3;1,001111;66,777778;null;
2003-07-31;0;null;152,005516;152,005516;252,3;3,806452;11;94,8;1011,615054;31,193548;27,645714;24,596429;79,33871;5,3;1,462366;64,301075;null;
2003-08-31;5;null;170,930531;120,494904;293,6;3,913978;7;114,3;1010,725806;31,348387;null;null;76,983871;4,1;2,336559;66,666667;null;
2003-09-30;5;87,2;null;null;291,1;3,7;2;5,4;1011,024444;31,906667;28,542;26,02;73,483333;5,2;3,374444;66,777778;null;
2003-10-31;5;136,7;null;null;268,7;4,11828;1;6,4;1009,919355;31,967742;28,54;25,977419;73,16129;4,6;2,95914;66,666667;null;
