Nome: TRACUATEUA
Codigo Estacao: 82145
Latitude: -1.06361111
Longitude: -46.86527777
Altitude: 24.68
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;null;53,6;null;null;124,1;6,860215;23;458;1006,175269;31,031034;26,434286;23,189655;88,928571;null;null;82,193548;null;
1998-02-28;null;95,7;null;null;198;4,619048;14;110,3;1006,87619;32,821429;27,54;23,707143;84,330357;null;null;83,166667;null;
1998-03-31;null;53,3;null;null;108;7,010753;26;482,5;1006,301075;31,235484;26,616774;23,512903;90,096774;null;null;81,139785;null;
1998-04-30;null;73;null;null;179,6;6,555556;21;222,1;1005,874444;32,566667;27,385333;23,553333;89,725;null;null;82,288889;null;
1998-05-31;null;68,6;null;null;209,1;5,827957;22;201,3;1007,290323;32,622581;27,154839;23,280645;89,322581;null;null;83,391304;null;
1998-06-30;null;75,3;null;null;182,9;6,033333;24;180,7;1008,541111;31,73;26,204667;22,153333;89,558333;null;null;83,533333;null;
1998-07-31;null;77,8;null;null;208,1;4,860215;25;312,2;1008,486022;31,403226;25,919355;21,645161;89,758065;null;null;84;null;
1998-08-31;null;117,7;null;null;272,9;4,397849;11;112,3;1007,626882;32,13871;26,185806;21,241935;85,975806;null;null;84;null;
1998-09-30;null;164,2;null;null;251,2;4,611111;4;2,2;1007,327778;32,673333;26,497333;21,36;88,575;null;null;83,733333;null;
1998-10-31;null;null;null;null;281,7;4,021505;1;,4;1006,768817;33,758065;26,996129;21,248387;76,951613;null;null;84;null;
1998-11-30;null;186,5;null;null;208,7;4,944444;3;2,4;1005,211111;34,12;27,238667;21,44;79,083333;null;null;83,688889;null;
1998-12-31;null;169,6;null;null;221,2;5,032258;8;21,2;1005,716129;33,809677;27,015484;21,429032;79,540323;null;null;83,698925;null;
1999-01-31;null;120,2;null;null;177,5;6,967742;14;134,7;1005,186022;32,364516;26,436129;21,712903;83,056452;null;null;83,548387;null;
1999-02-28;null;63,2;null;null;102,1;7,785714;24;277,4;1006,142857;30,807143;25,687857;21,717857;88,9375;null;null;81,5;null;
1999-03-31;null;48;null;null;98,2;8,032258;29;569;1005,636559;29,9;25,197419;21,667742;91,741935;null;null;83,139785;null;
1999-04-30;null;51,2;null;null;134,9;7,688889;26;294,2;1006,871111;30,616667;25,472667;21,593333;92,25;null;null;83,533333;null;
1999-05-31;null;59,4;null;null;133,6;7,537634;27;410;1007,478495;30,803226;25,460645;21,558065;90,766129;null;null;82,795699;null;
1999-06-30;null;79,6;null;null;192,9;6,1;21;216,4;1007,304444;31,506667;25,668;21,14;89,591667;null;null;83,533333;null;
1999-07-31;null;85,9;null;null;212,8;5,086022;20;236,4;1008,572043;31,590323;25,301935;20,345161;89,903226;null;null;83,548387;null;
1999-08-31;null;136,4;null;null;253,9;4,591398;17;112,7;1008,124731;31,809677;25,886452;21,248387;88,927419;null;null;83,139785;null;
1999-09-30;5;198,7;null;null;258,4;4,888889;4;11,5;1006,414444;32,133333;26,082667;20,393333;82,341667;7;1,844444;84;null;
1999-10-31;5;210,3;null;null;269,2;4,44086;6;77,3;1006,674194;32,274194;26,005161;20,364516;82,895161;5;1,892473;83,204301;null;
1999-11-30;5;209,2;null;null;263,4;4,222222;3;8,3;1005,523333;32,886667;26,398667;20,34;80,45;5;2,144444;84;null;
1999-12-31;5;195,2;null;null;196,6;5,193548;10;138,2;1005,176344;32,803226;26,545161;21,290323;82,653226;6;1,88172;75,548387;null;
2000-01-31;0;75,9;null;null;162,1;7,225806;21;229;1004,936559;31,216129;26,042581;22,822581;87;4;,827957;32,634409;null;
2000-02-29;0;43,1;null;null;110,4;8,310345;27;687;1006,849425;30,286207;25,495172;22,555172;92,163793;3;,735632;46,091954;null;
2000-03-31;0;28,3;null;null;107,4;7,634409;27;390,2;1005,506452;30,280645;25,513548;22,532258;91;10;,784946;46,236559;null;
2000-04-30;0;52,9;null;null;112,6;7,388889;29;384,4;1006,513333;30,393333;23,056;18,53125;91,791667;5;,644444;46,944444;null;
2000-05-31;0;55,6;null;null;155,1;6,72043;31;374,6;1006,765591;30,816129;25,490968;21,529032;91,645161;3;,602151;47,311828;null;
2000-06-30;0;77,3;null;null;216,8;4,722222;21;274,7;1007,593333;31,26;25,675333;21,916667;91,125;3;,922222;49;null;
2000-07-31;0;64,8;null;null;188,5;6,032258;24;283,2;1007,397849;31,241935;25,54129;21,993548;89,975806;3;,806452;47,741935;null;
2000-08-31;5;114,4;null;null;267,6;4,645161;13;76,7;1007,097849;31,641935;25,70129;21,193548;85,346774;5;1,72043;46,55914;null;
2000-09-30;5;87,5;null;null;245;4,166667;7;14,6;1006,756667;32,3;26,197333;21,583333;85,008333;5;2,2;50,333333;null;
2000-10-31;5;180;null;null;269,4;3,83871;4;9,1;1006,897849;32,93871;26,494839;21,625806;81,419355;6;2,096774;47,311828;null;
2000-11-30;5;296,9;null;null;274,8;4,233333;0;0;1004,914444;33,38;26,850667;21,68;75,141667;5;2,444444;46,666667;null;
