Nome: OBIDOS
Codigo Estacao: 82178
Latitude: -1.905
Longitude: -55.5236111
Altitude: 54.72
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;99,1;null;null;174,9;6,731183;20;162;1004,424731;32,63871;27,529032;23,73871;84,435484;5;,913978;63,870968;null;
1998-02-28;0;93,9;null;null;188,4;6,559524;19;150,7;1004,927381;32,925;27,900714;24,096429;82,25;5;1,035714;63,571429;null;
1998-03-31;0;65,2;null;null;119,2;7,301075;25;306,4;1004,61828;31,193548;26,904516;23,745161;86,241935;5;,978495;62,258065;null;
1998-04-30;0;54,9;null;null;134,6;7,011111;18;212,1;1004,165556;31,45;27,264667;24,07;86,283333;5;1,066667;63,333333;null;
1998-05-31;0;50,4;null;null;152,8;7,021505;24;205,2;1005,334409;30,83871;26,940645;23,912903;87,475806;5;,860215;61,72043;null;
1998-06-30;0;67;null;null;211,6;5,666667;11;93,4;1006,01;31,716667;27,406;23,756667;83,566667;5;1,366667;66,666667;null;
1998-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-08-31;0;116,3;null;null;285,8;4,271739;2;1,7;1005,16413;33,254839;28,350323;24,170968;79,572581;5;1,347826;68,043478;null;
1998-09-30;0;115,8;null;null;251,3;5,655556;8;66,1;1004,39;33,6;28,090667;23,763333;78,333333;5;1,233333;66,222222;null;
1998-10-31;0;115,9;null;null;229,7;6,290323;6;65,7;1004,091398;33,987097;28,643871;24,332258;77,758065;5;1,236559;64,086022;null;
1998-11-30;0;92,1;null;null;177,8;6,522222;8;118,4;1003,24;32,663333;27,832667;23,726667;80,8;5;1;61,444444;null;
1998-12-31;0;95,8;null;null;218,5;6,075269;7;100,5;1003,784946;32,2;27,526452;23,219355;79,887097;5;1,193548;64,623656;null;
1999-01-31;0;66,3;null;null;165,6;7,11828;19;308,2;1004,125806;30,396774;25,958065;22,56129;87,629032;5;,645161;62,150538;null;
1999-02-28;0;48;null;null;131,1;7,214286;17;211,9;1004,222619;30,028571;25,772143;22,339286;88,241071;5;,940476;61,904762;null;
1999-03-31;0;46,6;null;null;118,9;8,032258;23;336,1;1004,73871;29,309677;25,41871;22,087097;90,66129;5;,978495;60,860215;null;
1999-04-30;0;48,6;null;null;154,7;7,522222;22;214,2;1005,485556;29,686667;25,568;21,99;88,875;5;1,022222;61,444444;null;
1999-05-31;0;47,8;null;null;132,5;7,72043;22;239,3;1005,794624;29,570968;25,569677;22,174194;89,072581;5;,655914;60,537634;null;
1999-06-30;0;63,9;null;null;210,2;6,833333;null;65,2;1005,462222;31,403333;26,52;22,546667;85,775;5;1,255556;62,333333;null;
1999-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-08-31;0;104,7;null;null;266,8;5,48913;null;46,8;1005,953261;32,412903;27,247097;22,483871;80,177419;7;1,467391;66,086957;null;
1999-09-30;0;106;null;null;246;5,944444;null;54,4;1004,576667;32,533333;27,360667;22,656667;83,425;5;1,7;67;null;
1999-10-31;0;109,1;null;null;255,8;6,043011;null;61,3;1004,460215;32,722581;27,914194;22,754839;81,483871;5;1,27957;63,763441;null;
1999-11-30;0;80,7;null;null;200,5;5,977778;null;220,5;1003,575556;31,796667;27,305333;22,746667;83,658333;7;1,388889;63,555556;null;
1999-12-31;0;60,4;null;null;null;6,182796;null;70,1;1003,512903;31,912903;27,315484;22,951613;83,935484;7;,956989;64,193548;null;
2000-01-31;0;52,4;null;null;null;7,086022;19;508,1;1003,936559;30,170968;25,609032;21,609677;89,08871;7;1;61,72043;null;
2000-02-29;0;49,6;null;null;null;7,747126;22;229,2;1005,494253;30,127586;25,414483;21,906897;87,982759;7;,885057;61,149425;null;
2000-03-31;0;39,2;null;null;null;7,967742;28;456,3;1004,363441;29,922581;25,510968;21,56129;89,451613;5;,83871;60,860215;null;
2000-04-30;0;41,2;null;null;null;7,611111;25;426,8;1004,947778;29,966667;25,625333;21,763333;89,416667;7;,855556;62,666667;null;
2000-05-31;0;51;null;null;null;7,301075;19;198,3;1004,865591;30,358065;26,292903;21,935484;88,266129;7;1,021505;63,870968;null;
2000-06-30;0;67,3;null;null;null;6,655556;11;70,7;1004,826667;31,186667;26,534;21,926667;84,375;5;1,344444;66,333333;null;
2000-07-31;0;61,1;null;null;null;7,204301;13;108;1004,890323;30,487097;25,883871;21,464516;87,370968;7;,978495;64,408602;null;
2000-08-31;0;91;null;null;null;6,129032;5;23,7;1004,102151;32,141935;26,824516;21,603226;82,66129;5;1,247312;67,526882;null;
2000-09-30;0;85,2;null;null;null;6,544444;8;79,3;1003,528889;32,313333;27,043333;22,023333;81,891667;5;1,188889;66,111111;null;
2000-10-31;0;103,8;null;null;null;6,623656;5;11,4;1003,162366;32,793548;27,970968;23,822581;77,991935;7;1,591398;66,021505;null;
2000-11-30;0;105,6;null;null;null;7,022222;5;27,7;1001,673333;32,71;28,069333;24,023333;77,591667;5;1,455556;64,444444;null;
2000-12-31;0;74,3;null;null;null;6,860215;10;82,3;1003,022581;32,854839;27,770968;23,916129;77,322581;5;1,182796;63,655914;null;
2001-01-31;0;61,5;null;null;null;8,236559;28;454,9;1004,292473;29,945161;25,790323;22,941935;88,814516;5;,516129;61,935484;null;
2001-02-28;0;49,9;null;null;109,3;8,297619;22;306,1;1004,278571;29,753571;25,405714;22,575;88,696429;5;,603571;59,285714;null;
2001-03-31;0;65,5;null;null;154,5;8,225806;24;284,2;1003,943011;30,364516;26,224516;23,319355;87,451613;3;,666667;59,892473;null;
2001-04-30;0;49,7;null;null;150,7;7,822222;21;297,2;1004,175556;30,43;26,167333;23,196667;87,891667;3;,577778;63,222222;null;
2001-05-31;0;60,6;null;null;179,6;7,483871;16;138,1;1003,855914;30,7;26,594194;23,648387;87,895161;3;,666667;64,193548;null;
2001-06-30;0;54;null;null;142,5;8,211111;18;160,1;1005,413333;29,79;25,733333;22,883333;88,033333;7;1,144444;61,222222;null;
2001-07-31;0;77,8;null;null;239,8;6,612903;5;21,1;1004,734409;31,380645;26,627742;23,029032;82,741935;5;,956989;68,172043;null;
2001-08-31;0;112,3;null;null;290,9;5,365591;2;14,4;1005,341935;32,825806;27,836774;23,341935;76,354839;5;1,225806;68,817204;null;
2001-09-30;0;108,4;null;null;244,7;6,455556;8;53,5;1003,511111;32,723333;27,601333;23,46;80,566667;5;1,211111;65,444444;null;
2001-10-31;0;134,6;null;null;265;6,72043;8;105;1003,112903;33,532258;28,365806;24,225806;79,596774;5;1,483871;65,483871;null;
2001-11-30;0;129;null;null;222,9;6,744444;4;25,7;1002,075556;33,353333;28,773333;24,8;78,716667;5;1,062222;64,333333;null;
2001-12-31;0;147,6;null;null;200,6;7,193548;6;20,9;1001,272043;34,174194;29,298065;25,619355;74,548387;5;1,411828;62,795699;null;
2002-01-31;0;69,6;null;null;159,7;8,365591;22;264;1003,529032;30,651613;26,576129;23,832258;87,08871;3;,64086;59,784946;null;
2002-02-28;0;65,8;null;null;163,9;8,380952;21;367,8;1003,575;31,221429;26,700714;23,917857;85,339286;3;,619048;61,309524;null;
2002-03-31;0;60;null;null;140,1;8,365591;18;251,2;1003,648387;30,703226;26,447742;23,658065;85,112903;3;,408602;60,107527;null;
2002-04-30;0;49,6;null;null;127,7;8,455556;22;455,9;1003,327778;30,23;26,118667;23,543333;87,6;3;,688889;60,111111;null;
2002-05-31;0;57,3;null;null;184,3;8,365591;17;157,7;1003,610753;31,086207;26,863846;24,2;85,91129;5;,569892;63,44086;null;
2002-06-30;0;63;null;null;216;7,511111;12;139;1005,208889;30,9;26,529333;23,36;83,858333;5;,741111;63,888889;null;
2002-07-31;0;84,8;null;null;280,1;7,064516;7;52,7;1005,435484;31,812903;27,214839;23,719355;80,112903;5;1,387097;66,666667;null;
2002-08-31;0;103,4;null;null;274,4;6,860215;4;20,9;1004,717204;32,541935;27,578065;23,809677;77,290323;5;1,354839;66,989247;null;
2002-09-30;0;136;null;null;290,5;6,911111;2;7,3;1003,688889;33,873333;28,665333;24,473333;71,15;5;1,546667;66,444444;null;
2002-10-31;0;147,9;null;null;235,8;6,741935;5;23,3;1002,72043;33,564516;28,660645;24,66129;72,209677;5;1,494624;65,591398;null;
2002-11-30;0;115,3;null;null;220,7;7,644444;11;89,6;1002,896667;33,156667;28,174;24,383333;74,508333;5;,866667;63,222222;null;
