Nome: MONTE ALEGRE
Codigo Estacao: 82181
Latitude: -2
Longitude: -54.07638888
Altitude: 100.52
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;5;133,9;null;null;196,3;6,172043;12;101,8;null;32,345161;27,629677;24,006452;60,814516;8,7;4,066667;54,193548;null;
1998-02-28;5;105,8;null;null;192,8;5,964286;14;49,5;null;32,364286;27,910714;24,246429;60,508929;8,3;4,275;56,666667;null;
1998-03-31;5;75,8;null;null;164,9;7,387097;20;381,4;null;30,951613;26,826452;23,816129;69,943548;6,6;3,274194;54,623656;null;
1998-04-30;5;62,6;null;null;165,3;7,522222;24;269,3;null;31,12;27,424;24,213333;67,616667;6,6;3,04;57,444444;null;
1998-05-31;5;64,1;null;null;178,2;6,505376;25;313,7;null;30,867742;27,224516;24,070968;66,508065;6,6;2,844086;57,096774;null;
1998-06-30;5;78,5;null;null;230,1;5,177778;17;131;null;31,02;27,145333;23,886667;60,625;8,3;3,29;56,222222;null;
1998-07-31;5;92,5;null;null;231,8;4,88172;11;46,9;null;31,083871;26,911613;23,541935;57,564516;5,5;2,848387;58,494624;null;
1998-08-31;5;133,1;null;null;294,8;4,462366;2;5;null;32,535484;28,132258;24,516129;51,725806;7,5;4,150538;58,387097;null;
1998-09-30;5;140;null;null;264,5;4,022222;2;26,9;null;33,11;28,515333;24,483333;52,908333;7,6;4,327778;56,555556;null;
1998-10-31;5;166,6;null;null;null;4,430108;0;0;null;33,416129;28,793548;24,574194;51,806452;8,5;4,824731;57,419355;null;
1998-11-30;5;138,2;null;null;null;5,711111;6;67;null;32,653333;28,161333;24,196667;54,866667;7,5;4,208889;54,888889;null;
1998-12-31;5;113,8;null;null;null;5,387097;6;91,5;null;31,419355;27,094194;23,46129;57,645161;7,5;3,758065;54,946237;null;
1999-01-31;5;80;null;null;172,2;6,612903;16;179,6;null;30,13871;26,065161;22,732258;66,733871;8;3,041935;56,344086;null;
1999-02-28;5;57,2;null;null;145,8;7,47619;19;305,9;null;29,953571;25,99;23,010714;70,446429;10;3,041667;55,47619;null;
1999-03-31;5;54,9;null;null;127,5;8,021505;24;371,7;null;29,316129;25,751613;23,145161;72,177419;5,5;2,892473;55,376344;null;
1999-04-30;5;53,4;null;null;141,5;7,788889;26;277,3;null;29,56;25,804667;23,176667;70,691667;6,6;2,764444;55,333333;null;
1999-05-31;5;48,7;null;null;138;7,172043;25;321,8;null;29,216129;25,502581;22,996774;74,137097;5,5;2,333333;56,021505;null;
1999-06-30;5;81,6;null;null;221,5;6;10;118,6;null;30,48;26,649333;23,8;60,033333;6,6;3,138889;57,303371;null;
1999-07-31;5;102,8;null;null;250,9;4,752688;7;50,1;null;31,170968;26,875484;23,493548;56,475806;6;2,739785;59,247312;null;
1999-08-31;5;126,9;null;null;264,7;4,55914;5;21,1;null;31,648387;27,463871;23,867742;51,741935;6,6;3,456989;57,311828;null;
1999-09-30;5;124,2;null;null;259,3;4,933333;6;26;null;32,086667;27,754;24,026667;53,6;6,6;4,156667;58,666667;null;
1999-10-31;5;126,5;null;null;266,2;4,946237;6;88,6;null;32,367742;28,014194;24,180645;51,25;7;3,78172;58,172043;null;
1999-11-30;5;112,4;null;null;230;5,722222;6;67,8;null;31,92;27,446;23,856667;56,125;6,6;3,864444;56,222222;null;
1999-12-31;5;102,8;null;null;205,2;5,989247;12;296,3;null;31,354839;27,102581;23,603226;56,919355;6,6;3,594624;56,451613;null;
2000-01-31;5;62,9;null;null;162;7,569892;17;253,8;null;30,096774;25,831613;23,077419;65,322581;6,6;2,492473;56,451613;null;
2000-02-29;5;60,6;null;null;140,2;7,655172;20;310,6;null;29,734483;25,844138;23,089655;63,732759;6,6;2,558621;56,896552;null;
2000-03-31;5;61,4;null;null;141,3;8,129032;22;268,1;null;30,006452;25,747742;23,045161;66,443548;6,6;2,641935;55,268817;null;
2000-04-30;5;50,8;null;null;139,1;7,722222;27;505,8;null;29,623333;25,710667;22,8;68,341667;6,6;2,351111;54,333333;null;
2000-05-31;5;68;null;null;190,6;6,827957;22;121,8;null;30,203226;26,392903;23,664516;61,862903;7;2,815054;58,817204;null;
2000-06-30;5;76,9;null;null;222,4;5,477778;16;200,4;null;30,263333;26,479333;23,58;59,075;6,6;3,051111;58,777778;null;
2000-07-31;5;71,5;null;null;199,8;5,956989;19;267,6;null;29,754839;25,969032;22,758065;60,758065;5,5;2,805376;58,064516;null;
2000-08-31;5;122,2;null;null;295;4,086022;6;13,9;null;31,8;27,385806;23,590323;59,758065;7;3,724731;58,924731;null;
2000-09-30;5;134,2;null;null;257;4,722222;4;37;null;32,336667;27,822;23,796667;73,575;8,3;4,166667;58,777778;null;
2000-10-31;5;139;null;null;257,9;4,946237;3;9;null;32,674194;28,045161;24,167742;72,66129;7,5;4,177419;59,354839;null;
2000-11-30;5;131,4;null;null;243,8;5,244444;6;174,5;null;31,983333;27,700667;23,986667;73,766667;6,6;3,886667;58,111111;null;
2000-12-31;5;146,4;null;null;249,6;5,537634;4;17,5;null;32,058065;27,694839;23,887097;72,193548;8;3,964516;58,924731;null;
2001-01-31;5;93,4;null;null;177,1;7,301075;21;202,4;null;30,148387;25,82;22,770968;80,362903;6,6;2,633333;57,688172;null;
2001-02-28;5;67,7;null;null;133,8;7,72619;22;223,4;null;29,957143;25,582143;22,517857;82,8125;6,6;2,769048;54,285714;null;
2001-03-31;5;88,5;null;null;169,5;7,688172;18;179,6;null;30,341935;26,364516;23,512903;82,540323;5,6;3,005376;57,526882;null;
2001-04-30;5;59,1;null;null;134,9;7,8;27;506,6;null;29,726667;25,935333;23,236667;86,616667;7;2,594444;54,777778;null;
2001-05-31;5;82,5;null;null;210;6,430108;21;130,8;null;30,580645;26,754194;23,848387;84,225806;6,6;2,915054;57,526882;null;
2001-06-30;5;67;null;null;166;7,177778;20;280,1;null;29,34;25,758;22,86;85,108333;5;2,636667;57,222222;null;
2001-07-31;5;113,7;null;null;259,3;4,967742;5;22,9;1000,526882;31,180645;26,792258;23,419355;76,314516;7,5;3,211828;62,473118;null;
2001-08-31;5;150,8;null;null;295,8;4,333333;6;18,6;1001,112903;32,329032;27,850968;24,016129;71,645161;8;3,713978;63,010753;null;
2001-09-30;5;144,2;null;null;257,4;5,7;5;12,8;999,345556;32,52;27,950667;24,02;70,466667;8,3;3,692222;61,444444;null;
2001-10-31;5;176,7;null;null;275,7;5,225806;0;0;998,645652;33,46;28,606667;24,366667;67,233333;8,3;4,075;61,182796;null;
2001-11-30;5;175,5;null;null;247,9;5,561798;1;,8;997,718889;33,416667;28,601379;24,443333;67,955357;8,3;4,121348;56,555556;null;
2001-12-31;5;198,9;null;null;264;5,494624;0;0;996,913978;33,541935;28,734194;24,46129;67,782258;9,5;5,045161;56,774194;null;
2002-01-31;5;109,3;null;null;188,2;7,408602;16;160;999,21828;31,235484;26,977419;23,622581;79,491935;6,6;2,895699;63,333333;null;
2002-02-28;5;105,3;null;null;202,1;7,119048;12;83,7;998,903571;31,310714;26,959286;23,746429;79,339286;6,6;3,608333;61,547619;null;
2002-03-31;5;90;null;null;162,4;7,860215;18;166,9;999,305376;30,519355;26,405806;23,477419;83,177419;5,5;2,803226;62,580645;null;
2002-04-30;5;67,1;null;null;152;7,8;21;539,7;998,744444;30,306667;26,313333;23,226667;83,566667;6,6;2,831111;62,888889;null;
2002-05-31;5;82,7;null;null;215,3;7,043011;20;212,2;999,34086;30,464286;26,940741;23,933333;81,959677;6;3,131183;61,935484;null;
2002-06-30;5;78,4;null;null;205,8;6,188889;21;236,6;1001,082222;30,223333;26,361333;23,16;81,075;6,6;2,553333;64,222222;null;
2002-07-31;5;113,3;null;null;284,8;4,301075;8;99,2;1001,264516;31,212903;27,223871;23,696774;75,072581;7;3,332258;63,655914;null;
2002-08-31;5;141,6;null;null;288;4,731183;7;23,9;1000,597849;31,993548;27,647097;23,790323;71,66129;7;3,902151;62,903226;null;
2002-09-30;5;169,1;null;null;282;4,5;0;0;999,594444;32,903333;28,476;24,246667;67,425;7,8;4,16;63,444444;null;
2002-10-31;5;176;null;null;273,1;5,903226;4;36,6;998,365591;33,03871;28,374194;24,141935;67,572581;7,3;4,477419;61,505376;null;
2002-11-30;5;167,7;null;null;263,4;5,611111;2;36;998,608889;33,073333;28,252;24,13;70,55;7,6;3,801111;59,111111;null;
2002-12-31;5;147,7;null;null;236,2;6,731183;6;74,6;999,229032;32,26129;27,776774;23,932258;73,145161;8,3;3,54086;60;null;
2003-01-31;5;149,8;163,599604;125,2;246,1;6,602151;5;25,2;999,602151;32,364516;27,65871;23,816129;74,991935;7;3,824731;63,225806;null;
2003-02-28;5;65,9;118,278678;118,278678;136,9;8,214286;25;305,9;999,505952;30,25;26,108571;23,139286;86,008929;9,8;2,869048;60,952381;null;
2003-03-31;5;77,2;134,132231;134,132231;159,7;7,849462;17;394,4;999,270968;30,412903;26,265806;23,23871;83,112903;8;3,145161;58,27957;null;
2003-04-30;5;71,7;132,842205;132,842205;192,7;7,391667;21;357,1;999,64;30,633333;26,544667;23,473333;84,041667;7;2,51716;63,422222;null;
2003-05-31;5;75,2;142,523783;142,523783;214;6,655914;22;222,9;999,778495;30,76129;26,800645;23,548387;83,41129;7,1;3,002151;62,473118;null;
2003-06-30;5;76,7;137,638797;137,638797;238,8;5,933333;14;117,6;1000,24;30,803333;26,802667;23,54;81,833333;5,8;2,993333;63,444444;null;
2003-07-31;5;109,8;148,296061;148,296061;253,1;4,774194;8;117,3;1001,124731;31,351613;27,060645;23,490323;75,104839;6;2,93871;63,978495;null;
2003-08-31;5;129,4;159,154995;108,165142;268;5,053763;7;59;1001,103226;31,903226;27,538065;23,845161;73,951613;6,6;3,239785;65,053763;null;
2003-09-30;5;124,2;null;null;260,6;5,833333;5;67,8;999,93;32,38;28,006667;23,8;72,2;6;3,368889;63,333333;null;
2003-10-31;5;132,6;null;null;248,2;6,258065;4;114,1;998,507527;32,683871;28,212258;24,170968;71,177419;7,1;3,516129;59,139785;null;
2003-11-30;5;118,4;null;null;236,7;6,266667;6;125,2;998,124444;32,31;28,036;24,2;72,891667;11,6;3,362222;59,888889;null;
2003-12-31;5;135,4;null;null;248,9;5,774194;5;43,2;998,549462;32,409677;27,97871;24,012903;72,620968;6,6;3,562366;59,354839;null;
2004-01-31;5;104,1;null;null;214,9;7,290323;11;255,8;998,468817;31,877419;27,573548;24,135484;76,064516;6;2,734409;63,225806;null;
2004-02-29;5;56,6;null;null;123,1;8,643678;27;387,1;1000,003448;29,948276;25,814483;22,965517;84,844828;5;2,421839;60;null;
2004-03-31;2;70,1;null;null;166,3;7,860215;24;327;999,1;30,422581;26,440645;23,416129;83,604839;7,1;2,809677;61,505376;null;
2004-04-30;5;66;null;null;180,6;7,6;23;147,4;999,21573;30,693333;26,702;23,546667;82,758333;6,3;2,59;63;null;
2004-05-31;2;70,2;null;null;197,5;7;22;260,5;999,970968;30,635484;26,652903;23,387097;81,637097;6,3;2,610753;62,688172;null;
2004-06-30;2;77;null;null;225,3;6,144444;23;251,4;1001,617778;30,096667;26,390667;22,956667;78,391667;6,3;3,134444;62,666667;null;
2004-07-31;5;93,6;null;null;260,3;5,397849;10;100,6;1000,755914;30,683871;26,637419;22,977419;76,274194;6,6;2,860215;63,333333;null;
2004-08-31;5;120,3;null;null;272,6;5,225806;9;64,2;1001,656989;31,66129;27,468387;23,619355;73,524194;8,6;3,239785;65,268817;null;
2004-09-30;5;114,7;null;null;260,6;5,944444;6;141,1;999,735556;32,15;27,85;23,52;72,433333;6;3,282222;62;null;
2004-10-31;5;141,7;null;null;null;5,698925;3;13,4;998,635484;32,803226;28,309677;24,183871;69,935484;6,3;3,632258;61,075269;null;
2004-11-30;5;152,5;null;null;null;5,533333;null;0;998,085556;33,256667;28,697333;24,39;67,766667;6,6;3,85;59,333333;null;
2004-12-31;5;153,7;null;null;null;6,193548;4;95,1;998,173118;32,696774;28,181935;24,216129;69,806452;6,6;3,647312;54,236559;null;
2005-01-31;5;123,8;null;null;205,5;5,903226;8;129,5;998,069892;32,222581;27,809032;24,083871;75,443548;6,6;3,337634;59,247312;null;
2005-02-28;2;63,9;null;null;132,9;7,904762;19;244,5;998,457143;30,471429;26,556429;23,671429;82,553571;5,6;2,87619;60,47619;null;
2005-03-31;2;70,7;null;null;133,1;8,27957;21;366,9;999,689247;30,519355;26,720645;23,719355;82,83871;5,6;2,458065;62,580645;null;
2005-04-30;5;59,4;null;null;146,8;7,966667;23;255,8;999,301111;30,116667;26,596;23,813333;85,158333;6,6;2,497778;62;null;
2005-05-31;2;52,1;null;null;142;7,795699;26;452;999,613978;29,625806;26,252903;23,374194;86;5;2,389247;62,150538;null;
2005-06-30;5;72,6;null;null;206,9;6,044444;14;140,1;1000,263333;30,506667;26,928;23,633333;80,416667;5,6;2,955556;63,444444;null;
