Nome: BREVES
Codigo Estacao: 82188
Latitude: -1.680277
Longitude: -50.478034
Altitude: 9.8
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;5;56,8;null;null;101,3;5,236559;23;292,1;null;31,303226;26,232258;22,903226;86,685484;2;,844086;57,634409;null;
1998-02-28;5;45;null;null;120;5,238095;20;251,7;null;31,771429;26,275714;22,678571;86,6875;2;,869048;57,02381;null;
1998-03-31;5;28,3;null;null;98,7;5,494624;21;362,8;null;31,580645;26,24;22,677419;86,798387;2;,930108;59,032258;null;
1998-04-30;9;null;null;null;null;5,069444;18;254,8;null;32,05;26,553043;22,975;85,532609;2;,868056;57,222222;null;
1998-05-31;5;51,6;null;null;145,1;5,5;17;209,1;null;32,281481;26,991111;23,548148;83,361111;2;,9;60;null;
1998-06-30;5;47,6;null;null;199,4;5,611111;19;234,4;null;31,833333;26,854667;23,673333;83,583333;2;,894444;59,777778;null;
1998-07-31;5;58,2;null;null;226,8;5,860215;11;125,2;null;31,593548;26,336774;23,096774;85,508065;2;,951613;62,258065;null;
1998-08-31;5;58,9;null;null;138,5;5,784946;7;31,4;null;32,219355;26,741935;23,509677;83,346774;2;1,010753;60,967742;null;
1998-09-30;9;66,4;null;null;null;5,755556;5;65,4;null;32,54;26,972;23,526667;82,258333;2;,95;61,333333;null;
1998-10-31;5;53,4;null;null;187,6;5,88172;4;14,8;null;32,806452;27,43871;23,922581;80,782258;2;1,037634;62,258065;null;
1998-11-30;5;76,8;null;null;165,9;5,733333;6;75;null;32,553333;27,048;23,753333;82,35;2;,9;61,555556;null;
1998-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-01-31;null;null;null;null;null;null;13;93,3;null;30,209524;25,619048;22,72381;89,904762;2;null;null;null;
1999-02-28;5;16,5;null;null;99,8;5,25;15;273,9;null;30,85;25,597143;22,257143;88,633929;2;,797619;58,095238;null;
