Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;14;42,9;null;null;121,8;7,784946;26;409,3;null;1009,247312;31,612903;26,85871;23,758065;89,282258;6,3;1,480645;60,322581;
1998-02-28;14;45,4;null;null;172,4;6,083333;25;321,9;null;1010,041667;32,932143;27,564286;24,325;86,741071;4,1;1,607143;62,02381;
1998-03-31;0;39,7;null;null;107,9;7,397849;28;384;null;1009,34086;31,774194;27,056129;24,151613;88,895161;4,3;1,068817;59,354839;
1998-04-30;14;44,3;null;null;186,6;6,977778;29;514,5;null;1008,823333;33,146667;27,768;24,54;88,233333;4,6;1,318889;59,444444;
1998-05-31;14;54;null;null;226,2;5,849462;24;199,3;null;1010,429032;33,4;27,826452;24,203226;85,016129;4,1;1,490323;61,935484;
1998-06-30;14;54,4;null;null;229,9;4,855556;22;199,5;null;1011,805556;32,606667;27,184;23,54;84,35;3,5;1,693333;62,666667;
1998-07-31;5;66,4;null;null;234,4;5,225806;16;118,4;null;1011,749462;32,5;26,985161;23,219355;84,016129;3,8;1,456989;62,258065;
1998-08-31;9;68,8;null;null;266,4;4,72043;18;143,2;null;1010,867742;32,996774;27,317419;23,212903;82,177419;4,1;1,627957;62,580645;
1998-09-30;5;69,5;null;null;240,8;5,022222;16;89,2;null;1010,755556;33,146667;27,404667;23,173333;81,2;4,8;1,946667;64,111111;
1998-10-31;5;79,8;null;null;239,2;4,903226;16;73;null;1010,094624;33,493548;27,675484;22,967742;79,096774;4,3;2,090323;62,795699;
1998-11-30;5;64,2;null;null;168,1;6,144444;18;174,5;null;1008,722222;32,966667;27,468667;23,376667;83,391667;4,3;1,824444;62,111111;
1998-12-31;5;63,5;null;null;177,8;6,258065;22;305,7;null;1009,267742;32,667742;26,880645;22,880645;83,314516;4,3;1,848387;59,784946;
1999-01-31;5;44,5;null;null;137,1;7,11828;28;234,8;null;1008,778495;31,832258;26,365161;23,016129;88,459677;4,5;1,239785;59,032258;
1999-02-28;0;32,5;null;null;103,2;7,916667;25;353;null;1009,566667;31,028571;25,924286;22,9;89,482143;5;1,195238;59,761905;
1999-03-31;5;39,9;null;null;128,1;7,860215;29;377,9;null;1008,974194;30,996774;26,039355;22,958065;89,959677;5;1,234409;61,182796;
1999-04-30;5;37,7;null;null;145,5;7,688889;28;364,4;null;1010,175556;31,503333;26,332;23,206667;89,358333;4,6;1,381111;60,888889;
1999-05-31;0;39,2;null;null;145,9;7,548387;28;389;null;1010,855914;31,080645;26,273548;23,190323;88,766129;5,5;1,151613;59,784946;
1999-06-30;9;56,9;null;null;215,8;5,722222;21;135,3;null;1010,596667;32,326667;26,736667;23,05;83,008333;3,3;1,307778;63,444444;
1999-07-31;5;72,1;null;null;257,5;4,634409;11;47,1;null;1011,791398;32,735484;26,753548;22,474194;80,741935;4,1;1,470968;63,763441;
1999-08-31;5;75,3;null;null;253,5;4,677419;12;79,2;null;1011,241935;33,077419;27,125161;22,841935;80,66129;4,5;1,688172;63,870968;
1999-09-30;5;61,5;null;null;227,1;5,488889;22;129,9;null;1009,72;32,593333;26,882667;22,783333;83,383333;3,8;1,79;63,777778;
1999-10-31;5;64,2;null;null;219,8;5,580645;19;127,5;null;1009,936559;32,632258;26,909032;22,658065;82,330645;4,1;1,757609;63,548387;
1999-11-30;5;73,3;null;null;191,6;5,955556;11;79,3;null;1008,683333;33,046667;27,441333;22,936667;79,966667;4,1;2,007778;63,222222;
1999-12-31;5;59,6;null;null;128,7;7,043011;22;362,8;null;1008,498925;32,445161;26,937419;23;84,814516;3,6;1,707527;61,075269;
2000-01-31;5;46,1;null;null;142,2;6,892473;28;411,9;null;1008,589247;31,816129;26,245806;22,883871;88,314516;4,6;1,404301;57,096774;
2000-02-29;0;36;null;null;90,1;7,344828;27;435,6;null;1010,717241;30,67931;25,727586;22,82069;89,922414;5;1,3;61,954023;
