Nome: FONTE BOA
Codigo Estacao: 82212
Latitude: -2.51583333
Longitude: -66.10083333
Altitude: 59.34
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;48,7;null;null;111,5;6,88172;17;308,5;null;1005,807527;31,032258;27,197419;23,16129;87,58871;3;,666667;43,978495;
1998-02-28;0;52;null;null;123,4;6,238095;14;198,3;null;1005,460714;32,092857;27,72;23,471429;88,455357;8;,857143;48,380952;
1998-03-31;0;53,7;null;null;97,5;7,677419;21;174,1;null;1005,606452;31,029032;27,119355;23,316129;90,137097;3;,623656;43,602151;
1998-04-30;0;47,8;null;null;123,5;6,611111;20;213,6;null;1005,432222;31,346667;27,022667;23,053333;93;2;,388889;56,277778;
1998-05-31;0;43;null;null;112,2;7,333333;19;257,6;null;1005,908602;30,470968;26,966452;22,870968;89,467742;8;,601075;47,580645;
1998-06-30;0;29,5;null;null;89,8;7,744444;20;381,8;null;1006,466667;29,603333;25,920667;22,52;91,008333;3;,455556;47,777778;
1998-07-31;0;37,6;null;null;131,4;5,989247;16;169,6;null;1005,436559;31,232258;26,642581;21,96129;90,266129;2;,387097;62,795699;
1998-08-31;0;56,5;null;null;180,6;5,419355;11;142,1;null;1005,289247;31,606452;26,861935;22,277419;92,08871;3;,473118;63,150538;
1998-09-30;0;57;null;null;168,2;5,933333;14;231,4;null;1005,777778;31,906667;27,008;23,12;87,016667;3;,844444;49,777778;
1998-10-31;0;57,5;null;null;150,9;7,010753;13;289,3;null;1005,603226;31,535484;26,965161;22,987097;87,419355;3;,774194;47,634409;
1998-11-30;0;43;null;null;129,6;7,655556;18;387,3;null;1005,822222;30,973333;26,738667;22,98;88,1;3;,922222;48,611111;
1998-12-31;0;62,4;null;null;null;6,72043;10;371,2;null;1005,813978;31,445161;26,934194;22,612903;88,556452;3;,752688;54,946237;
1999-01-31;0;42,2;null;null;null;7,784946;20;346,8;null;1005,87957;29,964516;25,885161;22,564516;88,282258;3;,645161;49,677419;
1999-02-28;0;46;null;null;122,3;7,464286;21;224,5;null;1005,935714;30,028571;25,958571;22,357143;89,258929;4;,72619;48,809524;
1999-03-31;0;46,8;null;null;140,2;6,935484;null;184,9;null;1005,858065;30,916129;26,312258;21,974194;89,790323;3;,602151;61,978495;
1999-04-30;0;31;null;null;81,4;8,266667;24;447,5;null;1006,714444;29,516667;25,363333;21,486667;91,366667;2;,422222;54,655556;
1999-05-31;0;16,7;null;null;121,8;7,44086;22;231,7;null;1006,713978;29,574194;25,651613;22,03871;90,032258;3;,645161;54,408602;
1999-06-30;0;29,5;null;null;100,7;7,455556;24;292,6;null;1006,827778;29,053333;25,593333;22,006667;91,875;3;,577778;52,055556;
1999-07-31;0;38,3;null;null;130,6;6,741935;18;206,6;null;1007,42043;29,222581;25,081935;21,187097;89,862903;3;,580645;55,860215;
1999-08-31;0;39;null;null;143,2;7,021505;15;118,2;null;1007,136559;29,980645;25,415484;20,851613;88,185484;3;,924731;53,655914;
1999-09-30;0;58,8;null;null;149,3;6,788889;16;207,3;null;1005,846667;31,413333;26,202667;21,54;87,683333;3;,777778;56,555556;
1999-10-31;0;65,4;null;null;174;6,086022;null;114,8;null;1005,78172;31,4;26,516129;21,76129;87,274194;3;,55914;58,795699;
1999-11-30;0;92,5;null;null;168,5;6,522222;null;122;null;1005,746667;31,286667;26,426;21,77;88,175;3;,7;56,155556;
1999-12-31;0;50,4;null;null;139,9;7,150538;19;354,1;null;1005,774194;30,593548;26,234839;21,916129;90,008065;4;,591398;57,365591;
2000-01-31;0;74,1;null;null;130,3;7,505376;16;120;null;1005,595699;30,793548;26,305806;21,741935;90,258065;3;,591398;55,806452;
