Nome: PARINTINS
Codigo Estacao: 82240
Latitude: -2.63
Longitude: -56.73
Altitude: 29
Situacao: Desativada
Data Inicial: 1998-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;87,6;null;null;168,6;5,344086;22;325,2;1009,32043;33,877419;28,814839;24,935484;77,177419;4;,631183;40,430108;null;
1998-02-28;0;74,4;null;null;165,6;5,178571;19;246,3;1010,32619;33,760714;28,837143;25,117857;77,169643;4;1,009524;47,738095;null;
1998-03-31;0;64,8;null;null;148,2;5,645161;22;430;1009,905376;32,667742;28,026452;24,648387;81,080645;3,5;,764516;47,204301;null;
1998-04-30;0;54,2;null;null;120,8;6,3;22;228,4;1009,62;32,756667;28,4;25,433333;81,1;5;,69;45,888889;null;
1998-05-31;0;50,1;null;null;159,8;6,16129;29;335,5;1011,296774;32,190323;27,701935;24,551613;83,895161;3,3;,609677;46,666667;null;
1998-06-30;0;52,8;null;null;201,4;4,277778;23;132,1;1012,272222;32,386667;27,723333;24,55;83,366667;3,3;,498889;46,888889;null;
1998-07-31;0;62,2;null;null;239,1;3,72043;20;183,6;1012,239785;33,051613;27,694839;24,480645;81,983871;5,5;,955914;47,311828;null;
1998-08-31;0;97,1;null;null;290,8;2,72043;7;33,6;1011,039785;34,645161;29,390968;25,532258;75,951613;3,3;,837634;50;null;
1998-09-30;0;96,5;null;null;237,2;3,066667;10;83,6;1010,493333;34,65;29,238;25,466667;75,375;3,8;,904444;48,666667;null;
1998-10-31;0;100,3;null;null;206,9;3,505376;8;83,2;1010,006452;34,148387;28,906452;24,935484;76,701613;3,5;1,036559;48,11828;null;
