Nome: BELTERRA
Codigo Estacao: 82246
Latitude: -2.64222221
Longitude: -54.94388888
Altitude: 164.3
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;14;126,2;null;null;174,7;7,236559;12;26;null;991,893548;32,977419;27,472903;22,690323;81,967742;3;1,182796;60;
1998-02-28;14;null;null;null;184;6,797619;13;70,4;null;991,382143;null;null;22,764286;81,178571;3;1,154762;60;
1998-03-31;14;69,9;null;null;136,9;7,204301;20;279,4;null;992,096774;null;null;23,116129;86,233871;2;,924731;60;
1998-04-30;14;50,5;null;null;164,7;7,411111;18;122,6;null;989,715556;null;null;23,506667;87,7;2;,944444;60;
1998-05-31;14;45,8;null;null;133,5;7,623656;30;221,3;null;991,315054;30,419355;26,41871;23,170968;88,983871;2;,821505;60;
1998-06-30;14;45,7;null;null;172,6;6,488889;24;130,3;null;994,244444;30,586667;26,18;22,446667;88,05;1;,8;60;
1998-07-31;14;68,8;null;null;224,6;6,731183;12;73,8;null;994,277419;30,96129;26,285806;21,983871;86,274194;2;,978495;60;
1998-08-31;14;88,7;null;null;242,3;5,365591;4;18,3;null;993,236559;32,396774;27,307097;22,193548;81,758065;2;,870968;60,322581;
1998-09-30;14;105,6;null;null;214,4;5,511111;3;66,2;null;992,785556;33,066667;28,166;23,2;79,491667;2;1;60;
1998-10-31;14;117,9;null;null;169,1;5,956989;1;59,7;null;992,683871;33,016129;27,983226;22,970968;80,274194;2;,946237;60,107527;
