Nome: CAMETA
Codigo Estacao: 82263
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.93
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;5;58,4;null;null;null;7,483871;27;311,6;null;32,393548;27,172903;24,177419;88;4;2,333333;62,473118;null;
1998-02-28;5;58,7;null;null;null;6,785714;20;75,9;null;33,714286;28,252857;24,978571;84,5625;4;2,547619;66,714286;null;
1998-03-31;5;44,7;null;null;null;8,096774;28;583,1;null;32,56129;27,129032;24,267742;89,491935;4;2,096774;62,903226;null;
1998-04-30;5;54,8;null;null;208,4;7,466667;29;289,3;null;33,806667;28,021333;24,966667;88,316667;5;2,333333;66,377778;null;
1998-05-31;5;63,2;null;null;239,9;6,258065;25;360;null;34,180645;28,296774;24,948387;87,483871;4;1,989247;66,989247;null;
1998-06-30;5;64,9;null;null;234,2;5,588889;26;210,2;null;34,026667;27,688;24,2;85,475;5;2,511111;64,444444;null;
1998-07-31;5;64,2;null;null;234,9;5,741935;18;100,9;null;33,432258;27,389677;23,893548;87,185484;5;2,11828;68,494624;null;
1998-08-31;5;93,1;null;null;214,5;4,903226;9;44,4;null;33,683871;28,131613;24,577419;85,330645;5;2,322581;68,817204;null;
1998-09-30;5;93,5;null;null;null;4,844444;9;28,2;null;34,426667;28,492;24,486667;81,15;5;2,684444;68,444444;null;
1998-10-31;5;114,7;null;null;null;4,924731;8;56;null;34,316129;28,887097;24,858065;78,274194;5;2,946237;68,494624;null;
1998-11-30;5;91,8;null;null;null;5,955556;8;72;null;33,516667;28,182;24,44;82,108333;5;2,866667;68,444444;null;
1998-12-31;5;91,5;null;null;null;6,774194;13;152,1;null;32,954839;27,686452;24,26129;82,967742;5;2,683871;66,989247;null;
1999-01-31;5;57,5;null;null;null;7,580645;22;349,7;null;32,074194;26,677419;23,509677;88,532258;5;2,408602;65,268817;null;
1999-02-28;5;42,5;null;null;null;8,119048;27;404,2;null;31,657143;26,292857;23,407143;90,446429;4;2,47619;64,761905;null;
1999-03-31;5;49,1;null;null;null;8,27957;28;466,6;null;32,03871;26,449677;23,587097;89,806452;4;2,150538;63,333333;null;
1999-04-30;5;53,5;null;null;null;7,7;28;327,8;null;32,273333;26,660667;23,63;89,008333;4;2,122222;64,888889;null;
