Nome: TEFE
Codigo Estacao: 82317
Latitude: -3.38027777
Longitude: -64.72527777
Altitude: 56
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;58,3;null;null;null;7,096774;21;206,6;null;32,796774;null;null;92,91129;10,7;2,833333;56,946237;null;
1998-02-28;0;76,6;null;null;null;7,369048;17;213,1;null;33,735714;25,979286;20,19;91,758929;10,7;3,307143;62,916667;null;
1998-03-31;0;67,6;null;null;null;7,333333;20;258,1;null;32,970968;27,178065;21,216129;91,637097;7,9;2,336559;56,88172;null;
1998-04-30;0;75,8;null;null;null;7,244444;23;257,3;null;33,13;28,06;24,303333;92,45;10,7;2,122222;62,088889;null;
1998-05-31;0;57,3;null;null;null;7,193548;17;213,2;null;32,158065;27,448387;23,870968;93,298387;10,7;1,672043;62,494624;null;
1998-06-30;0;null;null;null;null;6,666667;14;null;null;31,35;26,539091;22,854545;93,954545;10,7;2,445455;61,227273;null;
1998-07-31;0;76,6;null;null;null;5,483871;13;99,7;null;32,53871;26,9;22,890323;92,104839;10,7;2,409677;64,709677;null;
1998-08-31;0;113,3;null;null;null;4,935484;7;30;null;34,203226;28,377419;23,522581;92,556452;10,7;2,108602;64,258065;null;
1998-09-30;0;100,5;null;null;null;5,244444;11;98,1;null;34,59;28,590667;23,41;87,858333;10,7;2,288889;63,044444;null;
1998-10-31;0;88,4;null;null;null;5,806452;11;180,2;null;33,951613;28,274194;23,36129;88,935484;7,9;1,887097;62,408602;null;
1998-11-30;0;62,9;null;null;null;6,722222;15;188,8;null;32,85;27,663333;23,28;91,1;7,9;1,822222;62,2;null;
1998-12-31;0;109,8;null;null;null;5,903226;15;92,6;null;33,596774;27,763226;22,896774;86,927419;7,9;1,202151;62,344086;null;
1999-01-31;0;58;null;null;null;7,580645;21;354,3;null;31,596774;26,480645;22,354839;90,193548;10,7;2,47957;58,473118;null;
1999-02-28;0;46,6;null;null;null;7,5;20;312,5;null;31,414286;26,382857;22,464286;90,973214;7,9;1,746429;58,678571;null;
1999-03-31;0;66,6;null;null;null;6,376344;17;306,4;null;32,696774;27,136774;22,63871;89,927419;7,9;2,316129;58,043011;null;
1999-04-30;0;59,7;null;null;null;6,988889;24;314,4;null;31,17;26,159333;22,126667;91,433333;7,9;1,743333;56,266667;null;
1999-05-31;0;62,2;null;null;null;7;21;362,7;null;31,177419;25,993548;21,990323;92,032258;10,7;1,378495;56,172043;null;
1999-06-30;0;51,5;null;null;null;6,233333;19;228,2;null;31,78;25,932;22,033333;92,225;5,4;,943333;56;null;
1999-07-31;0;67,2;null;null;null;5,860215;16;139,3;null;31,5;25,332258;21,296774;91,66129;7,9;1,610753;56,344086;null;
1999-08-31;0;66,3;null;null;null;5,946237;null;107,4;null;32,625806;25,965161;21,716129;88,83871;10,7;1,753763;47,150538;null;
1999-09-30;0;88;null;null;null;6,522222;15;90,7;null;33,543333;26,836667;22,826667;89,1;10,7;2,437778;55,222222;null;
1999-10-31;0;93,6;null;null;null;5,677419;null;62,5;null;33,525806;26,799355;22,606452;87,669355;7,9;1,760215;56,021505;null;
1999-11-30;0;84,6;null;null;null;6,522222;null;32,1;null;32,91;26,874;22,586667;86,45;7,9;2,335556;56,666667;null;
1999-12-31;0;45,9;null;null;null;7,010753;15;271,1;null;32,496774;26,536774;22,774194;91,25;7,9;1,249462;54,516129;null;
2000-01-31;0;44,3;null;null;null;7,473118;23;404,2;null;31,506452;25,640645;22,245161;95,66129;10,7;1,87957;52,741935;null;
2000-02-29;0;68,7;null;null;null;6,724138;10;155,4;null;32,106897;26,095862;22,372414;89,896552;10,7;2,473563;54,597701;null;
2000-03-31;0;65,2;null;null;null;7,709677;20;332,4;null;31,93871;26,1;22,374194;89,282258;10,7;2,839785;53,053763;null;
2000-04-30;0;74,7;null;null;null;6,822222;21;261,4;null;31,7;26,052;22,24;90,058333;10,7;2,293333;54,311111;null;
2000-05-31;0;59,9;null;null;null;7,129032;25;287,1;null;31,783871;26,004516;22,458065;92,58871;7,9;1,745161;55,505376;null;
2000-06-30;0;66,4;null;null;null;6,122222;17;107,5;null;31,756667;25,547333;22,059259;88,308333;7,9;2,25;58,622222;null;
2000-07-31;0;78,4;null;null;null;6,731183;13;135,9;null;30,790323;25,410968;20,980645;86,322581;10,7;1,647312;55,634409;null;
2000-08-31;0;99,4;null;null;null;5,462366;11;76,8;null;33,045161;26,650323;21,393548;86,193548;7,9;1,670968;58,83871;null;
2000-09-30;0;92,5;null;null;null;6,166667;12;260,3;null;33,43;27,134;21,973333;82,891667;7,9;1,962222;57,222222;null;
2000-10-31;0;62,8;null;null;177;6,430108;19;237,3;null;33,187097;26,691613;22,051613;86,862903;10,7;1,749462;55,397849;null;
2000-11-30;0;59;null;null;139,7;6,655556;16;225,5;null;32,756667;26,812667;22,273333;88,608333;10,7;2,076667;55,444444;null;
2000-12-31;0;50,6;null;null;null;6,870968;25;264,3;null;32,448387;26,513548;22,16129;88,193548;7,9;1,398925;53,655914;null;
2001-01-31;0;50,1;null;null;null;7,763441;24;483,6;null;31,541935;25,570323;21,6;89,967742;10,7;1,909677;53,870968;null;
2001-02-28;0;59,6;null;null;141,8;7,345238;23;202,3;null;32,321429;26,078571;22,014286;88,25;10,7;2,495238;54,166667;null;
2001-03-31;0;46,7;null;null;160,4;7,172043;22;330,9;null;32,706452;26,347742;21,922581;88,814516;10,7;1,544086;53,010753;null;
2001-04-30;0;54,5;null;null;159,1;6,966667;20;314,7;null;32,876667;26,75;22,506667;87,875;7,9;2,603333;54,888889;null;
2001-05-31;0;43,8;null;null;142,2;7,11828;22;233;null;31,845161;26,494194;22,477419;88,879032;7,9;1,715054;55,268817;null;
2001-06-30;0;41,6;null;null;114,5;7,388889;16;134,7;null;30,246667;24,916;20,933333;89,241667;10,7;1,945556;52,777778;null;
2001-07-31;0;52,1;null;null;185,8;6,16129;17;121,3;null;32,151613;26,149032;21,722581;86,298387;10,7;2,111828;56,344086;null;
2001-08-31;0;47;null;null;230,6;4,258065;6;90;null;34,474194;27,577419;22,406452;80,91129;9;1,095699;51,612903;null;
2001-09-30;0;45,7;null;null;220,1;5,477778;16;139,1;null;33,973333;27,243333;22,21;84,416667;3;,488889;55,888889;null;
2001-10-31;0;84,9;null;null;175,4;6,180108;11;168,8;null;34,445161;27,905806;23,393548;85,306452;2;,451613;50,282609;null;
2001-11-30;0;80,6;null;null;191,1;5,588889;12;154,2;null;34,356667;27,931333;23,65;85,475;2;,388889;51,777778;null;
2001-12-31;0;57,1;null;null;106;7,16129;16;254,8;null;32,56129;26,945806;23,187097;89,153226;2;,387097;43,172043;null;
2002-01-31;0;62,9;null;null;146,2;7,387097;13;150;null;33,003226;27,009677;23,025806;null;3;,311828;50,967742;null;
2002-02-28;0;37;null;null;111,9;7,857143;24;319;null;32,110714;26,405;23,007143;90,241071;5;,392857;50;null;
2002-03-31;0;51,7;null;null;133,1;7,419355;23;225,4;null;32,86129;26,726452;23,306452;88,548387;2;,322581;49,569892;null;
2002-04-30;0;48,9;null;null;143,6;6,788889;20;400,4;null;32,41;26,733103;23,317241;89,6;5;,3;47,944444;null;
2002-05-31;0;null;null;null;null;7,096774;2;473,8;null;31,82;26,358667;23,103226;90,83871;2;,225806;48,924731;null;
2002-06-30;0;60,7;null;null;null;5,622222;13;159,6;null;31,66;26,417333;22,84;87,225;3;,377778;50,222222;null;
2002-07-31;0;76,1;null;null;null;5,27957;13;167,5;null;32,98;26,905333;22,651613;85,846774;3;,336957;52,150538;null;
2002-08-31;0;81,5;null;null;184;5,285714;14;134,9;null;33,435484;27,172258;22,741935;86,073529;2;,150538;47,608696;null;
2002-09-30;0;86,7;null;null;188,4;5,888889;10;90,7;null;33,986667;27,542667;22,89;84,15;2;,088889;50,111111;null;
2002-10-31;0;98,6;null;null;204,9;6,258065;15;154,6;null;34,312903;27,889677;23,43871;82,274194;3;,182796;52,473118;null;
2002-11-30;0;75,8;null;null;178,1;6,722222;18;204,8;null;33,2;27,434;23,25;85,108333;2;,151111;50,348837;null;
2002-12-31;0;74,9;null;null;163,9;7,16129;17;190,2;null;33,136667;27,676774;24,012903;86,346774;2;,239785;50,967742;null;
2003-01-31;0;108,6;178,844483;178,844483;212,7;5,602151;14;166,2;null;34,551613;28,330323;24,416129;83,822581;3;,408602;54,456522;null;
2003-02-28;0;81,5;146,045593;146,045593;140,9;6,630952;17;248;null;33,389286;27,607857;23,807143;85,428571;2;,464286;51,071429;null;
2003-03-31;0;82,4;148,164234;148,164234;141,6;7,11828;21;253,2;null;32,767742;27,054194;23,329032;86,822581;3;,322581;51,182796;null;
2003-04-30;0;69,4;143,982892;143,982892;160,4;7,633333;21;426,4;null;32,646667;27,065333;23,466667;87,741667;3;,284444;48,444444;null;
2003-05-31;0;65,7;145,698945;145,698945;null;7,365591;25;348,9;null;32,164516;26,948387;23,570968;88,66129;9,8;,347312;48,27957;null;
2003-06-30;0;60,2;138,55927;138,55927;null;6,9;23;215,4;null;32,256667;26,842667;23,103333;88,675;9,6;,457778;52,111111;null;
2003-07-31;0;84,9;141,47226;141,47226;null;5,430108;13;93,3;null;32,596774;26,817419;22,922581;85,153226;4;,483871;54,731183;null;
2003-08-31;0;97,1;146,255881;145,42774;221,9;5,301075;12;93,6;null;33,148387;26,972258;22,73871;83,903226;2;,344086;50,645161;null;
2003-09-30;0;117;null;null;203,6;5,977778;10;42,1;null;33,913333;27,599333;23,176667;81,425;4;,511111;45;null;
2003-10-31;0;114,8;null;null;180,7;6,634409;13;92,6;null;33,867742;28,009032;23,764516;82,241935;3;,387097;51,505376;null;
2003-11-30;0;107,4;null;null;173,1;5,944444;13;118,4;null;33,983333;28,218;23,786667;81,466667;2;,311111;54,888889;null;
2003-12-31;0;83,8;null;null;163,8;7,333333;16;229,4;null;33,451613;27,499355;23,483871;84,475806;2;,225806;53,333333;null;
2004-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2004-02-29;0;79,2;null;null;120,9;7,627907;20;230,2;null;32,610345;27,152414;23,572414;84,456897;3;,360465;52,093023;null;
2004-03-31;0;86,4;null;null;141;7,129032;26;363,9;null;32,670968;27,230968;23,690323;86,072581;2;,247312;50,645161;null;
2004-04-30;0;92,9;null;null;179,9;6,644444;19;308,7;null;32,656667;27,606;23,686667;84,416667;2;,177778;52,611111;null;
2004-05-31;0;69,2;null;null;83,1;7,229885;24;245,4;null;31,145161;26,544516;23,21;86,76;2;,413793;49,942529;null;
2004-06-30;0;69,6;null;null;179,7;6,111111;13;143,7;null;31,646667;26,505333;22,596667;85;3;,395062;52,560976;null;
2004-07-31;0;83;null;null;188,3;5,761905;14;102,5;null;32,425806;26,709333;22,46;85,03125;3;,309524;51,764706;null;
2004-08-31;0;104,3;null;null;246,9;4,77381;11;73,8;null;33,764516;27,478621;22,716129;83,602273;3;,52381;54,404762;null;
2004-09-30;0;100,8;null;null;198;5,5875;15;174,6;null;33,963333;27,494483;22,826667;80,725;9,4;,4175;48,125;null;
2004-10-31;0;115,2;null;null;199,9;6,158537;14;185,9;null;34,225806;28,180667;23,664516;83,15;3;,243902;50,609756;null;
2004-11-30;0;66,8;null;null;147,4;7,05;14;186,1;null;33,46;27,432;23,326667;83,736842;3;,4625;51,1875;null;
2004-12-31;0;69,7;null;null;179,1;6,4;13;101;null;33,251613;27,798667;23,406452;85,217391;10;,447059;52,352941;null;
2005-01-31;0;60,4;null;null;165,9;6,963855;15;129;null;33,890323;27,919355;23,906452;83,886364;3;,301205;52,857143;null;
2005-02-28;0;null;null;null;95,1;7,893333;21;335;null;32,114286;27,197857;23,742857;87,092105;3;,293333;47,733333;null;
2005-03-31;0;48,1;null;null;111,5;7,879518;26;444,4;null;32,451613;27,254;23,693548;85,547619;2,1;,30241;49,096386;null;
2005-04-30;0;null;null;null;135,4;7,272727;20;271,8;null;33,123333;27,522963;23,853333;85,955882;2;,376623;50,714286;null;
2005-05-31;0;52,8;null;null;146,4;6,926829;19;209;null;32,732258;27,501333;23,809677;84,738095;2;,231707;51,341463;null;
2005-06-30;0;43,2;null;null;176,1;5,682927;16;198,5;null;33,286667;27,723333;23,343333;82,321429;2;,378049;52,012195;null;
2005-07-31;null;null;null;null;null;null;4;null;null;33,010526;27,285556;22,383333;83,592105;3;null;null;null;
2005-08-31;0;104;null;null;218,3;4,402174;8;91,4;null;34,422581;28,038;22,832258;78,416667;3;,532609;35,108696;null;
2005-09-30;0;88,4;null;null;179,2;5,722222;11;208,2;null;33,673333;27,717333;22,753333;82,45;3;,566667;42,388889;null;
2005-10-31;0;80,4;null;null;191;5,934783;21;159,1;null;33,809677;27,745161;23,219355;84,008065;3;,451613;50,978495;null;
2005-11-30;0;48,8;null;null;168,1;6,595506;11;116,9;null;33,58;27,812414;23,886667;84,793103;3;,52809;51,629213;null;
2005-12-31;0;58,6;null;null;141,3;7,354839;23;297,3;null;33,232258;27,16129;23,606452;86,185484;3;,408602;50,860215;null;
2006-01-31;0;51,3;null;null;154,8;6,793478;24;428,2;null;32,783871;27,012667;23,306452;86,008333;3;,652174;49,456522;null;
2006-02-28;0;null;null;null;93,3;7,939759;21;271,7;null;32,625;27,120741;23,753571;87,861111;3;,39759;49,457831;null;
2006-03-31;0;52,4;null;null;126,8;7,473118;25;234,1;null;32,919355;26,967742;23,474194;87,282258;3;,430108;50,322581;null;
2006-04-30;0;null;null;null;113,4;7,4;17;238,7;null;32,72069;27,151034;23,406667;86,534483;3;,48;51,058824;null;
2006-05-31;0;39,6;null;null;97,3;7,977528;22;310,6;null;30,948387;26,408571;22,966667;87,465517;3;,483146;48,707865;null;
2006-06-30;0;64,3;109,424162;109,424162;186;5,314607;13;152,3;null;32,78;27,468;22,966667;84,689655;3;,629213;53,707865;null;
2006-07-31;0;84,9;143,390461;143,390461;166,4;6,043011;21;65,7;null;32,848387;26,930968;22,619355;85,266129;3;,505376;50,107527;null;
2006-08-31;0;80,9;158,354364;155,009539;205;5,301075;15;132,9;null;33,948387;27,676129;22,741935;81,895161;3;,677419;48,494624;null;
2006-09-30;0;69,4;154,607232;154,607232;206;5,375;13;160,3;null;34,236667;27,595714;23,033333;84,053571;3;,715909;44,545455;null;
2006-10-31;0;81,3;174,21674;137,292768;197,3;5,666667;15;131,6;null;34,529032;28,383871;23,854839;84,241935;3;,645161;31,290323;null;
2006-11-30;0;61,6;145,159578;145,159578;127,4;7,123596;22;308,4;null;32,46;27,22069;23,333333;85,956897;3;,460674;12,078652;null;
2006-12-31;0;54;150,543784;150,543784;144,3;7,172043;22;251,8;null;32,609677;27,19871;23,564516;86,435484;2;,483871;12,580645;null;
2007-01-31;0;57,6;156,421613;156,421613;154;6,806452;26;311,8;null;33,041935;27,469032;23,687097;84,120968;3;,505376;12,258065;null;
2007-02-28;0;74,7;168,214578;168,214578;193,6;5,916667;7;70,9;null;34,989286;28,934286;24,257143;78,830357;3;,690476;11,428571;null;
2007-03-31;0;45,9;146,189477;146,189477;114,2;7,086957;21;170,9;null;32,56129;26,86;23,43871;86,612903;3;,5;8,554348;null;
2007-04-30;0;37,4;140,177368;140,177368;119;7,5;22;366,6;null;32,883333;27,055333;23,38;87,15;3;,466667;8,433333;null;
