Nome: CODAJAS
Codigo Estacao: 82326
Latitude: -3.8411111
Longitude: -62.05527777
Altitude: 30.31
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;38,1;null;null;133,1;9,11828;25;439,7;null;1010,055914;30,709677;26,506452;23,377419;82,991935;5;1,655914;49,946237;
1998-02-28;0;57,7;null;null;137,1;8,690476;20;289;null;1010,457143;31,771429;27,142857;23,975;81,4375;5;1,928571;52,559524;
1998-03-31;9;null;null;null;122,4;9,408602;27;246,3;null;1010,241935;30,66129;26,742581;23,987097;82,58871;5;2,376344;49,408602;
1998-04-30;9;41,5;null;null;127,1;9,011111;27;414,6;null;1010,242222;30,833333;26,542667;23,733333;86,658333;5;1,977778;46,388889;
1998-05-31;18;42,9;null;null;120,6;7,946237;21;328,1;null;1011,974194;30,025806;26,561935;23,603226;83,330645;7;2,268817;46,935484;
1998-06-30;18;55,3;null;null;134,6;6,466667;19;230,5;null;1012,762222;29,77;26,150667;22,623333;82,658333;5;2,242222;53,333333;
1998-07-31;0;66,3;null;null;198,1;6,021505;15;236,1;null;1012,622581;30,367742;25,948387;22,564516;81,217742;5;1,860215;56,935484;
1998-08-31;0;71,1;null;null;221,3;5,784946;7;53,8;null;1011,531183;32,293548;26,890968;22,780645;80,782258;5;1,688172;56,075269;
1998-09-30;0;70,1;null;null;196,9;6,488889;13;140,8;null;1011,448889;31,966667;26,292667;22,43;82,783333;4;1,777778;56,944444;
1998-10-31;14;78,1;null;null;180,7;7,44086;15;239,7;null;1010,729032;31,909677;26,815484;22,987097;79,927419;5;2,053763;56,290323;
1998-11-30;14;53,8;null;null;126,6;8,766667;17;194,1;null;1009,83;30,666667;26,096667;22,883333;79,433333;5;2,633333;55,888889;
1998-12-31;18;60,1;null;null;162,5;8,064516;21;448,9;null;1009,912903;31,674194;26,319355;22,354839;80,637097;7;2,634409;53,870968;
1999-01-31;0;42,3;null;null;121,4;8,709677;24;302,7;null;1010,223656;30,909677;25,602581;22,180645;82,725806;7;2,107527;48,494624;
1999-02-28;0;40;null;null;83,2;9,095238;23;449,6;null;1011,044048;30,867857;25,369286;21,885714;83,410714;3;1,571429;46,785714;
1999-03-31;0;37,6;null;null;102,8;8,709677;26;422,2;null;1010,355914;30,941935;25,795484;22,583871;84,443548;5;1,860215;52,526882;
1999-04-30;18;33,7;null;null;80,9;8,4;25;376,7;null;1011,984444;30,443333;25,712667;22,44;85,15;5;1,822222;48,777778;
1999-05-31;18;32,1;null;null;101;7,860215;23;394,6;null;1012,295699;30,435484;25,835484;22,748387;84,064516;5;1,860215;51,397849;
1999-06-30;14;41,7;null;null;115,2;7,455556;18;92,7;null;1011,642222;31,09;26,478667;22,896667;83,433333;5;2,055556;57,277778;
1999-07-31;0;51,4;null;null;199,1;5,903226;11;97,8;null;1013,219355;31,545161;26,283871;22,13871;85,241935;5;1,860215;56,182796;
1999-08-31;0;69,3;null;null;141,3;5,83871;7;37,5;null;1012,163441;32,383871;26,335484;21,545161;79,314516;9;2,021505;44,946237;
1999-09-30;0;50,5;null;null;135,5;7,377778;17;174;null;1010,613333;32,736667;26,524;22,303333;77,641667;5;1,522222;53,833333;
1999-10-31;0;74;null;null;163,3;6,655914;10;76,4;null;1011,027957;33,722581;27,3;22,564516;78,217742;5;1,784946;55,537634;
1999-11-30;18;61,4;null;null;125,8;7,233333;12;101;null;1009,68;33,473333;27,180667;22,336667;80,808333;5;1,977778;52,944444;
1999-12-31;0;62;null;null;44;7,72043;21;344;null;1009,862366;32,722581;26,956774;22,590323;79,862903;5;1,784946;52,043011;
2000-01-31;0;49,1;null;null;73,2;8,408602;23;395,3;null;1010,222581;32,125806;26,289032;21,816129;80,064516;5;1,634409;50,16129;
2000-02-29;0;49;null;null;76,5;8,873563;17;193,8;null;1012,018391;32,358621;26,384138;21,686207;79,293103;3;1,724138;52,011494;
2000-03-31;0;43,6;null;null;79,9;8,817204;28;504,3;null;1011,102151;31,667742;26,121935;21,367742;81,362903;5;1,623656;45;
2000-04-30;0;40,5;null;null;78;8,111111;24;339,2;null;1011,874444;31,84;26,158667;21,333333;82,05;5;1,633333;47,166667;
2000-05-31;0;39,5;null;null;87,5;7,817204;23;240,8;null;1012,204301;31,822581;26,386452;21,490323;81,443548;7;1,849462;48,44086;
2000-06-30;18;45,3;null;null;62,8;7,611111;18;129;null;1012,341111;32,21;26,192667;20,8;79,75;5;2,166667;56,555556;
2000-07-31;0;77,1;null;null;163,9;6,268817;17;128,1;null;1013,263441;31,987097;25,796129;20,012903;82,766129;5;1,655914;55,107527;
2000-08-31;0;65,1;null;null;193,2;5,666667;14;132,7;null;1012,853763;33,403226;26,403871;19,974194;80,145161;5;1,55914;57,408602;
2000-09-30;14;57,1;null;null;173,7;6,8;14;201,7;null;1011,373333;33,86;26,983333;21,21;78,766667;5;2,124444;55,4;
2000-10-31;18;68,5;null;null;167,3;7,548387;15;180,3;null;1011,46129;33,13871;26,945806;22,3;79,362903;5;1,88172;52,688172;
2000-11-30;0;51,6;null;null;147,2;6,955556;16;241,4;null;1009,275556;33,086667;26,976667;22,51;81,125;5;1,888889;52,533333;
2000-12-31;0;60,7;null;null;107,2;7,698925;22;244,9;null;1010,924731;32,632258;26,75871;22,051613;79,370968;5;2,043011;49,752688;
2001-01-31;0;34,6;null;null;95,3;8,666667;28;458,9;null;1012,767073;31,016129;25,520645;21,570968;83,185484;3;1,290323;38,225806;
2001-02-28;0;37,6;null;null;95,9;8,785714;26;318,7;null;null;31,753571;25,785;21,485714;80,294643;5;1,821429;40,714286;
2001-03-31;0;55,2;null;null;128,7;8,086022;19;297,7;null;null;32,632258;26,717419;22,606452;79,427419;5;1,719355;46,236559;
2001-04-30;0;44,9;null;null;109,5;7,8;22;280,3;null;null;32,113333;26,554;22,53;79,55;5;1,644444;50;
2001-05-31;0;52,8;null;null;133,5;6,989247;17;253,3;null;null;32,296774;26,749677;22,677419;79,25;5;1,709677;52,419355;
2001-06-30;0;37,9;null;null;76,9;7,688889;18;239,4;null;null;30,423333;25,194667;21,466667;78,45;9;2,022222;51,888889;
2001-07-31;0;61,7;null;null;191,3;6,129032;14;197;null;null;32,974194;26,432258;21,696774;77,991935;5;1,531183;54,408602;
2001-08-31;0;85;null;null;244,1;4,311828;6;51,5;null;null;34,935484;27,14;22,232258;76,395161;6;1,258065;53,580645;
2001-09-30;0;59,1;null;null;188,3;6,977778;21;198;null;null;34;27,031333;22,513333;76,583333;3;1,466667;50,222222;
2001-10-31;0;47,6;null;null;160,5;6,241935;14;88,2;null;null;34,170968;27,654839;23,532258;83,540323;7;1,208913;46,365591;
2001-11-30;0;43,3;null;null;186,9;6,633333;15;188,2;null;null;34,743333;27,677333;23,25;81,225;3;1,477778;46,444444;
2001-12-31;18;27,5;null;null;109,3;8,129032;20;349,9;null;null;32,970968;27,036129;23,354839;81,790323;5;1,774194;40,752688;
2002-01-31;0;38,9;null;null;137,8;8,215054;24;333,2;null;null;33,277419;26,934839;23,354839;83,775;3;1,333333;45,913978;
2002-02-28;0;33,1;null;null;95;8,559524;24;404,6;null;null;32,657143;26,476429;23,282143;85,767857;5;1,25;43,095238;
2002-03-31;0;44,4;null;null;136,6;8,526882;28;368,6;null;null;33,212903;26,669032;23,341935;83,798387;5;1,623656;45,806452;
2002-04-30;0;33,7;null;null;133,2;7,797753;21;335,4;null;null;32,56;26,241379;null;83,975;5;1,4;52,833333;
2002-05-31;0;33,2;null;null;125;7,634409;25;372,8;null;null;32,432258;26,387333;21,903226;83,975806;5;1,537634;54,193548;
2002-06-30;23;50,7;null;null;199;5,988889;17;168;null;null;31,36;26,28;21,66;78,508333;5;1,7;58,833333;
2002-07-31;0;64;null;null;230,4;5,215054;12;119,5;null;null;33,724138;26,837778;21,944828;82,887097;3;1,053763;56,075269;
2002-08-31;0;67,7;null;null;220,1;6,413043;12;117,3;null;null;34,996774;26,993548;21,63871;81,1;5;1,193548;53,11828;
2002-09-30;0;67,3;null;null;215,7;5,655556;10;123,8;null;null;34,586667;27,578667;22,74;80,591667;5;1,255556;56,388889;
2002-10-31;0;52,2;null;null;198,7;6,913978;14;134,4;null;null;34,090323;27,394839;23,054839;81,685484;5;1,129032;51,612903;
