Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10388888
Longitude: -60.01555555
Altitude: 48.86
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;56,9;null;null;117,8;7,526882;21;302,6;null;1005,513978;31,3;26,810968;23,174194;85,274194;3;,602151;40,053763;
1998-02-28;0;59,3;null;null;117,1;7,166667;17;171,7;null;1005,435714;32,271429;27,569286;23,553571;84,669643;3;,654762;42,72619;
1998-03-31;0;58,2;null;null;124;8;24;210,8;null;1005,654839;31,493548;26,973548;23,096774;88,830645;3;,763441;39,301075;
1998-04-30;0;47;null;null;35,7;7,033333;21;407,2;null;1005,677778;31,296667;26,734667;22,43;91,141667;2;,333333;40,166667;
1998-05-31;0;50;null;null;95,9;7,043011;17;273,4;null;1007,419355;31,019355;26,60129;22,490323;90,362903;3,8;,363441;40,860215;
1998-06-30;0;57,9;null;null;171,9;5,811111;13;167,2;null;1008,038889;31,276667;26,401333;21,903333;89,191667;3;,388889;52,444444;
1998-07-31;0;72,9;null;null;222,9;5,064516;10;92;null;1008,197849;31,945161;26,598065;22,225806;87,379032;5;,430108;53,655914;
1998-08-31;0;90;null;null;232,8;5,086022;4;41,8;null;1006,65914;33,087097;27,541935;22,016129;84,991935;3;,53871;55,967742;
1998-09-30;0;75,1;null;null;194,3;5,288889;10;115,6;null;1006,672222;32,793333;26,994667;21,886667;86,15;4;,753333;46,777778;
1998-10-31;0;89,8;null;null;187;5,182796;11;73,5;null;1005,908602;33,306452;27,607097;22,516129;85,33871;4;,860215;56,397849;
1998-11-30;0;64,8;null;null;128,5;7,4;12;153,6;null;1004,841111;32,026667;26,807333;21,97;89,383333;3;,822222;42,277778;
1998-12-31;0;79,9;null;null;183,4;6,709677;12;191;null;1005,168817;32,577419;27,132258;21,722581;85,040323;3;,698925;50,795699;
1999-01-31;0;50;null;null;100,9;8,774194;21;411,6;null;1005,124731;30,277419;25,488387;21,03871;92,685484;3;,731183;38,064516;
1999-02-28;0;46,5;null;null;98,1;8,75;19;260,8;null;1005,778571;30,232143;25,421429;20,796429;92,767857;3;,761905;40,952381;
1999-03-31;0;50,9;null;null;110;8,021505;23;233,2;null;1005,330108;30,374194;25,4;20,612903;91,459677;3;,623656;39,408602;
1999-04-30;0;55,1;null;null;130,6;7,711111;23;421,2;null;1006,696667;30,546667;25,608;20,866667;91,291667;3;,722222;41,888889;
