Nome: ITACOATIARA
Codigo Estacao: 82336
Latitude: -3.13694444
Longitude: -58.44277777
Altitude: 19.16
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;72,8;null;null;90,2;7,55914;21;376,8;null;null;32,2;27,20129;23,483871;87,016129;5,3;1,4;45,645161;
1998-02-28;5;94,6;null;null;108,4;7,535714;15;182,3;null;null;32,489286;27,907857;24,271429;83,5625;5,6;2,290476;54,940476;
1998-03-31;5;86,5;null;null;88;7,44086;23;413;null;null;31,870968;27,27871;23,76129;85,935484;5,8;2,265591;54,731183;
1998-04-30;5;77,8;null;null;87,7;7,233333;18;410,1;null;null;31,82;26,08;24,765;86,866667;5,3;2,304444;52,5;
1998-05-31;0;93,6;null;null;101,9;6,946237;23;250,4;null;null;31,8;27,507742;24,667742;86,717742;5,3;1,712903;55,752688;
1998-06-30;0;79,8;null;null;138,7;6,891566;16;155,5;null;null;32,532143;27,388571;24,192857;85,830357;5,5;1,99881;59,756098;
1998-07-31;0;92,4;null;null;181;6,731183;13;86,1;null;1008,5;32,580645;27,496129;24,132258;82,967742;5,5;1,594624;54,731183;
1998-08-31;0;117,5;null;null;196,9;5,953488;9;35,1;null;1007,823256;33,655172;28,603571;24,534483;78,598214;5,1;1,669767;58,662791;
1998-09-30;0;165,7;null;null;189,6;7,133333;10;36,6;null;1007,524444;33,89;28,563333;24,34;80,491667;5,8;2,134444;54,666667;
1998-10-31;0;119,9;null;null;155,4;7,422222;12;143,3;null;1007,265556;32,993333;28,191333;24,183333;82,983333;5,3;1,514444;54;
