Nome: ALTAMIRA
Codigo Estacao: 82353
Latitude: -3.21416666
Longitude: -52.21305555
Altitude: 101.51
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;null;34,1;null;null;130,7;6,55914;26;289,6;null;null;32,093548;25,939355;19,441935;85,443548;null;null;55,268817;
1998-02-28;null;35,5;null;null;155;6,488095;19;307,3;null;null;32,996429;26,619286;20,246429;82,571429;null;null;54,761905;
1998-03-31;null;44,9;null;null;114,6;7,032258;27;385,9;null;null;31,270968;26,061935;20,132258;85,379032;null;null;55,591398;
1998-04-30;null;47,7;null;null;161,1;6,411111;26;294,8;null;null;32,45;27,038667;20,933333;84,483333;null;null;55,222222;
1998-05-31;null;45,2;null;null;157;6,204301;21;370,5;null;null;32,016129;26,816129;20,674194;84,830645;null;null;56,344086;
1998-06-30;null;70,9;null;null;246,1;4,866667;5;35,9;null;null;33,346667;27,464667;20,676667;76,433333;null;null;58,777778;
1998-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-08-31;null;80,3;null;null;232,6;5,23913;5;5,5;null;null;34,035484;27,569677;20,577419;74,604839;null;null;58,152174;
1998-09-30;null;91,3;null;null;229,4;5,233333;9;69,8;null;null;34,246667;27,888;21,576667;74,2;null;null;58,888889;
1998-10-31;null;100,2;null;null;192;5,462366;3;14,3;null;null;34,451613;28,296129;22,087097;69,903226;null;null;58,064516;
1998-11-30;null;89,2;null;null;128,9;6,055556;8;146,3;null;null;33,58;27,832667;22,176667;73,833333;null;null;56,888889;
1998-12-31;null;null;null;null;null;null;null;44,1;null;null;null;null;null;null;null;null;null;
1999-01-31;null;55;null;null;134,6;6,5;20;162,6;null;null;30,806452;26,090968;21,493548;82,919355;null;null;55,543478;
1999-02-28;null;43,6;null;null;110,4;6,666667;25;298,6;null;null;30,746429;25,819286;21,864286;85,089286;null;null;55,833333;
1999-03-31;null;45,4;null;null;109,4;7,548387;27;526,9;null;null;30,354839;25,696774;22,03871;86,016129;null;null;53,225806;
1999-04-30;null;45,8;null;null;141,9;7,211111;24;362,2;null;null;30,686667;25,938;22,2;84,333333;null;null;55,888889;
1999-05-31;null;42,5;null;null;135,9;6,752688;23;308,3;null;null;30,683871;26,14129;22,590323;84,943548;null;null;56,451613;
1999-06-30;null;53,6;null;null;197,9;5,633333;null;122,6;null;null;32,046667;26,738667;22,263333;80,9;null;null;58,777778;
1999-07-31;null;83,9;null;null;266,9;4,354839;null;19,9;null;null;33,309677;26,911613;20,964516;74,5;null;null;59,032258;
1999-08-31;null;108;null;null;259,2;5,150538;null;30,5;null;null;34,1;27,793548;22,622581;72,870968;null;null;58,387097;
1999-09-30;null;100,2;null;null;209,4;5,911111;null;12,8;null;null;34,183333;27,588667;21,38;74,533333;null;null;57,111111;
1999-10-31;null;93,2;null;null;196,8;6,16129;null;97,6;null;null;33,858065;27,495484;21,074194;74,145161;null;null;57,311828;
1999-11-30;null;69,7;null;null;163,1;6,6;null;126,6;null;null;32,783333;27,609333;24,23;77,233333;null;null;56,111111;
1999-12-31;null;68,8;null;null;138,9;6,602151;17;174,3;null;null;31,967742;27,249677;24,122581;79,258065;null;null;55,268817;
2000-01-31;null;50;null;null;143;7,27957;23;488,8;null;null;30,964516;25,884516;21,764516;84,274194;null;null;53,548387;
2000-02-29;null;40,9;null;null;140;7,597701;27;328,3;null;null;30,693103;24,989655;18,855172;84,232759;null;null;52,298851;
2000-03-31;null;41,2;null;null;123,3;7,72043;27;533,1;null;null;30,467742;25,274839;20,890323;86,314516;null;null;51,612903;
2000-04-30;null;41;null;null;133,8;7,555556;27;385,9;null;null;30,783333;25,675556;20,146667;85,433333;null;null;52,777778;
2000-05-31;null;48,7;null;null;183,9;5,774194;23;198,7;null;null;32,203333;26,688;22,719355;83,540323;null;null;57,096774;
