Nome: TUCURUI
Codigo Estacao: 82361
Latitude: -3.760131
Longitude: -49.666581
Altitude: 27.83
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-02-28;null;null;null;null;null;null;19;307,1;1007,408065;32,157143;null;null;null;4;null;null;null;
1999-03-31;0;50,3;null;null;null;7,924731;30;556;1006,810753;31,451613;26,130968;23,332258;90,491935;4;,88172;51,075269;null;
1999-04-30;0;51,8;null;null;null;7,522222;28;551,5;1007,87;32,386667;26,558;23,503333;90,641667;5;,888889;50,777778;null;
1999-05-31;0;50,7;null;null;null;7,301075;26;545,5;1008,664516;32,209677;26,632258;23,467742;90,491935;4;,849462;52,043011;null;
1999-06-30;32;80,8;null;null;null;4,744444;null;76;1008,204444;33,583333;27,510667;23,65;86,891667;5;,944444;56,888889;null;
1999-07-31;0;110,5;null;null;null;4,129032;null;26,6;1009,44086;33,76129;23,050323;null;84,459677;3;1,096774;56,236559;null;
1999-08-31;32;119;null;null;null;3,698925;null;7,2;1009,080645;34,319355;null;null;83,774194;5;1,55914;56,55914;null;
1999-09-30;36;94,7;null;null;null;5,211111;null;57,9;1007,573333;33,8;23,350667;null;83,916667;10;1,718889;56,555556;null;
1999-10-31;32;84,4;null;null;0;5,55914;null;80,8;1007,731183;33,632258;27,856774;24,316129;85,975806;5;1,483871;55,698925;null;
1999-11-30;32;77,6;null;null;128,9;6,088889;null;90,8;1006,692222;33,01;27,664667;24,353333;86,575;4;1,388889;55,444444;null;
1999-12-31;32;71,8;null;null;125,6;6,827957;19;401,6;1006,57957;32,203226;27,14;24,212903;89,564516;4;1,06129;55,483871;null;
2000-01-31;0;67,6;null;null;173,6;7,225806;23;347,7;1006,503226;32,387097;26,825806;23,474194;89,16129;6;1,270968;55,483871;null;
2000-02-29;32;51,6;null;null;109,1;8,103448;25;580,9;1008,455172;31,458621;26,047586;23,110345;91,422414;8;1,494253;53,793103;null;
2000-03-31;32;59,2;null;null;143,1;8,010753;30;499,5;1006,944086;32,077419;26,243226;23,364516;91,33871;7;1,408602;51,397849;null;
2000-04-30;32;59,5;null;null;156;7,688889;28;355,2;1007,915556;31,973333;26,542;23,593333;91,141667;7;1,4;51,222222;null;
2000-05-31;32;73,9;null;null;188,3;7,16129;19;229,9;1008,186022;32,603226;27,285806;24,054839;89,104839;3;1,225806;54,301075;null;
2000-06-30;14;90,6;null;null;221,4;5,322222;16;88,4;1008,725556;33,063333;27,261333;23,846667;87,091667;5;1,566265;53,555556;null;
2000-07-31;5;90,2;null;null;230,5;5,774194;15;90,2;1008,694624;33,8;27,316774;23,46129;85,354839;5;1,537634;53,548387;null;
2000-08-31;5;106,3;null;null;263,3;4,225806;5;22,7;1008,870968;34,896774;28,03871;23,567742;84,41129;5;1,878495;56,666667;null;
2000-09-30;5;92,7;null;null;181,5;6,066667;15;99;1007,921111;34,37;27,576;23,48;86,308333;5;1,622222;55,666667;null;
2000-10-31;5;114,9;null;null;177,4;6,322581;8;42,9;1008,021505;34,574194;28,407097;24,387097;86,701613;5;1,72043;55,698925;null;
2000-11-30;5;115,8;null;null;153,9;5,6;6;30,9;1005,853333;35,24;28,658667;24,413333;83,05;5;1,533333;56,444444;null;
2000-12-31;5;108,6;null;null;148,4;6,344086;16;180,2;1007,42043;33,841935;27,954194;23,983871;85,903226;5;1,505376;54,516129;null;
2001-01-31;5;71,4;null;null;149,7;7,752688;29;632,2;1008,386022;33,190323;26,699355;22,677419;89,483871;7;1,458065;50,322581;null;
2001-02-28;5;62,1;null;null;116,7;7,75;23;265,1;1007,79881;32,846429;26,538571;22,564286;91,0625;3;1,166667;52,380952;null;
2001-03-31;5;71;null;null;124;7,935484;25;572,9;1008,07957;33,119355;26,874194;22,806452;91,330645;5;1,312903;49,462366;null;
2001-04-30;5;65,2;null;null;150,2;7,255556;26;633;1008,307778;33,263333;26,826667;22,723333;91,508333;5;1,244444;50,933333;null;
2001-05-31;5;75,6;null;null;209,5;6,172043;20;272,1;1008,177419;34,541935;27,663226;23,370968;90,282258;5;1,172043;54,516129;null;
2001-06-30;5;80,1;null;null;219,9;5,433333;15;149,5;1009,508889;33,693333;26,916;22,256667;88,016667;4;1,211111;55,666667;null;
2001-07-31;5;95,5;null;null;249,9;4,053763;6;60,4;1009,409677;34,216129;27,281935;22,1;83,959677;4;1,4;56,774194;null;
2001-08-31;5;140;null;null;264;3,247312;1;3,1;1010,158065;35,087097;27,836774;22,283871;77,362903;4;1,83871;55,698925;null;
2001-09-30;5;106,6;null;null;198,2;5,411111;10;57,8;1007,784444;34,666667;27,875333;23,19;80,616667;5;1,666667;55;null;
2001-10-31;5;115,4;null;null;148,6;5,465054;10;77,1;1007,739785;34,719355;28,220645;23,56129;80,290323;4;1,391828;55,010753;null;
2001-11-30;5;106,3;null;null;113,4;8,1;7;130,9;1006,712222;34,64;28,507333;23,936667;78,975;4;1,566667;52,444444;null;
2001-12-31;5;87,4;null;null;128;6,655914;21;262,9;1006,109677;33,870968;27,989677;23,535484;85,951613;4;1,290323;55,053763;null;
2002-01-31;5;74,8;null;null;164,9;7,580645;26;334,4;1007,98172;33,167742;26,936774;22,477419;86,693548;4;1,494624;54,193548;null;
2002-02-28;36;73,9;null;null;175,9;7,071429;20;252,8;1007,80119;33,967857;27,554286;22,828571;86,634615;5;1,619048;53,928571;null;
2002-03-31;36;81,9;null;null;164,8;7,516129;27;329,6;1007,817204;33,980645;27,096774;22,283871;86,467742;4;1,54086;51,72043;null;
2002-04-30;36;65,4;null;null;149,9;7,1;24;364,1;1007,3;33,26;27,146;22,36;87,475;5;1,266667;53;null;
2002-05-31;36;79,7;null;null;218,5;5,483871;17;194,3;1008,045161;34,33871;27,691613;22,635484;86,072581;5;1,268817;55,483871;null;
2002-06-30;36;89;null;null;231,8;5,155556;12;137,2;1009,771111;34,076667;27,655333;23,525;85,475;4;1,546667;55,111111;null;
2002-07-31;36;97;null;null;228,8;4,860215;11;68,4;1010,247312;34,280645;27,36;21,63871;85,870968;5;1,537634;54,83871;null;
2002-08-31;36;109,1;null;null;240,3;4,83871;7;28,6;1009,365591;35,3;27,723871;21,5;82,879032;5;1,892473;56,344086;null;
2002-09-30;36;122,5;null;null;217,4;5,411111;7;61,4;1008,564444;36,023333;28,3;22,266667;81,633333;4;1,833333;55,555556;null;
2002-10-31;36;122,9;null;null;134;6,591398;4;7,9;1007,443011;34,93871;28,186452;22,6;81,129032;5;1,849462;53,333333;null;
