Nome: BENJAMIN CONSTANT
Codigo Estacao: 82410
Latitude: -4.3786111
Longitude: -70.02999999
Altitude: 78.41
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;36;46,2;null;null;114,3;6,924731;null;140,6;null;null;32,903226;26,505806;20,935484;83;1;,72043;42,473118;
1998-02-28;0;33,5;null;null;105,6;7,619048;19;212,8;null;null;32,483333;26,868889;22,660714;85,803571;1;,77381;38,154762;
1998-03-31;14;47,4;null;null;78,8;8,021505;20;210;null;null;null;null;21,822581;87,217742;1;,924731;34,408602;
1998-04-30;14;51,1;null;null;145,6;7,544444;20;320,6;null;null;null;null;22,79;87,675;1;,922222;38,333333;
1998-05-31;14;47;null;null;131,1;7,505376;18;276,3;null;null;null;null;21,470968;87,290323;1;,913978;31,290323;
1998-06-30;18;35,5;null;null;122,6;8,188889;15;184,8;null;null;null;null;20,79;88,933333;1;,955556;31,666667;
1998-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-08-31;36;83,2;null;null;187,9;5,75;null;74,2;null;null;null;null;21,206452;85,201613;1;,815217;38,804348;
1998-09-30;0;84,7;null;null;163,8;6,322222;null;121,4;null;null;null;null;21,173333;85,025;1;,788889;39,388889;
1998-10-31;5;79,3;null;null;155,7;6,526882;null;209,4;null;null;null;null;21,483871;84,241935;1;,860215;36,72043;
