Nome: COARI
Codigo Estacao: 82425
Latitude: -4.08534
Longitude: -63.145144
Altitude: 34.18
Situacao: Desativada
Data Inicial: 1998-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;81,5;null;null;160,6;7,193548;18;121,3;null;1007,691398;33,135484;27,388387;23,567742;83,774194;3,3;,689247;40,268817;
1998-02-28;0;51,6;null;null;149,9;7,130952;15;135,9;null;1008,3;33,517857;27,998571;24,557143;84,357143;5;1,436905;40,238095;
1998-03-31;0;20,1;null;null;106,2;7,913978;26;300,7;null;1007,756989;32,522581;27,236774;23,990323;86,766129;6,6;1,23871;36,129032;
1998-04-30;0;59,7;null;null;139,9;7,288889;23;210,1;null;1007,885556;32,453333;27,404667;24,07;85,658333;5;,993333;38,055556;
1998-05-31;0;52,1;null;null;117,4;7,806452;20;170,5;null;1010,137634;31,3;26,869032;23,483871;85,991935;6,1;1,033333;34,731183;
1998-06-30;0;54,6;null;null;148,3;6,922222;15;188,8;null;1011,164444;31,18;26,591333;23,053333;85,141667;5,8;1,033333;35,722222;
1998-07-31;0;72,9;null;null;203,2;6,16129;null;132,7;null;1010,317204;32,064516;27,22129;23,680645;81,540323;6,6;,865591;38,225806;
1998-08-31;0;109,8;null;null;217,2;4,870968;null;5,4;null;1008,980645;34,277419;28,517419;24,329032;75,564516;4;1,083871;38,709677;
1998-09-30;0;110,6;null;null;215,4;5,022222;null;69,5;null;1008,798889;34,073333;28,044;23,863333;74,55;9,5;1,41;38,444444;
1998-10-31;0;87,8;null;null;193,1;6,763441;null;311,2;null;1008,405376;33,122581;27,783226;23,496774;78,612903;5,8;1,439785;37,741935;
1998-11-30;0;67;null;null;133,6;7,444444;null;142;null;1007,37;31,926667;27,04;23,626667;82,475;5;1,134444;40,388889;
1998-12-31;0;79,3;null;null;180;5,946237;15;214,4;null;1007,619355;32,458065;27,447742;23,387097;80,274194;6,6;1,245161;40,597826;
1999-01-31;0;57,9;null;null;129,9;7,483871;23;310,8;null;1008,06129;31,096774;26,063871;22,790323;85,645161;5;1,134409;38,763441;
1999-02-28;0;47,4;null;null;92,5;8,404762;21;365,9;null;1008,719048;30,185714;25,742857;22,871429;88,107143;7,6;1,146429;33,452381;
1999-03-31;0;64,8;null;null;137,5;7,548387;22;282,6;null;1008,090323;31,751613;26,703226;23,596774;84,741935;4,1;1,089247;44,086022;
1999-04-30;0;53,4;null;null;114,2;7,655556;20;306,7;null;1009,883333;30,56;25,904667;23,05;87,191667;5;1,078889;47,055556;
1999-05-31;0;54,5;null;null;147,4;6,741935;23;289,5;null;1010,405376;30,76129;26,247742;23,270968;86,766129;6,6;1,086022;47,526882;
1999-06-30;0;58,2;null;null;181,8;6,9;19;150,3;null;1009,893333;31,653333;26,605333;23,433333;85,991667;3,3;,722222;47;
1999-07-31;0;74,2;null;null;202;6,204301;15;108,6;null;1011,449462;31,470968;26,546452;23,041935;82,032258;5;,880645;51,344086;
1999-08-31;0;103,3;null;null;184,7;5,924731;null;22,6;null;1010,673118;32,380645;26,772903;22,825806;77,66129;3,3;,875269;32,956989;
1999-09-30;0;84;null;null;171,3;6,866667;null;88,8;null;1008,528889;32,693333;27,177333;23,613333;80,233333;7;1,286667;48,388889;
1999-10-31;0;85,7;null;null;172,1;6,451613;null;133,7;null;1008,855914;32,703226;27,224516;23,464516;80,064516;5;1,106452;46,935484;
1999-11-30;14;69,3;null;null;146,1;7,022222;15;193,8;null;1007,551111;32,133333;27,012;23,433333;82,083333;5;1,534444;46,611111;
1999-12-31;0;58,4;null;null;115,7;7,11828;17;175,9;null;1007,163441;31,567742;26,781333;23,833333;85,366667;3,3;,9;42,849462;
2000-01-31;0;52,5;null;null;100,1;7,869565;24;322,5;null;1007,706522;30,596774;26,012903;23,029032;86,991935;4,1;,9;39,891304;
2000-02-29;0;58,6;null;null;111,8;7,494253;16;235,9;null;1009,414943;31,013793;26,270345;23,213793;85,112069;3,3;1,158621;40,977011;
2000-03-31;0;55,9;null;null;105,8;8,193548;26;268,9;null;1008,213978;30,951613;26,28129;23,203226;85,524194;4,1;1,258065;40,860215;
2000-04-30;0;58,3;null;null;132,8;7,377778;20;265;null;1009,226667;30,84;26,241333;22,986667;86,175;5;1,218889;42,222222;
2000-05-31;0;49,2;null;null;126,6;7,623656;25;305,5;null;1009,5;31,23871;26,46129;23,5;86,725806;3,6;,902151;42,580645;
2000-06-30;0;72,6;null;null;169,6;6,311111;17;129,1;null;1010,298889;32,013333;26,538667;23,073333;83,158333;3,3;1,032222;46,277778;
2000-07-31;0;89,4;null;null;163,3;6,548387;16;161,5;null;1010,789247;31,445161;26,098065;22,574194;80,274194;5,3;1,033333;42,956989;
2000-08-31;0;98,1;null;null;240,5;4,774194;13;57;null;1010,184946;33,303226;27,305806;23,187097;77,879032;4,6;,956989;46,505376;
2000-09-30;0;97,8;null;null;183;6,566667;14;145,5;null;1009,045556;33,133333;27,102667;23,213333;79,116667;6,6;1,26;47,444444;
2000-10-31;18;93,1;null;null;168,2;6,913978;13;79,5;null;1008,97957;33,619355;27,214194;23,43871;79,959677;4,1;1,27957;45,322581;
2000-11-30;0;81;null;null;135,8;6,9;15;323,1;null;1006,994444;32,986667;27,272;23,7;81,483333;5,3;1,236667;43,277778;
2000-12-31;0;82,7;null;null;140,6;7,043011;18;243,5;null;1008,378495;32,122581;26,910968;23,548387;82,209677;5,8;1,098925;46,344086;
2001-01-31;0;57,5;null;null;96,8;8,677419;29;292,4;null;1009,834409;30,954839;25,619355;22,845161;88,112903;8,3;1,088172;38,26087;
2001-02-28;0;67,8;null;null;114,8;7,964286;20;192,2;null;1008,822619;32,142857;26,347143;23,107143;83,955357;3,6;1,375;41,964286;
2001-03-31;0;74,4;null;null;136,2;7,344086;16;235,4;null;1009,31828;32,922581;27,010323;23,464516;82,66129;5;1,208602;44,946237;
2001-04-30;0;72;null;null;115,8;7,422222;21;120,3;null;1006,824444;32,28;26,966667;23,793333;83,6;6,6;1,514444;47,444444;
2001-05-31;0;70,8;null;null;138,8;7,430108;23;154,6;null;1007,17957;32,16129;26,890323;23,974194;84,508065;4,6;1,125806;45,806452;
2001-06-30;0;66,5;null;null;104,8;7,444444;16;120,6;null;1009,473333;30,193333;25,333333;22,313333;84,758333;4,1;1,014444;46,722222;
2001-07-31;0;89,3;null;null;220,3;6,387097;15;93,2;null;1008,54086;32,322581;26,802581;23,064516;80,798387;5,8;1,292473;45,215054;
