Nome: ITAITUBA
Codigo Estacao: 82445
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.5
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;74,6;null;null;175,4;8,344086;19;185,2;null;1006,805376;33,767742;28,192903;24,183871;85,983871;3,5;,768817;45,430108;
1998-02-28;0;60,4;null;null;142,7;7,785714;17;121,7;null;1007,534524;33,475;28,423571;24,378571;88,133929;2;,75;45,821429;
1998-03-31;0;50,1;null;null;null;8,333333;24;267,7;null;1007,256989;32,535484;27,415484;23,796774;91,814516;2;,483871;44,397849;
1998-04-30;0;49,3;null;null;178,5;7,966667;21;155,7;null;1006,875556;33,756667;28,148667;24,193333;90,591667;4;,444444;44,666667;
1998-05-31;0;40,3;null;null;160,8;7,752688;25;264,9;null;1008,523913;32,574194;27,263226;23,619355;94,129032;2;,236559;45,956989;
1998-06-30;0;51,4;null;null;213,9;5,511111;null;88;null;1009,556667;33,32;27,464;22,52;93,183333;2;,088889;56,711111;
1998-07-31;0;66,9;null;null;246,6;5,44086;null;63,7;null;1009,525806;34,119355;27,19871;21,829032;89,943548;3;,225806;58,956989;
1998-08-31;0;92,1;null;null;268;6,11828;null;29,1;null;1007,82043;35,941935;28,7;22,712903;83,104839;2;,387097;51,548387;
1998-09-30;0;95,2;null;null;242,1;6,477778;15;78,2;null;1007,715556;35,483333;28,774667;23,04;83,575;3;,466667;48,777778;
1998-10-31;0;81,9;null;null;177,7;6,817204;16;146,7;null;1007,408602;34,325806;28,270323;23,064516;85,806452;2;,322581;50,301075;
1998-11-30;0;60,8;null;null;122,5;8,911111;null;173,6;null;1006,127778;33,29;27,355333;22,793333;90,616667;3;,555556;38,777778;
1998-12-31;0;85,7;null;null;183,6;7;null;57,9;null;1006,435484;33,519355;27,942581;22,993548;87,806452;2;,698925;52,043011;
