Nome: MANICORE
Codigo Estacao: 82533
Latitude: -5.817732
Longitude: -61.290736
Altitude: 40.1
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;64,7;null;null;106,6;7,634409;22;226,2;null;1007,004301;31,270968;26,528387;23,635484;90,935484;1;,623656;21,182796;
1998-02-28;0;41,8;null;null;76,1;7,666667;22;251,4;null;1007,361905;31,535714;26,817857;24,114286;91,446429;1;,595238;19,642857;
1998-03-31;0;60,9;null;null;103,4;8;26;373,6;null;1007,144086;31,296774;26,825806;24,180645;90,233871;1;,591398;19,892473;
1998-04-30;0;42,8;null;null;121,6;7,066667;22;310;null;1006,97;31,853333;27,201333;24,406667;91,066667;1;,455556;20,166667;
1998-05-31;0;47,2;null;null;137,4;6,88172;21;115,8;null;1008,084946;31,106452;26,600645;23,509677;89,185484;1;,494624;19,892473;
1998-06-30;0;69,1;null;null;186,5;4,355556;null;28,8;null;1009,153333;32,063333;27,114;23,353333;86,441667;1;,522222;27,977778;
1998-07-31;0;91,1;null;null;247,8;3,806452;null;39,2;null;1008,855914;33,293548;27,003226;22,451613;83,620968;1;,483871;33,569892;
1998-08-31;0;76,5;null;null;182,5;4,709677;null;77,8;null;1007,903226;33,277419;26,938065;22,729032;85,943548;1;,419355;39,849462;
1998-09-30;0;76,1;null;null;152,5;5,911111;null;103,8;null;1007,963333;32,97;26,376;22,423333;86,45;3;,511111;47,1;
1998-10-31;0;66,7;null;null;151,9;6,16129;17;288,2;null;1007,256989;32,8;26,755484;23,003226;87,282258;3;,516129;51,408602;
1998-11-30;0;54,2;null;null;114,9;7,266667;19;202,4;null;1006,172222;31,726667;26,556;23,173333;87,566667;3,6;,484444;51,588889;
1998-12-31;0;60,7;null;null;133;6,946237;18;79,5;null;1006,496774;31,954839;26,51871;23,212903;88,016129;1;,602151;59,806452;
1999-01-31;0;31,4;null;null;113,1;7,623656;24;373,6;null;1007,158065;30,396774;25,42129;22,632258;91,556452;1;,655914;50,731183;
1999-02-28;0;28,2;null;null;107,9;7,821429;21;347,4;null;1007,65;30,442857;25,567143;22,8;92,044643;1;,714286;50,75;
1999-03-31;0;44,2;null;null;108,5;7,763441;25;266,2;null;1006,909677;30,580645;25,773548;22,945161;91,282258;1;,612903;52,752688;
1999-04-30;0;40,9;null;null;122,9;7,611111;29;432,6;null;1008,234444;30,19;25,380667;22,746667;92,575;1;,588889;48,922222;
1999-05-31;0;39,4;null;null;132,4;7,763441;26;200;null;1009,046237;30,167742;25,592258;23,032258;92,685484;1;,645161;49,139785;
1999-06-30;0;45,8;null;null;182,2;6,255556;17;144,2;null;1008,503333;31,08;25,976667;22,71;91,416667;1;,577778;52,688889;
1999-07-31;0;78,4;null;null;246,1;4,333333;null;21,6;null;1009,454839;32,025806;25,823226;21,270968;87,935484;3;,537634;63,11828;
1999-08-31;0;109,5;null;null;220,4;3,526882;null;42,8;null;1009,378495;32,88;26,044138;20,926667;85,767241;1;,623656;69,462366;
1999-09-30;0;73,7;null;null;145,9;6,644444;null;110,8;null;1007,832222;32,644444;26,35;22,538889;85,333333;1;,688889;57,266667;
1999-10-31;0;79,5;null;null;197,7;5,763441;null;108;null;1007,968817;34,277419;27,294839;22,635484;80,7;3;,688172;56,924731;
1999-11-30;0;50,4;null;null;137,9;6,888889;null;165;null;1006,884444;32,766667;26,742667;23,033333;85,95;1;,677778;54,022222;
1999-12-31;0;38,7;null;null;124,5;7,548387;22;257,6;null;1007,38172;32,154839;26,654839;22,951613;89,169355;1,7;,73871;51,451613;
2000-01-31;0;44,3;null;null;119;8,107527;21;281,8;null;1007,449462;31,496774;26,099355;22,63871;88,685484;1;,731183;48,387097;
2000-02-29;0;50,5;null;null;98,5;7,965517;22;237,8;null;1008,755172;30,972414;25,93931;22,606897;89,310345;1;,655172;51,126437;
2000-03-31;0;43,9;null;null;112,6;7,849462;22;400,4;null;1007,976344;31,425806;26,174194;22,780645;89,83871;1;,688172;48,731183;
