Nome: MARABA
Codigo Estacao: 82562
Latitude: -5.36611111
Longitude: -49.12527777
Altitude: 101.66
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;66,9;null;null;null;6,784946;21;394,7;null;1000,601075;31,593548;27,08129;23,596774;82,016129;4;1,232609;68,494624;
1998-02-28;0;84,7;null;null;null;6,642857;18;305,4;null;1001,422619;33,160714;28,113571;24,6;79,205357;4,3;1,364286;67,97619;
1998-03-31;0;68;null;null;null;7,053763;24;255,6;null;1000,549462;32,225806;27,334194;24,241935;81,879032;2,8;1,146237;68,924731;
1998-04-30;0;79,6;null;null;null;6,333333;8;115,4;null;999,798889;33,15;28,567333;24,99;78,983333;4;1,333333;69,222222;
1998-05-31;0;81,2;null;null;222,3;5,408602;11;160,5;null;1001,522581;33,335484;28,410968;24,490323;78,959677;3,3;1,073118;69,784946;
1998-06-30;0;114,3;null;null;271,9;4,166667;4;22,6;null;1002,987778;33,45;28,226667;24,17;72,408333;3,5;1,254444;70;
1998-07-31;0;126,1;null;null;266;4,322581;3;26,1;null;1002,094624;33,732258;27,956129;23,293548;71,733871;3,6;1,480435;69,892473;
1998-08-31;5;162,6;null;null;286,1;4,602151;2;8,8;null;1001,588172;34,406452;28,743871;24,229032;66,540323;3,6;1,876344;69,462366;
1998-09-30;5;158,7;null;null;194,3;5,466667;3;37,5;null;1001,527778;33,716667;28,468;24,366667;68,791667;4,1;2,033333;69,111111;
1998-10-31;36;123;null;null;158,7;6,731183;5;52,5;null;1001,149462;33,074194;28,271613;24,354839;72,306452;5,3;1,54086;68,709677;
1998-11-30;36;69,9;null;null;101,9;7,622222;18;185;null;1000,002222;31,233333;26,851333;23,813333;81,341667;4,1;1,37;67,222222;
1998-12-31;0;62,6;null;null;138;7,387097;18;163,8;null;1001,148387;31,022581;26,600645;23,393548;81,854839;5;1,286022;68,709677;
1999-01-31;0;65,6;null;null;145,1;7,204301;23;224,3;null;1000,339785;30,841935;26,310968;23,316129;82,725806;4,8;1,31828;68,387097;
1999-02-28;0;60,9;null;null;145,5;7,445783;20;288,2;null;1000,433333;30,910714;26,495714;23,275;82,517857;3,1;1,203614;68,333333;
1999-03-31;0;53,2;null;null;123,7;7,483871;27;539,1;null;1000,105376;30,680645;25,956129;22,780645;84,895161;5;1,305376;67,849462;
1999-04-30;0;66,8;null;null;190,6;7,044444;17;188,6;null;1001,297778;32,063333;26,845333;23,57;81,3;3;1,241111;69;
1999-05-31;0;66,4;null;null;192,5;6,784946;18;159,2;null;1002,007527;31,919355;26,550323;23,154839;81,080645;3,3;1,222581;68,924731;
1999-06-30;0;95;null;null;266,9;3,888889;2;3,9;null;1002,23;33,336667;27,664;22,88;71,791667;3,1;1,137079;70;
1999-07-31;0;151,1;null;null;300,5;3,172043;0;0;null;1002,827957;34,203226;27,584516;21,53871;62,540323;3,3;1,247312;70;
1999-08-31;0;179,8;null;null;291,5;3,924731;2;11,7;null;1002,562366;34,980645;28,292903;22,351613;61,669355;3,5;1,453763;69,462366;
1999-09-30;5;134,2;null;null;223,4;5,722222;4;28,7;null;1001,493333;33,656667;28,302;24,16;68,5;3,6;1,852222;68,444444;
1999-10-31;36;99,5;null;null;165,3;6,483871;8;141,3;null;1001,341935;32,670968;27,545161;23,732258;73,443548;4,1;1,622581;67,311828;
1999-11-30;0;73,1;null;null;138,8;7,088889;13;71,7;null;1000,135556;31,513333;27,006667;23,87;79,466667;4,3;1,357778;68,222222;
1999-12-31;0;60,1;null;null;114,6;6,451613;22;366,3;null;1000,850538;30,509677;26,296774;23,396774;84,362903;4;1,250538;66,451613;
2000-01-31;36;63,4;null;null;186,5;7,215054;15;136,8;null;999,612903;31,112903;26,488387;23,329032;80,862903;4,6;1,480645;69,569892;
2000-02-29;0;57,4;null;null;121;7,37931;21;391,7;null;1001,745977;30,255172;25,91931;22,986207;84,396552;4,5;1,317333;68,735632;
2000-03-31;0;65,3;null;null;174,1;7,419355;22;363,2;null;1000,87957;30,929032;26,355484;23,396774;83,25;4,6;1,27957;68,709677;
2000-04-30;0;53,6;null;null;155,9;7,455556;25;351,2;null;1001,426667;31,23;26,338;23,326667;84,658333;3,6;1,182222;69,111111;
2000-05-31;0;87,6;null;null;238,7;5,419355;9;95,4;null;1001,445161;32,416129;27,385161;23,629032;76,919355;3,3;1,227957;69,677419;
2000-06-30;0;107,9;null;null;264,5;4,744444;10;45,9;null;1001,685556;32,576667;27,460667;23,556667;72,625;3,3;1,275556;69,888889;
2000-07-31;36;107,5;null;null;246,4;5,397849;7;28,9;null;1001,035484;32,480645;27,198065;23,319355;73,491935;3,3;1,424731;70;
2000-08-31;0;137,2;null;null;293,9;4,548387;1;,8;null;1000,586022;34,048387;27,986452;23,051613;65,991935;5,8;1,58172;69,139785;
2000-09-30;36;95,4;null;null;184,2;6,988764;10;47,6;null;998,788889;32,496667;27,125333;23,426667;74,541667;3,6;1,633333;57,888889;
2000-10-31;36;114,8;null;null;174,7;7,193548;1;6,9;null;998,912903;33,63871;28,371613;24,470968;69,491935;3,5;1,636559;51,612903;
2000-11-30;36;96,1;null;null;144,6;7,011111;13;70,2;null;997,823333;32,873333;27,722;24,066667;73,783333;3,6;1,424444;52,388889;
2000-12-31;36;77,9;null;null;137,3;6,935484;17;196,3;null;998,616129;31,632258;26,985806;23,7;79,604839;3,3;1,415054;52,956989;
2001-01-31;36;57,4;null;null;146,9;6,763441;21;293,1;null;999,374194;30,977419;26,044516;22,525806;81,669355;3,5;1,203226;52,849462;
2001-02-28;36;48,1;null;null;133,1;7,547619;19;162,7;null;999,478571;31,1;25,813571;22,432143;81,642857;3,5;1,375;49,047619;
2001-03-31;0;43,3;null;null;148,7;7,763441;25;517,8;null;998,912903;31,474194;26,036774;22,722581;84,766129;3,6;1,16129;49,408602;
2001-04-30;36;55,2;null;null;177,7;7,144444;18;298,4;null;999,545556;31,86;26,590667;22,96;81,3;3,3;1,223333;49,777778;
2001-05-31;36;79,9;null;null;217,7;6,311828;10;78,3;null;999,690323;32,983871;27,463871;23,73871;78,685484;3,5;1,236559;52,849462;
2001-06-30;0;73,4;null;null;222,9;5,311111;12;56,7;null;1000,533333;32,733333;27,154;23,323333;74,275;3,6;1,118889;50,777778;
2001-07-31;0;100,1;null;null;288,8;3,408602;2;6,2;null;1000,455914;33,503226;27,753548;22,906452;67,306452;4,1;1,388172;53,655914;
2001-08-31;0;144,6;null;null;298,7;4,096774;0;0;null;1000,269892;34,954839;28,239355;22,035484;54,354839;4,6;1,489247;51,666667;
2001-09-30;36;107,7;null;null;200,5;5,666667;3;18,4;null;999,814444;null;29,118793;24,2;65;4,6;1,681111;50,944444;
2001-10-31;36;95,1;null;null;154,8;7,397849;7;46;1010,273563;999,463441;null;29,05625;24,287097;69,725;3,5;1,63587;48,27957;
2001-11-30;36;null;null;null;null;7,275862;10;148,4;1009,139535;998,382759;32,31;28,225741;24,353571;73,557692;3,6;1,502299;48,045977;
2001-12-31;36;64,6;null;null;150,1;6,473118;16;130,9;1008,731395;998,05914;31,832258;27,370968;24,145161;78,790323;3,3;1,439785;48,784946;
2002-01-31;36;51,3;null;null;138,1;7,408602;19;293,1;1010,523529;999,634409;30,780645;26,388387;23,548387;83,532258;5,5;1,62043;49,247312;
2002-02-28;36;59,4;null;null;186,6;6,666667;17;246,4;1009,5075;998,92381;32,403571;27,144286;23,7;78,25;3,3;1,433333;49,464286;
2002-03-31;36;59,7;null;null;160,7;7,462366;20;305,4;1010,101099;999,262366;32,232258;26,818065;23,451613;80,322581;3,6;1,465591;48,494624;
