Nome: EIRUNEPE
Codigo Estacao: 82610
Latitude: -6.66166666
Longitude: -69.86777777
Altitude: 123.42
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;62,9;null;null;105,6;4,580645;null;204,2;null;33,354839;26,981935;22,806452;77,66129;,4;,03871;48,494624;null;
1998-02-28;0;54,3;null;null;55,8;5,22619;19;343,6;null;33,164286;26,987143;23,1;78,964286;,4;,033333;46,904762;null;
1998-03-31;0;51,8;null;null;44,3;5,043011;15;321;null;33,03871;26,953548;22,548387;78,024194;,4;,030108;46,344086;null;
1998-04-30;0;80,4;null;null;49,2;4,555556;18;378,2;null;33,466667;27,161333;22,933333;78,041667;,4;,024444;49,222222;null;
1998-05-31;0;65,5;null;null;107,5;5,322581;null;222;null;31,754839;25,296774;20,503226;78,556452;,4;,034409;45,483871;null;
1998-06-30;0;79,3;null;null;139;4,455556;null;86,6;null;30,786667;24,790667;19,9;78,975;,2;,011111;48,666667;null;
1998-07-31;0;64,7;null;null;210;3,795699;null;72,4;null;33,219355;25,667097;19,845161;76,016129;,4;,012903;53,010753;null;
1998-08-31;0;54,4;null;null;173,2;3,784946;null;32;null;33,754839;26,045161;20,529032;77,798387;,4;,019355;52,473118;null;
1998-09-30;0;47,8;null;null;148,9;3,8;null;107,2;null;34,053333;26,232;20,406667;76,233333;,2;,008889;51,111111;null;
1998-10-31;0;54,3;null;null;130,2;4,139785;null;137,6;null;34,23871;26,656774;21,541935;78,306452;,2;,006452;50,537634;null;
1998-11-30;0;57,3;null;null;90,9;4,966667;null;254,3;null;33,026667;26,198667;21,693333;83,508333;0;0;47,555556;null;
1998-12-31;0;66;null;null;141,6;4,150538;null;208,8;null;34,23871;26,83871;21,412903;78,725806;0;0;51,182796;null;
1999-01-31;0;34,8;null;null;77,8;5,623656;21;514;null;32,522581;25,660645;20,96129;86,701613;0;0;44,83871;null;
1999-02-28;0;36,5;null;null;75;5,916667;19;393,4;null;32,564286;26,141429;21,242857;84,857143;,2;,002381;45,119048;null;
1999-03-31;0;68,9;null;null;84,5;4,752688;null;263;null;33,23871;26,734194;21,516129;80,169355;0;0;48,709677;null;
1999-04-30;0;43,5;null;null;36;5,433333;20;361,4;null;32,32;25,505333;20,893333;85,175;0;0;45,888889;null;
1999-05-31;0;42;null;null;39,9;5,225806;17;166,2;null;31,651613;25,498065;21,483871;84,258065;0;0;46,774194;null;
1999-06-30;0;49,5;null;null;104,9;4,422222;null;61,2;null;31,706667;24,874667;20,806667;86,175;0;0;48,777778;null;
1999-07-31;0;76;null;null;177,5;3,763441;null;29,8;null;32,464516;24,60129;19,690323;85,322581;0;0;52,043011;null;
1999-08-31;0;111,5;null;null;184,1;4,774194;null;45,3;null;33,741935;24,868387;19,032258;82,314516;0;0;45,483871;null;
1999-09-30;0;73,3;null;null;172,2;4,266667;null;199,2;null;34,7;26,249333;21,74;86,333333;0;0;51;null;
1999-10-31;0;98,5;null;null;136,5;3,634409;null;56;null;35,296774;26,245161;21,445161;85,548387;1,6;,137634;53,010753;null;
1999-11-30;0;91,5;null;null;119,1;4,911111;null;164;null;33,833333;25,954667;21,433333;85,791667;3,4;,268889;47,111111;null;
1999-12-31;0;73;null;null;97,1;4,817204;16;135,4;null;33,412903;26,249032;22,490323;88,919355;1,6;,172043;48,602151;null;
2000-01-31;0;74,5;null;null;82,7;5,72043;17;324,6;null;33,316129;26,007742;22,187097;90,33871;1,6;,017204;44,301075;null;
2000-02-29;0;52;null;null;54,2;5,275862;17;321,2;null;32,524138;25,622069;21,834483;89,681034;1,6;,055172;46,551724;null;
2000-03-31;0;56;null;null;76,4;5,397849;24;307,8;null;32,554839;25,655484;22,109677;89,935484;1,6;,017204;44,946237;null;
2000-04-30;0;49,7;null;null;88,6;5,955556;17;242,6;null;31,54;25,9872;22,58;89,34;0;0;42,111111;null;
2000-05-31;0;48;null;null;103,1;5,204301;10;152,2;null;32,006452;25,665806;22,122581;87,733871;1,6;,034409;46,666667;null;
2000-06-30;0;50,5;null;null;133,4;4,822222;8;81,2;null;31,6;25,090667;21,333333;88,45;0;0;46,333333;null;
2000-07-31;0;54,3;null;null;163,1;4,731183;7;165;null;31,612903;24,015484;19,058065;87,677419;1,6;,051613;47,419355;null;
2000-08-31;0;63;null;null;173,7;4,580645;7;158,2;null;32,903226;25,536129;21,329032;86,806452;0;0;47,849462;null;
2000-09-30;0;80;null;null;74,5;4,355556;8;98,8;null;33,026667;25,715333;20,873333;84,308333;1,6;,017778;48,666667;null;
2000-10-31;0;61,5;null;null;69,9;4,83871;15;418,8;null;32,883871;25,875484;21,83871;87,677419;1,6;,130108;46,129032;null;
2000-11-30;0;58;null;null;110;5,155556;17;185,4;null;33,64;26,004138;22,123333;86,112069;1,5;,016667;44,888889;null;
2000-12-31;0;56,5;null;null;109,9;5,096774;15;241;null;32,948387;26,240645;22,6;86,903226;1,6;,065591;46,88172;null;
2001-01-31;0;44;null;null;84,4;6,516129;26;802;null;31,477419;25,594839;22,029032;88,967742;0;0;40,752688;null;
2001-02-28;0;42,1;null;null;49;5,952381;20;224,8;null;32,392857;25,824286;22,510714;88,178571;0;0;43,333333;null;
2001-03-31;0;58,5;null;null;51,9;5,354839;21;364,2;null;33,212903;26,06;22,36129;87,790323;0;0;44,516129;null;
2001-04-30;0;73,5;null;null;161,9;4,777778;14;326,6;null;34,706667;26,602667;22,5;85,483333;1,5;,016667;46,888889;null;
2001-05-31;0;66;null;null;133,3;5,053763;12;189;null;32,883871;25,947097;22,229032;88,943548;1,6;,229032;47,526882;null;
2001-06-30;0;59,5;null;null;165,8;5,066667;10;94,4;null;32,16;24,236;19,4;87,008333;2;,373333;46,444444;null;
2001-07-31;0;66,5;null;null;180,2;3,913978;10;54,4;null;33,183871;25,355484;20,835484;86,395161;1,6;,262366;51,075269;null;
2001-08-31;0;103;null;null;222;3,408602;2;59,8;null;35,693548;26,412258;20,558065;84,685484;8;,387097;53,387097;null;
2001-09-30;0;91;null;null;158,7;4,333333;10;190,8;null;34,573333;26,222667;21,593333;86,108333;1,6;,192222;48,277778;null;
2001-10-31;0;74,5;null;null;141,1;3,870968;12;117;null;35,690323;27,153548;22,841935;85,354839;1,6;,202151;51,344086;null;
2001-11-30;0;59,5;null;null;108,2;4,733333;14;250,6;null;35,046667;27,33;23,043333;87,458333;2;,232222;47,444444;null;
2001-12-31;0;50;null;null;116,3;5,892473;20;453,6;null;33,948387;26,643871;22,745161;88,524194;1,6;,134409;41,612903;null;
2002-01-31;0;59;null;null;128,1;5,72043;20;329;null;34,36129;26,861935;22,983871;null;2;,268817;42,688172;null;
2002-02-28;0;44,5;null;null;73,5;5,380952;20;331,8;null;33,507143;26,711429;23,114286;88,027778;1,6;,22381;43,095238;null;
2002-03-31;0;73,5;null;null;85,1;5,215054;18;211,6;null;33;26,488387;23,129032;87,854839;1,6;,202151;44,83871;null;
2002-04-30;0;41,5;null;null;110,3;5,577778;18;448,2;null;33,22;26,496;22,933333;88,608333;2;,182222;43,444444;null;
2002-05-31;0;66,5;null;null;125,1;4,666667;14;100,4;null;33,503226;26,503871;22,632258;87,241935;1,6;,272043;46,989247;null;
2002-06-30;0;90;null;null;157,4;4,133333;6;82,4;null;33,166667;25,782667;21;85,35;2;,25;50,333333;null;
2002-07-31;0;87,5;null;null;146,9;4,408602;7;61,6;null;32,255172;25,46;21,246667;86,790323;2;,308602;47,419355;null;
2002-08-31;0;66,5;null;null;120,7;3,826087;11;95,4;null;34,245161;26,14;21,4;87,411765;2;,308602;50,645161;null;
2002-09-30;0;85;null;null;130,7;4,144444;11;127,2;null;34,32;26,903333;22,06;83,908333;1,6;,314444;49,438202;null;
2002-10-31;0;62,5;null;null;130,9;5,043011;18;266;null;34,148387;26,523226;22,348387;87,040323;1,6;,237634;44,860215;null;
2002-11-30;0;51;null;null;91,6;5,133333;20;227,2;null;33,76;26,319333;22,356667;88,116667;1,6;,214444;44,777778;null;
2002-12-31;0;55,5;null;null;76,3;5,483871;24;510,4;null;32,748387;26,467742;22,935484;88,5;1,6;,222581;43,978495;null;
2003-01-31;0;51;148,529773;148,529773;79,9;5,010753;18;233,1;null;33,574194;26,832903;23,051613;87,822581;9,5;,495699;45,268817;null;
2003-02-28;0;41;131,153222;131,153222;43,8;5,880952;19;479,4;null;32,842857;26,302857;22,642857;88,638889;2;,215476;41,428571;null;
2003-03-31;0;49,5;143,91794;143,91794;74;4,956989;16;231,4;null;33,225806;26,58;22,741935;86,879032;2;,195699;45,806452;null;
2003-04-30;0;44;135,956927;135,956927;96,8;4,733333;16;472,4;null;32,72;26,322667;22,453333;87,341667;2;,274444;46,555556;null;
