Nome: ARAGUAINA
Codigo Estacao: 82659
Latitude: -7.103778
Longitude: -48.20133
Altitude: 231.85
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;5;75,9;null;null;130,6;6,365591;22;442,9;983,26129;31,509677;25,55871;22,035484;86,693548;2,2;,827957;69,569892;null;
1998-02-28;5;84,7;null;null;133,3;5,880952;18;180,4;984,064286;33,092857;26,551429;22,692857;84,955357;1,2;,763095;69,642857;null;
1998-03-31;5;67,5;null;null;113;6,548387;23;230,8;983,375269;31,825806;25,929032;22,596774;87,572581;1,2;,789247;69,677419;null;
1998-04-30;5;86;null;null;138,7;4,977778;13;117,7;982,898889;33,08;26,791333;22,706667;85,316667;1,2;,733333;69,666667;null;
1998-05-31;0;125,7;null;null;229,8;3,774194;8;82,8;984,580645;33,632258;25,825806;20,809677;80,66129;2,2;,722581;69,569892;null;
1998-06-30;14;197,6;null;null;260,1;2,2;2;27,5;985,98;33,766667;24,446667;17,88;70,7;4;,895556;69,888889;null;
1998-07-31;5;236,8;null;null;264,5;2,72043;1;14,9;985,297849;34,806452;24,698065;17,690323;64,846774;3,4;,858065;67,956989;null;
1998-08-31;5;281,6;null;null;282,7;2,150538;1;2,8;984,055914;36,151613;25,962581;18,267742;57,403226;2,4;,784946;69,677419;null;
1998-09-30;5;235,7;null;null;209,4;2,466667;3;93,2;983,968889;35,63;26,674667;20,236667;63,875;1,8;,797778;65,111111;null;
1998-10-31;5;102,9;null;null;117;4,623656;10;187,3;983,788172;32,067742;25,602581;21,348387;82,129032;2,2;,775269;67,311828;null;
