Nome: SAO FELIX DO XINGU
Codigo Estacao: 82668
Latitude: -6.630799
Longitude: -51.976014
Altitude: 195.98
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1999-11-30;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;null;
1999-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2000-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2001-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2002-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;6;48,5;null;null;null;null;null;null;null;null;null;
2003-12-31;0;43;null;null;154,7;6,408602;18;198,2;988,088172;30,954839;null;null;85,346774;7;1,387097;51,290323;null;
2004-01-31;0;36,8;null;null;119,5;6,88172;24;274,7;987,798925;29,854839;25,674286;null;88,814516;7;1,526882;48,172043;null;
2004-02-29;32;31,8;null;null;107,6;7,333333;27;347,4;989,363218;28,924138;25,204286;null;89,215517;7;1,678161;51,609195;null;
2004-03-31;0;32,7;null;null;136,3;6,849462;22;441,2;988,452688;29,819355;25,941333;null;88,491935;6;1,268817;52,580645;null;
2004-04-30;0;32,8;null;null;167,9;6,741176;17;183,5;988,672941;30,978571;26,107692;null;85,571429;7;1,352941;50,705882;null;
2004-05-31;0;null;null;null;211,2;6,24359;9;43,4;989,464103;31,669231;26,432174;null;82,461538;5;1,166667;49,230769;null;
2004-06-30;0;null;null;null;248;6,012821;6;22,6;991,453846;31,861538;25,557391;null;78,615385;5;1,307692;49,230769;null;
2004-07-31;null;null;null;null;null;null;4;26,7;990,210714;32,089474;25,678824;null;74,361111;5;null;null;null;
2004-08-31;0;null;null;null;195,2;6,294872;8;41,4;990,791026;32,419231;25,9704;null;76,086538;5;1,24359;38,910256;null;
2004-09-30;0;null;null;null;184,7;6,679487;12;72,1;988,871795;32,876923;26,5456;null;78,509615;7;1,423077;44,358974;null;
2004-10-31;0;null;null;null;138,9;7,405063;17;300,1;988,026582;31,557692;26,533043;null;83,576923;7;1,253165;43,670886;null;
