Nome: CRUZEIRO DO SUL
Codigo Estacao: 82704
Latitude: -7.610736
Longitude: -72.681324
Altitude: 214.19
Situacao: Desativada
Data Inicial: 1998-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;49;null;null;73;6,677419;21;160,7;null;990,119355;33,148387;27,013548;23,229032;81,887097;2,9;,303226;48,225806;
1998-02-28;0;43,9;null;null;45,7;6,952381;19;226,3;null;990,803571;33,160714;27,124286;23,167857;81,535714;3,9;,254762;46,666667;
1998-03-31;0;52,1;null;null;72,7;6,913978;17;278,3;null;990,396774;33,458065;27,127742;22,967742;81,83871;2,4;,139785;43,010753;
1998-04-30;0;47;null;null;98,7;6,133333;17;142,9;null;990,804444;32,846667;27,050667;22,906667;81,95;7,5;,376667;45,944444;
1998-05-31;0;57,6;null;null;145,6;5,247312;null;143,7;null;993,087097;32,203226;25,625161;20,645161;81,040323;6;,439785;43,763441;
1998-06-30;0;54;null;null;null;5,011111;null;67,6;null;994,412222;31,953333;25,218667;19,923333;83,975;2,9;,252222;46;
1998-07-31;0;72,9;null;null;211,8;2,924731;null;18,6;null;993,465591;33,874194;26,276774;20,722581;80,306452;3,9;,126882;58,989247;
1998-08-31;0;77,3;null;null;181,5;3,735632;null;39,1;null;991,821839;34,731034;27,003448;21,568966;78,043103;2,9;,203448;61,735632;
1998-09-30;0;96;null;null;179,9;4,077778;null;52,6;null;991,51;34,466667;26,851333;21,003333;71,558333;2,9;,398889;65,044444;
1998-10-31;0;65;null;null;132,7;6,010753;null;222,4;null;990,651613;33,680645;26,999355;22,264516;76,919355;7,5;,283871;51,505376;
