Nome: LABREA
Codigo Estacao: 82723
Latitude: -7.26138888
Longitude: -64.78999999
Altitude: 62.23
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;14;null;null;null;null;8,043011;16;115,4;null;null;32,658065;27,003871;23,193548;85,443548;6;1,709677;59,473118;
1998-02-28;5;null;null;null;null;8,488095;18;233,5;null;null;32,821429;27,171429;23,3;83,839286;5;1,52381;51,309524;
1998-03-31;0;54,5;null;null;null;7,849462;20;249,2;null;null;31,877419;26,892903;23,606452;89,620968;5;1,483871;52,602151;
1998-04-30;0;60,5;null;null;0;7,622222;null;162,6;null;null;32,65;27,02;23,243333;88,308333;3;1,201111;52,777778;
1998-05-31;18;62,1;null;null;null;7,16129;null;127,4;null;null;31,309677;25,958065;21,829032;87,766129;5;1,193548;57,795699;
1998-06-30;0;89,7;null;null;null;5,7;null;20,6;null;null;31,44;25,422667;20,406667;85,341667;5;1,226667;61,722222;
1998-07-31;0;117,1;null;null;null;4,010753;null;25,2;null;null;33,858065;25,99871;20,277419;79,975806;4;,821505;69,849462;
1998-08-31;0;120,2;null;null;215,5;5,150538;null;27,7;null;null;34,141935;26,988387;21,470968;79,508065;5;1,409677;66,655914;
1998-09-30;36;122,9;null;null;186,7;7,088889;null;76,8;null;null;33,846667;26,995333;21,943333;79,916667;4;1,656667;62,3;
1998-10-31;9;76,9;null;null;133,2;7,258065;16;213,4;null;null;32,670968;26,685806;22,770968;85,217742;5,2;1,410753;61,258065;
1998-11-30;0;61,1;null;null;101,3;8,2;null;139;null;null;31,523333;26,088667;22,193333;87,816667;3,2;1,202222;58,755556;
