Nome: TARAUACA
Codigo Estacao: 82807
Latitude: -8.16027777
Longitude: -70.7686111
Altitude: 172.27
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;null;null;null;120,4;7,666667;24;209;null;31,987097;26,648387;22,5;86,774194;1;,290323;49,032258;null;
1998-02-28;0;null;null;null;80,1;8,071429;23;162,8;null;31,910714;26,72;23,232143;88,6875;1;,321429;48,75;null;
1998-03-31;0;null;null;null;106,9;7,580645;25;330,8;null;32,429032;26,952903;23,174194;86,653226;1,1;,409677;47,741935;null;
1998-04-30;0;null;null;null;157,4;6,622222;16;119,7;null;33,26;26,336;23,208696;84,716667;1;,433333;49,666667;null;
1998-05-31;0;null;null;null;143,6;6,16129;null;79,8;null;31,019355;null;null;86,556452;2;,548387;46,935484;null;
1998-06-30;0;null;null;null;123,1;5,433333;null;51,2;null;30,98;null;null;84,166667;2;,477778;46,5;null;
1998-07-31;0;null;null;null;null;3,258065;null;27,2;null;33,229032;null;null;81,427419;2;,376344;42,096774;null;
1998-08-31;0;null;null;null;200,2;4,010753;null;32,4;null;34,293548;null;null;80,983871;2;,419355;40,376344;null;
1998-09-30;0;null;null;null;198,7;3,8;null;85,8;null;34,746667;null;null;76,641667;2;,533333;44,722222;null;
1998-10-31;0;null;null;null;131,8;6,860215;16;276,7;null;32,954839;null;null;84,653226;6;,430108;48,870968;null;
1998-11-30;0;null;null;null;107,9;7,066667;17;339,6;null;31,486667;null;null;88,658333;1;,533333;47,5;null;
1998-12-31;0;null;null;null;null;7,698925;21;254,9;null;32,229032;null;null;86,66129;3;,430108;49,354839;null;
1999-01-31;0;null;null;null;null;8,075269;25;259;null;30,477419;null;null;88,830645;1,2;,335484;50;null;
1999-02-28;0;null;null;null;null;8,035714;23;301,5;null;30,825;null;null;89,625;1;,321429;49,464286;null;
1999-03-31;0;null;null;null;98;7,688172;21;177;null;32,025806;null;null;88,564516;1;,376344;47,741935;null;
1999-04-30;0;null;null;null;119,4;7,488889;19;265,8;null;30,873333;24,455333;20,6;89,4;2;,444444;45,533333;null;
1999-05-31;0;null;null;null;128,2;7,107527;22;304;null;30,570968;null;null;89,291667;2;,483871;45,774194;null;
1999-06-30;0;null;null;null;77,5;6,544444;null;155,6;null;30,186667;null;null;89,275;2;,477778;44,269663;null;
1999-07-31;0;null;null;null;207,3;5,376344;null;138,8;null;31,745161;null;null;85,717742;2;,451613;44,591398;null;
1999-08-31;0;null;null;null;210,9;5,72043;null;11,4;null;32,977419;null;null;82,612903;2;,473118;39,247312;null;
1999-09-30;0;null;null;null;185,4;5,577778;null;126;null;33,966667;null;null;83,658333;1;,477778;45,5;null;
