Nome: PORTO VELHO
Codigo Estacao: 82825
Latitude: -8.7931
Longitude: -63.8467
Altitude: 86.12
Situacao: Desativada
Data Inicial: 1998-01-01
Data Final: 2008-02-19
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;74,6;null;null;117,9;7,913043;19;101,3;998,522826;33,006452;27,094194;23,56129;82,959677;11,5;,440217;22,032258;null;
1998-02-28;0;57,5;null;null;null;8,428571;14;217,5;996,641667;32,646429;27,069286;23,725;85,214286;8;,525;16,214286;null;
1998-03-31;0;43,2;null;null;103;8,462366;18;292,2;999,116129;32,741935;26,985161;23,403226;84,233871;12,5;,483871;21,269841;null;
1998-04-30;0;73,5;null;null;91,7;7,633333;12;169,5;998,632222;32,56;26,82;23,163333;85,408333;9;,338889;27;null;
1998-05-31;0;49,7;null;null;96,2;6,655914;10;114,5;1001,610753;31,151613;25,594839;21,390323;83,524194;6;,363043;28,016129;null;
1998-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-07-31;null;142,7;null;null;164;null;2;6,5;1001,169565;33,54;25,667333;19,763333;71,733871;null;,76087;26,111111;null;
1998-08-31;null;107,9;null;null;50,6;null;4;37,3;998,632258;34,912903;26,806452;21,116129;74,066667;5;,334783;11,875;null;
1998-09-30;null;112,9;null;null;null;null;3;15,8;1000,55;34,836667;26,963333;21,496667;72,75;null;,513483;15,180328;null;
1998-10-31;null;65;null;null;null;null;7;35,6;1000,245161;34,929032;27,49871;22,903226;77,524194;null;,520652;18,278689;null;
1998-11-30;null;65,2;null;null;109,1;null;13;158,4;998,761111;32,396667;26,472667;22,823333;82,05;null;,44382;14,9;null;
1998-12-31;null;57,9;null;null;127,5;null;8;72,2;999,452688;32,216129;26,327097;22,451613;82,927419;null;,318478;19,52381;null;
1999-01-31;null;47,3;null;null;110,3;null;17;362,8;999,583871;30,964516;25,755484;22,43871;85,298387;null;,440217;17,258065;null;
1999-02-28;null;34,7;null;null;null;null;null;202,6;1001,19881;31,517857;26,008571;22,417857;83,919643;null;,34375;19,224138;null;
1999-03-31;null;53,8;null;null;null;null;14;160,3;1001,734409;31,629032;26,089677;22,564516;83,903226;null;,238043;20,3125;null;
1999-04-30;null;67,3;null;null;null;null;11;149,4;1003,981111;31,616667;25,598667;21,5;83,566667;2,5;,186517;25,5;null;
1999-05-31;null;47,7;null;null;86,7;null;12;151,7;1004,095699;30,674194;25,299355;21,593548;85,620968;null;,532258;22,983871;null;
1999-06-30;null;49,4;null;null;null;null;6;57,1;1001,395556;31,25;25,224667;20,943333;83,566667;null;,15;25,616667;null;
1999-07-31;null;106,8;null;null;233;null;3;10,7;1002,677419;32,651613;24,956774;18,848387;75,91129;null;,463441;33,983871;null;
1999-08-31;null;156,5;null;null;null;null;2;59;999,263441;33,96129;25,086;18,076667;67,040323;null;,544086;12,080645;null;
1999-09-30;null;103,5;null;null;160,8;null;7;136,9;996,583333;34,14;26,576;21,586667;77,916667;null;,437778;18,305085;null;
1999-10-31;null;83,9;null;null;184,8;null;7;89,6;996,347253;33,774194;26,467742;21,709677;76,655172;null;,321505;20,564516;null;
1999-11-30;null;36,6;null;null;null;null;null;92,1;995,612791;31,557143;26,025;22,510345;82,116071;null;,714773;22,62069;null;
1999-12-31;null;54,4;null;null;100,3;null;null;28,2;995,775269;31,506452;26,156129;22,512903;84,08871;2,5;,127473;20,57377;null;
2000-01-31;0;48,4;null;null;97,4;7,945055;16;467,7;997,8;31,641935;26,110968;22,180645;82,862903;15;,620879;19,983333;null;
2000-02-29;0;47;null;null;null;8,488095;15;230,8;998,855294;31,375862;25,767857;22,568966;85,767857;8;,342353;24,090909;null;
2000-03-31;0;65;null;null;88;8,72043;16;210,7;999,255914;31,464516;25,89871;22,574194;84,879032;5;,444444;22,096774;null;
2000-04-30;0;56,3;null;null;null;8,3;10;75,4;999,936667;31,746667;26,012667;22,443333;84,833333;5;,288889;26,311475;null;
2000-05-31;0;94,6;null;null;177,1;6,311828;4;30,6;1001,037634;31,980645;25,870968;21,677419;81,758065;5;,446237;28,5;null;
2000-06-30;0;93,7;null;null;191,2;5,348837;2;70,3;1001,611111;31,293333;25,067586;20,283333;80,534483;5;,47191;28,52459;null;
2000-07-31;0;96,4;null;null;183,9;4,822222;3;45,5;1002,221739;31,354839;24,019355;18,003226;74,540323;5;,375;33,983871;null;
2000-08-31;0;88,2;null;null;null;5,56044;4;23,6;1001,609677;33,480645;26,118065;20,593548;77;2,5;,244565;26,032258;null;
2000-09-30;0;96,5;null;null;null;6,222222;11;49,3;1000,116364;32,726667;26,075333;20,826667;76,891667;5;,333333;20,25;null;
2000-10-31;0;83,4;null;null;116,9;7,793478;13;215,2;null;33,177419;26,606923;21,938462;77,774194;2,5;,107527;17,016129;null;
2000-11-30;0;62,4;null;null;111,7;8,255556;16;276,3;null;31,808696;26,053043;22,552174;85,291667;5;,545455;20,5;null;
2000-12-31;0;57,3;null;null;124,3;8,236559;21;261;998,981319;31,667742;26,136129;22,409677;83,572581;0;0;16,774194;null;
2001-01-31;0;43,8;null;null;88,8;8,516129;24;220,4;1000,646237;30,041935;25,7;22,476667;84,846774;0;0;16,166667;null;
