Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;32;59,8;null;null;147,1;7,182796;22;268,3;990,82043;32,241935;26,851613;23,216129;94,314516;4;2,419355;71,290323;null;
1998-02-28;32;56,1;null;null;152,4;6,97619;19;303;991,425;32,857143;27,477857;23,785714;94,276786;5;2,428571;74,47619;null;
1998-03-31;18;55,8;null;null;null;6,935484;23;335,6;990,693548;33,054839;26,966452;23,403226;95,322581;9;2,44086;73,053763;null;
1998-04-30;32;75,3;null;null;208,1;5,366667;null;43,2;990,094444;34,826667;28,632;24,443333;93,758333;4;2,411111;82,577778;null;
1998-05-31;18;103;null;null;261;4,247312;null;113,9;991,903226;35,348387;28,747097;23,741935;92,290323;4;2,44086;82,494624;null;
1998-06-30;14;145,8;null;null;295,6;2,466667;null;0;993,267778;36,096667;28,358667;22,09;88,991667;4;2,477778;84;null;
1998-07-31;14;169,5;null;null;285;2,602151;null;1,4;993,034409;36,56129;28,516774;21,635484;87,387097;5;2,752688;83,032258;null;
1998-08-31;5;192,6;null;null;252,7;2,806452;null;0;991,102151;37,596774;29,305161;22,216129;86,604839;5;2,419355;69,225806;null;
1998-09-30;5;169,1;null;null;144,2;3,211111;null;13,4;990,714444;36,806667;29,592;23,833333;88,025;5;2,588889;44;null;
1998-10-31;5;108,6;null;null;119,2;6,11828;null;48,3;990,692473;34,170968;28,040645;23,825806;91,612903;5;2,494624;63,182796;null;
1998-11-30;32;54,3;null;null;112,6;8,177778;18;418,9;989,893333;32,046667;26,403333;22,923333;95,133333;9;2,455556;73,244444;null;
1998-12-31;36;71,8;null;null;150,5;7,516129;null;127,1;989,932258;32,7;26,88129;23,377419;94,048387;5;2,430108;78;null;
1999-01-31;18;63;null;null;159,7;7,096774;22;251,4;989,870968;31,851613;26,383871;22,86129;94,927419;5;2,451613;75,526882;null;
1999-02-28;18;54,5;null;null;147,7;7,071429;17;173,5;990,509524;31,610714;26,13;22,592857;95,330357;7;2,5;75,52381;null;
1999-03-31;32;60,4;null;null;144;7,322581;19;109,6;990,089247;31,409677;26,370968;23,16129;95,379032;4;2,301075;76,064516;null;
1999-04-30;14;59;null;null;144,4;7,155556;15;84,9;991,466667;32;26,566667;23,003333;95,266667;5;2,3;79,4;null;
1999-05-31;18;67,7;null;null;199,7;6,301075;null;99,1;992,38172;32,03871;26,454839;22,619355;94,685484;5;2,258065;80,860215;null;
1999-06-30;14;114,7;null;null;289,7;2,888889;null;19,8;992,094444;34,596667;27,458;21,723333;91,325;4;2,244444;83,688889;null;
1999-07-31;14;170,4;null;null;322,2;2,27957;null;0;993,256989;35,122581;27,253548;20,306452;88,217742;5;2,322581;84;null;
1999-08-31;14;203,8;null;null;306,3;2,333333;null;0;992,580645;37,003226;28,774839;21,583871;85,241935;5;2,569892;81,11828;null;
1999-09-30;36;133,6;null;null;204,6;4,422222;null;66,8;990,538889;35,36;28,026667;22,623333;89,525;5;2,422222;63,377778;null;
1999-10-31;32;127,3;null;null;195;5,010753;null;37,8;991,031183;34,7;27,921379;23,045161;88,37931;5;2,483871;69,075269;null;
1999-11-30;5;64,8;null;null;140,6;7,388889;19;295,4;990,262222;32,123333;26,520667;23,126667;92,108333;5;2,4;72,933333;null;
1999-12-31;32;57,2;null;null;116,5;7,107527;22;421,9;990,497849;31,135484;26,132903;23,016129;92,540323;7;2,526882;73,784946;null;
2000-01-31;5;55,2;null;null;141,9;7,569892;22;344,2;989,948387;31,16129;26,08;22,725806;91,217742;5;2,387097;75,505376;null;
2000-02-29;5;53,5;null;null;149,6;7,103448;21;351;991,731034;31,048276;25,864828;22,724138;90,87069;5;2,390805;73,655172;null;
2000-03-31;32;63,4;null;null;193,4;6,731183;19;237;990,1;31,829032;26,446452;22,951613;88,991935;3;2,311828;77,892473;null;
2000-04-30;14;58,4;null;null;191,2;6,011111;21;320,5;991,273333;32,073333;26,428;22,62;89,783333;4;2,277778;77,733333;null;
2000-05-31;14;112,5;null;null;285,5;3,978495;4;88,2;991,667742;34,035484;27,825806;22,66129;80,217742;4;2,193548;82,322581;null;
2000-06-30;14;151,1;null;null;null;2,133333;0;0;992,467778;34,926667;27,987333;21,736667;73,175;4;2,266667;84;null;
2000-07-31;14;159,5;null;null;null;3,172043;2;36,4;992,269892;35,435484;28,030968;21,693548;72,83871;4;2,010753;83,741935;null;
2000-08-31;14;189,7;null;null;null;3,483871;3;4,4;991,972043;36,922581;29,01871;22,003226;77,225806;5;2,27957;82;null;
2000-09-30;32;105,8;null;null;null;6,255556;9;71,6;991,162222;33,906667;27,207333;22,48;89,175;5;2,433333;68,311111;null;
2000-10-31;32;80,1;null;null;null;6,236559;14;232,6;991,37957;33,416129;26,975484;22,445161;91,653226;5;2,268817;72,55914;null;
2000-11-30;32;68;null;null;null;6,9;16;234;989,628889;32,343333;26,248667;22,246667;93,3;7;2,422222;73,733333;null;
2000-12-31;36;58,7;null;null;138;7,473118;21;450,2;990,841935;31,203226;26,001935;22,393548;93,927419;5;2,526882;70,215054;null;
2001-01-31;32;65,3;null;null;140,9;7,677419;17;118,1;991,983871;31,693548;26,151613;22,380645;92,725806;5;2,516129;72,817204;null;
2001-02-28;32;61,5;null;null;155,8;6,666667;18;175;991,247619;32,007143;26,363571;22,214286;92,401786;4;2,404762;77,52381;null;
2001-03-31;32;57,2;null;null;157,7;7,827957;22;259,2;991,590323;31,848387;26,053548;22,36129;94,524194;5;2,365591;72,236559;null;
2001-04-30;14;66,6;null;null;179;6,288889;11;116,1;991,846667;32,426667;26,672;22,376667;93,708333;5;2,288889;79,311111;null;
2001-05-31;14;84,2;null;null;222,2;5,397849;8;140,6;991,446237;33,580645;27,414839;22,612903;91,266129;3;2,268817;79,247312;null;
2001-06-30;14;149;null;null;257,7;4,522222;3;10,7;992,33;34,15;27,435333;21,64;81,275;4;2,222222;82,422222;null;
2001-07-31;14;199,7;null;null;311,1;2,946237;1;5,7;992,143011;35,367742;27,57871;20,522581;76,008065;5;2,225806;83,16129;null;
2001-08-31;14;257,7;null;null;281,4;3,11828;1;,4;993,062366;36,23871;28,156774;20,519355;69,91129;4;2,268817;78,086022;null;
2001-09-30;32;167,6;null;null;176,9;4,8;2;1,8;989,697778;36,016667;28,414667;22,756667;76,25;5;2,266667;52,966667;null;
2001-10-31;18;95,9;null;null;133,8;6,19086;17;273,9;990,046237;33,212903;26,757419;21,987097;88,733871;7;2,236559;68,645161;null;
2001-11-30;18;88,2;null;null;135,6;6,9;17;264,6;989,62;32,75;26,651333;22,3;87,241667;4;2,211111;73,711111;null;
2001-12-31;32;64;null;null;126;7,150538;20;416;989,219355;31,53871;26,194194;22,193548;91,895161;4;2,329032;74,795699;null;
2002-01-31;32;62,8;null;null;129,3;7,344086;24;433,4;990,573118;31,264516;25,958065;22,090323;91,524194;7;2,365591;71,075269;null;
2002-02-28;5;73,3;null;null;141,1;6,214286;14;198,4;990,441667;32,021429;26,590714;22,171429;87,883929;5;2,22619;75,785714;null;
2002-03-31;32;72,3;null;null;151,2;6,892473;18;184,1;990,546237;31,719355;26,315484;21,906452;90,314516;5;2,365591;72,021505;null;
2002-04-30;14;94,1;null;null;207,8;5,577778;13;157,6;989,878889;33,22;26,975333;22,036667;81,758333;5;2,277778;53,5;null;
2002-05-31;18;134,2;null;null;256,1;4,053763;11;30,8;990,849462;34,146667;27,863448;22,633333;81,362903;4;2,27957;52,580645;null;
2002-06-30;9;191,6;null;null;280,8;2,955556;1;,1;992,864444;34,673333;27,618667;20,776667;71,666667;4;2,2;54,222222;null;
2002-07-31;9;208,5;null;null;302,8;2,645161;1;,1;992,636559;35,874194;28,229032;20,880645;67,379032;5;2,258065;59,462366;null;
2002-08-31;5;230,5;null;null;307,9;1,892473;0;0;991,688172;36,964516;28,824516;20,283871;64,612903;5;2,27957;57,956989;null;
2002-09-30;32;146,6;null;null;180,5;4;6;82,5;990,977778;35,366667;28,159333;21,826667;71,508333;5;2,3;38,833333;null;
2002-10-31;18;92,5;null;null;176,7;5,322581;13;50,9;990,029032;33,319355;26,731613;21,222581;82,83871;5;2,311828;47,956989;null;
2002-11-30;18;80,5;null;null;184,4;5,280899;10;111,5;990,365556;33,42;26,834;21,25;84,683333;5;2,344444;52,555556;null;
2002-12-31;18;65,1;null;null;137,6;7,290323;22;312,2;991,543011;31,780645;26,332258;23,216129;82,540323;5;2,311828;49,139785;null;
2003-01-31;18;69,7;151,656084;151,656084;152;6,591398;18;303,5;991,923656;32,367742;26,909677;23,554839;81,66129;5;2,419355;53,44086;null;
2003-02-28;14;55,1;121,772415;121,772415;126,5;7,333333;22;151,9;991,669048;31,407143;26,234286;22,814286;82,767857;5;2,285714;52,619048;null;
2003-03-31;14;56,7;134,303329;134,303329;146,5;7,129032;22;269,3;991,405376;31,341935;26,176774;23,048387;84,201613;5;2,268817;52,688172;null;
