Nome: PEDRO AFONSO
Codigo Estacao: 82863
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.53
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;60,4;null;null;152,5;6,602151;22;299,6;989,374194;31,780645;26,36129;22,545161;86,177419;14;1;55,451613;null;
1998-02-28;0;56,9;null;null;159,5;6,345238;20;305,6;990,02619;32,639286;26,852857;23,007143;86,080357;8;,964286;55,369048;null;
1998-03-31;0;60,7;null;null;201,8;6,290323;19;199,9;989,273118;32,758065;26,687097;22,812903;86,677419;7;,892473;56,27957;null;
1998-04-30;0;78,3;null;null;211,7;4,633333;6;14,5;988,815556;34,37;28,176667;23,73;80,691667;6;,744444;58,444444;null;
1998-05-31;0;119,5;null;null;248,7;3,182796;1;1,4;990,748387;34,796774;27,704516;22,325806;73,983871;6;1,451613;62,623656;null;
1998-06-30;0;136,8;null;null;271,6;1,355556;1;,7;992,236667;35,393333;26,536667;19,776667;68,966667;8;2,233333;65,644444;null;
1998-07-31;0;162,5;null;null;278,7;2,258065;2;38;991,749462;35,667742;26,521935;19,26129;65,33871;6;,731183;68,301075;null;
1998-08-31;0;221,2;null;null;298,3;1,83871;0;0;990,047312;37,435484;27,840645;20,190323;59,266129;8;1,086022;48,473118;null;
1998-09-30;0;233,4;null;null;218,7;2,377778;1;,9;989,1;37,483333;29,186;22,173333;56,808333;6;1,4;34,611111;null;
1998-10-31;0;160,3;null;null;168,2;5,451613;13;117,7;989,109677;34,848387;27,956774;22,706452;70,653226;8;1,903226;43,236559;null;
