Nome: RIO BRANCO
Codigo Estacao: 82915
Latitude: -9.95916666
Longitude: -67.86888888
Altitude: 160.71
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;47,6;null;null;133,8;8,580645;17;335,5;null;993,283871;31,558065;26,485806;23,535484;91,637097;9;,493548;42,688172;
1998-02-28;0;52;null;null;99,2;8,083333;15;299,4;null;994,170238;31,85;26,619286;23,425;89,678571;9;,54881;43,214286;
1998-03-31;0;43;null;null;111,7;8,462366;23;396,7;null;993,422581;31,664516;26,35871;23,593548;90,951613;5;1,026882;40,107527;
1998-04-30;0;50,3;null;null;158,3;7,611111;16;102,7;null;993,795556;31,98;26,371333;23,1;89,125;5;,746667;44,833333;
1998-05-31;0;55,6;null;null;151,7;6,774194;null;19;null;996,725806;29,919355;23,972903;20,096774;85,556452;5;1,039785;46,989247;
1998-06-30;0;61,4;null;null;108,4;6,344444;null;5;null;997,921111;30,38;23,749333;18,926667;84,633333;5;,988889;43,777778;
1998-07-31;0;100,8;null;null;178,2;4,655914;null;38,6;null;996,813978;33,229032;24,428387;18,503226;80,637097;5;,731183;43,655914;
1998-08-31;0;88;null;null;119,2;5,462366;null;63;null;994,911828;33,719355;26,16;20,364516;82,354839;5;,655914;37,688172;
1998-09-30;0;114,4;null;null;115,8;4,833333;null;61,6;null;994,585556;33,443333;25,914667;20,143333;77,033333;6;1,188889;33,611111;
1998-10-31;0;86,1;null;null;121;6,602151;17;265,6;null;993,747312;32,819355;26,293548;21,977419;84,209677;6;1,053763;38,172043;
1998-11-30;0;44,2;null;null;126;7,921348;18;304,8;null;992,672222;31,233333;25,749333;22,36;88,2;8;1,495556;43,5;
1998-12-31;0;34,9;null;null;116,8;7,612903;15;404,2;null;992,395699;30,874194;25,423226;21,954839;88,693548;8;1,107527;39,247312;
1999-01-31;0;39,4;null;null;86,8;8,247312;26;463,6;null;992,753763;29,932258;25,263871;22,425806;90,33871;6;1,006452;38,870968;
1999-02-28;0;39,6;null;null;62,3;8,345238;19;209,1;null;993,20119;30,867857;25,454286;22,467857;89,026786;7;,97619;44,583333;
