Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.190897
Longitude: -48.301822
Altitude: 291.68
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;113,3;null;null;147;5;null;197,8;null;31,893548;26,506;23,058065;81,201613;4,4;1,292473;60,537634;null;
1998-02-28;0;92,8;null;null;147,9;5,202381;16;239,5;null;32,692857;27,187407;23,871429;83,741071;4,4;1,339286;59,166667;null;
1998-03-31;36;103,4;null;null;184,8;4,945055;15;282,3;null;32,719355;26,586667;23,022581;82,633333;6,7;1,434066;58,571429;null;
1998-04-30;9;140,8;null;null;216,6;4,077778;null;84;null;34,436667;27,74;23,44;80,291667;4,4;1,312222;59,888889;null;
1998-05-31;0;198;null;null;250;3,397849;null;45,9;null;34,019355;26,363871;21,006452;74,233871;6,7;1,429032;60,107527;null;
1998-06-30;0;319;null;null;268,6;2,355556;null;0;null;34,346667;25,14;17,973333;63,341667;12,3;2,042353;60,777778;null;
1998-07-31;0;375,7;null;null;292,7;2,580645;null;0;null;35,664516;25,167097;16,619355;57,032258;12,3;1,858696;58,172043;null;
1998-08-31;9;408,1;null;null;301,2;2,16129;null;0;null;37,590323;27,5;18,780645;45,475806;12,4;2,668817;55,806452;null;
1998-09-30;0;331;null;null;243,3;2,044444;null;15,7;null;37,736667;28,977333;21,486667;48,866667;12,3;2,095455;40,777778;null;
1998-10-31;0;236,3;null;null;166,4;5,26087;null;69,8;null;35,46129;27,736774;22,816129;69,169355;6,7;1,590323;49,032258;null;
1998-11-30;0;108,4;null;null;113,2;5,688889;20;305,1;null;31,76;26,233333;22,753333;81,163793;4,4;1,823333;58,888889;null;
1998-12-31;18;123,6;null;null;155,5;5,623656;20;241,1;null;31,635484;26,31871;22,470968;80,41129;4,4;1,873118;59,139785;null;
1999-01-31;9;111,5;null;null;150,4;5,677419;23;391,7;null;31,525806;25,835484;22,309677;83,467742;12,3;1,745161;64,193548;null;
1999-02-28;18;83,7;null;null;120;5,142857;15;243,1;null;31,153571;25,504286;21,907143;84,991071;4,4;1,70119;62,380952;null;
1999-03-31;0;89;null;null;141,6;5,247312;22;242;null;31,141935;25,663871;22,354839;85,217742;4,4;1,346237;62,473118;null;
1999-04-30;0;121,5;null;null;178;4,611111;null;159,7;null;32,373333;26,316667;22,296667;81,966667;4,4;1,482222;63,888889;null;
