Nome: PORTO NACIONAL
Codigo Estacao: 83064
Latitude: -10.71083333
Longitude: -48.40638888
Altitude: 243.28
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1998-02-28;0;75,7;null;null;null;5,333333;19;257,4;null;984,631481;33,592857;27,423704;23,532143;null;5;,368519;69,444444;
1998-03-31;36;76,5;null;null;null;5,833333;20;112,7;null;984,236667;33,76129;27,097931;23,322581;null;3,3;,365;69,666667;
1998-04-30;0;121,9;null;null;null;2,05;null;69,4;null;983,596667;35,533333;28,936667;23,96;null;2;,241667;70;
1998-05-31;0;140,7;null;null;null;1,606557;null;36,2;null;985,298361;35,458065;27,833333;22,045161;null;3,5;,472131;68,852459;
1998-06-30;0;189,4;null;null;null;,3;null;28,3;null;986,751667;35,593333;27,030667;19,973333;null;3,3;,256667;70;
1998-07-31;0;229,2;null;null;null;,83871;null;0;null;986,608065;36,712903;27,248387;19,058065;null;2,5;,259677;70;
1998-08-31;0;313,5;null;null;null;1,540984;null;0;null;985,245902;38,129032;28,963333;20,880645;null;5;,3;64,262295;
1998-09-30;0;310,1;null;null;null;3,766667;null;8,2;null;984,413333;38,46;30,389333;23,486667;null;4;,455;40,666667;
1998-10-31;0;188,5;null;null;null;7,758621;null;73,1;null;984,375862;35,545161;28,419259;23,645161;null;4;,241379;62,241379;
