Nome: PEIXE
Codigo Estacao: 83228
Latitude: -12.01527777
Longitude: -48.54499999
Altitude: 252.24
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;88,2;null;null;154,1;7,505376;22;311,5;983,434409;32,490323;26,411613;22,741935;81,241935;3;1,129032;75,548387;null;
1998-02-28;18;81,9;null;null;157,8;6,464286;null;170,5;984,10119;33,664286;27,315714;23,507143;80,339286;5;1,095238;75,666667;null;
1998-03-31;18;94,2;null;null;198;6,602151;17;173,7;983,343011;33,741935;27,491613;23,345161;79,475806;6;1,010753;75,849462;null;
1998-04-30;0;138,1;null;null;248,9;3,711111;null;21,5;982,901111;35,45;28,696;23,926667;72,908333;5;1,133333;76;null;
1998-05-31;0;168,1;null;null;256,5;3,537634;null;18,2;985,104301;34,480645;27,009677;21,548387;67,830645;5;1,258065;76;null;
1998-06-30;0;211,9;null;null;275,9;1,833333;null;2,6;986,777778;34,316667;25,628667;19,263333;59,058333;5;1,388889;76;null;
1998-07-31;0;272,3;null;null;300,5;3,172043;null;,2;986,368817;35,36129;25,558065;17,993548;53,483871;5;1,387097;76;null;
1998-08-31;0;323,9;null;null;301,5;1,903226;null;0;984,466667;37,583871;27,692258;19,780645;44,782258;6;1,655914;76;null;
1998-09-30;0;313,5;null;null;227,7;2,666667;null;18,8;983,278889;38,463333;29,4;22,393333;45,208333;6;1,355556;71,955556;null;
1998-10-31;0;219,9;null;null;169,6;6,806452;null;21,9;983,130108;36,248387;28,890323;23,622581;60,677419;5;1,225806;73,44086;null;
