Nome: TAGUATINGA
Codigo Estacao: 83235
Latitude: -12.40222222
Longitude: -46.43833333
Altitude: 604.88
Situacao: Operante
Data Inicial: 1998-01-01
Data Final: 2020-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1998-01-31;0;81,5;null;null;144,9;5,634409;19;271;null;943,355914;31,209677;25,260645;21,054839;79,822581;4;,290323;69,677419;
1998-02-28;0;86,3;null;null;135,5;5,690476;18;212,6;null;944,144048;31,857143;25,851429;21,835714;79,169643;5;,309524;69,880952;
1998-03-31;0;131,3;null;null;191;4,376344;null;122,1;null;943,294624;32,990323;26,377419;21,722581;73;7;,580645;70;
1998-04-30;0;213,4;null;null;266,3;2,888889;null;28;null;943,095556;35,163333;28,195333;22,816667;59,316667;5;,566667;70;
1998-05-31;0;234,6;null;null;256,4;2,55914;null;28,7;null;945,172043;33,412903;26,447097;21,293548;55,637097;5;,728261;70;
1998-06-30;0;274,4;null;null;268,2;1,566667;null;0;null;947,1;32,69;25,246667;20,1;48,791667;6,9;1,243333;70;
1998-07-31;0;322,4;null;null;291,5;1,580645;null;0;null;946,469892;33,287097;25,651613;20,2;42,959677;7;1,010753;70;
1998-08-31;0;410,8;null;null;296,5;1,483871;null;0;null;945,109677;34,887097;27,271613;21,780645;36,524194;5;1,408602;69,677419;
1998-09-30;0;439,8;null;null;278,4;1,3;null;2,8;null;943,836667;37,003333;29,158;23,253333;35,958333;7;1,277778;69,777778;
1998-10-31;0;313,8;null;null;183;5,010753;null;25,9;null;943,334409;35,277419;28,454839;23,267742;54,056452;6;,709677;70;
1998-11-30;0;71;null;null;null;7,219178;17;221,7;null;942,691781;30,464;24,803333;21,152;79,729167;3;,219178;69,863014;
1998-12-31;0;118,2;null;null;192,2;5,413043;19;205,5;null;942,73913;32,141935;25,58129;21,2;76,5;7;,26087;69,891304;
1999-01-31;0;117,5;null;null;180;5,752688;16;220,6;null;942,404301;31,996774;25,549032;21,1;76,395161;3;,322581;70;
1999-02-28;0;111,2;null;null;151,6;4,845238;17;221,7;null;942,922619;32,082143;25,495;21,15;75,669643;2;,259524;69,880952;
1999-03-31;0;106,7;null;null;182;5,978495;16;237,2;null;942,511828;31,741935;25,309032;21,093548;76,741935;7,4;,343011;69,354839;
1999-04-30;0;212,1;null;null;257;3,333333;null;22,6;null;943,797778;33,41;26,583333;21,803333;62,616667;5;,755556;70;
1999-05-31;0;199,4;null;null;229,8;3,225806;null;48,6;null;944,98172;31,919355;25,115484;20,593333;64,274194;5;,623656;70;
1999-06-30;0;259,9;null;null;274,6;2,555556;null;0;null;945,242222;32,65;25,712667;20,676667;51,808333;5;1,011111;70;
1999-07-31;0;288,7;null;null;304,9;1,075269;null;0;null;947,052688;31,690323;24,390323;19,167742;50,330645;6;1,483871;70;
1999-08-31;0;335,3;null;null;287,3;1,709677;null;0;null;946,651613;32,606452;25,373548;20,077419;46,669355;9;1,344086;69,784946;
1999-09-30;0;324,3;null;null;221,1;3,333333;null;6,7;null;943,333333;34,673333;27,753333;22,67;47,775;5;1,088889;70;
1999-10-31;0;261,1;null;null;179,9;4,591398;null;131,4;null;943,713978;33,377419;27,114839;22,274194;58,169355;7;,83871;70;
1999-11-30;0;104,5;null;null;123,2;6,355556;21;251,6;null;942,641111;30,746667;24,662;20,856667;79,383333;5;,5;69,666667;
1999-12-31;0;97,2;null;null;130,1;6,548387;24;400,8;null;942,549462;30,416129;24,553548;20,780645;80,830645;3;,301075;69,892473;
2000-01-31;0;101,8;null;null;188,6;5,795699;19;268,3;null;942,330108;31,170968;24,901935;20,525806;77,185484;4;,623656;69,892473;
2000-02-29;0;84,4;null;null;148,8;6,057471;21;166,5;null;943,689655;30,503448;24,506207;20,717241;82,232759;3;,333333;69,770115;
2000-03-31;0;104,6;null;null;207;4,913978;22;329,9;null;942,565591;31,616129;25,067097;20,848387;77,604839;3;,387097;70;
2000-04-30;0;109,8;null;null;212,2;4,344444;13;80,2;null;943,974444;31,763333;25,007333;20,76;76,608333;3;,322222;70;
2000-05-31;0;201,5;null;null;292,3;1,88172;1;,1;null;944,652688;32,725806;25,379355;19,877419;59,919355;3;,612903;70;
2000-06-30;0;245,8;null;null;289,8;1,622222;0;0;null;945,86;32,293333;24,892667;19,31;54,416667;5;,9;70;
